"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",53999,35021982,35075981,1020839.1162,1885272.3397575,2906111.4559575,6343520,25103.2
"BANKNIFTY",36203,2920236,2956439,632278.862324,376317.258735,1008596.1210589999,1404107,56839.6
"BAJFINANCE",28479,486893,515372,326949.6868,76252.9112725,403202.5980725,159228,9624
"MCX",24439,310806,335245,193909.1796475,63875.81474,257784.9943875,59623,7935
"ICICIBANK",23058,99833,122891,234094.89222,12074.21131,246169.10353,224660,1434.5
"SBIN",33406,203091,236497,206714.24595,17034.970575,223749.216525,271199,820
"HDFCBANK",18633,141272,159905,203578.44837,14872.23881,218450.68718,293259,1980.1
"BSE",15325,124760,140085,171535.9550625,42041.59755,213577.5526125,106228,2992
"BAJAJFINSV",16978,131874,148852,172335.87385,19250.9781,191586.85195,63716,2021
"KOTAKBANK",19558,135945,155503,166861.93152,14236.62188,181098.5534,110228,2140.8
"AXISBANK",21166,120313,141479,161465.514625,12093.426125,173558.94075,162795,1220.5
"MIDCPNIFTY",7270,199375,206645,116761.240392,33971.343322,150732.583714,100046,13296.4
"IEX",15129,83040,98169,119996.6655,18001.86225,137998.52775,30796,209.99
"ADANIENT",14484,102991,117475,112216.95666,15182.51499,127399.47165,102967,2582
"RELIANCE",15719,118123,133842,114222.7142,10895.45405,125118.16825,339937,1447.2
"ETERNAL",21197,93554,114751,111235.203,11037.09959,122272.30259,151051,256.99
"INDIGO",12427,106156,118583,105249.373395,13939.893015,119189.26641,91688,5704
"BANDHANBNK",19675,77343,97018,102653.9746,11513.01796,114166.99256,51019,186.1
"TATAMOTORS",24498,156424,180922,101713.74059,11153.116085,112866.856675,259539,717.5
"SHRIRAMFIN",18068,63594,81662,95925.854145,8159.4432,104085.297345,66025,696.5
"BHARTIARTL",10416,53116,63532,92554.70513,5447.55137,98002.2565,141023,1865
"PFC",15384,64700,80084,85812.74247,8549.47158,94362.21405,78540,431
"RBLBANK",14751,33297,48048,85723.5391925,5366.2512175,91089.79041,44138,229.05
"JIOFIN",15521,92972,108493,81017.739765,9991.56584,91009.305605,96522,305.45
"CHOLAFIN",8051,39500,47551,81830.6134375,7910.1934375,89740.806875,32215,1642.1
