"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",66144,98249530,98315674,1260764.620905,4052396.1299925,5313160.7508975,7687453,25285.35
"BANKNIFTY",31217,3402462,3433679,621435.0102555,396981.87893,1018416.8891855,1154523,56609.75
"TCS",78465,744322,822787,416744.875015,41406.5971725,458151.4721875,405802,3028
"SBIN",32830,319359,352189,217237.893975,25805.78235,243043.676325,229641,881.25
"HDFCBANK",16824,61692,78516,182793.84376,8776.34637,191570.19013,233211,981.45
"MARUTI",19596,218444,238040,159280.089725,17154.094395,176434.18412,147526,16285
"ICICIBANK",17082,59512,76594,166075.25921,7432.42976,173507.68897,219640,1380.4
"AXISBANK",22127,72630,94757,164371.204625,8181.85325,172553.057875,197943,1182.5
"INFY",26758,111752,138510,161253.70232,11147.11364,172400.81596,236382,1511.9
"RELIANCE",21904,107784,129688,152291.61015,9424.45025,161716.0604,448363,1380.9
"TATAMOTORS",27168,509658,536826,147928.2984,13777.75536,161706.05376,251435,679.15
"LAURUSLABS",9750,30961,40711,145332.97603,10559.1097,155892.08573,25031,877.2
"BSE",13934,136096,150030,125311.521975,30160.884375,155472.40635,80899,2379.9
"YESBANK",15146,75441,90587,112499.34242,15208.82989,127708.17231,46522,24.02
"MCX",9442,107144,116586,103596.7152375,22708.3307625,126305.046,51192,8680
"PNB",11972,69925,81897,112374.9008,13345.2632,125720.164,57881,116.92
"TATAELXSI",20009,143484,163493,108886.3169,11650.98585,120537.30275,65155,5401
"BEL",9232,52629,61861,109451.19822,9968.96997,119420.16819,73866,412.15
"HINDZINC",16288,72848,89136,99291.6202775,9862.0512725,109153.67155,54845,496.85
"DIVISLAB",13504,202527,216031,86371.91691,20854.20677,107226.12368,60406,6489
"MIDCPNIFTY",3666,250926,254592,67814.189786,33935.09476,101749.28454600001,116861,13147.5
"VEDL",16359,73342,89701,90745.90453,7831.70884,98577.61337,131721,480.8
"BHARTIARTL",9157,35086,44243,85084.9078075,3080.580485,88165.4882925,144522,1940
"ITC",12862,51176,64038,83314.30912,3675.536,86989.84512,128297,402.5
"HCLTECH",15374,64275,79649,79862.89395,5877.822195,85740.716145,89971,1492.8
"ETERNAL",9302,37416,46718,78451.129895,6440.460015,84891.58991,137099,348.4
"INDUSINDBK",14323,50243,64566,76650.33299,6066.46348,82716.79647,109477,763.5
"LT",11326,67381,78707,75447.14282,5597.851175,81044.993995,145470,3779
"CDSL",9119,60324,69443,69327.73941,10041.48157,79369.22098,36421,1607.1
"HINDALCO",6795,27366,34161,73547.9108,4041.19086,77589.10166,68880,772.8
"CANBK",8026,38978,47004,69552.00405,7355.147625,76907.151675,66546,127.36
"IDEA",10143,25853,35996,66244.6810725,9138.1573725,75382.838445,136461,9.03
"TATASTEEL",7114,50608,57722,68330.1124,6750.72365,75080.83605,73364,173.85
"FEDERALBNK",6439,32365,38804,67507.309,6532.8225,74040.1315,34334,209
"PAYTM",7475,28575,36050,67756.45115,6138.5772475,73895.0283975,54144,1237
"HEROMOTOCO",8084,45540,53624,67227.71322,5716.420725,72944.133945,60271,5502
"VOLTAS",11987,67239,79226,63771.7896,7534.8159,71306.6055,48316,1417
"KOTAKBANK",7747,37549,45296,66801.89364,4293.29964,71095.19328,127849,2146.1
"M&M",9480,47919,57399,65694.06904,5035.93736,70730.0064,147694,3454
"BANKBARODA",7890,39399,47289,61843.394925,5380.2920925,67223.6870175,69070,266.7
"DIXON",6747,51487,58234,58737.192875,7477.46382,66214.656695,61492,17456
"HAL",7937,52607,60544,58236.37203,6600.915435,64837.287465,105593,4832
"PGEL",12463,96406,108869,50705.24438,12097.72704,62802.97142,34577,585.5
"IDFCFIRSTB",7955,39620,47575,54773.34926,5817.79198,60591.14124,68528,74.5
"BAJAJ-AUTO",8103,62802,70905,54426.609675,6155.813745,60582.42342,76637,8943
"CIPLA",9417,76496,85913,54928.4744625,5634.6009,60563.0753625,49043,1568
"TRENT",11243,87278,98521,53087.66202,6163.88477,59251.54679,191052,4680
