Symbol,Volume (Contracts) - Futures,Volume (Contracts) - Options,Volume (Contracts) - Total,Value (₹ Lakhs) - Futures,Value (₹ Lakhs) - Options (Premium),Value (₹ Lakhs) - Total,Open Interest (Contracts),Underlying
NIFTY,47267,66812987,66860254,893538.7063,2586477.794,3480016.5,7837694,25107.85
BANKNIFTY,17587,2355036,2372623,338622.8732,276633.5514,615256.4245,1085959,54805.5
INFY,42481,370397,412878,259760.7236,28412.15436,288172.8779,322272,1524.1
BEL,16995,142144,159139,192073.9152,24286.52951,216360.4447,74400,399.45
HAL,21324,265440,286764,150781.3414,30148.00583,180929.3472,107241,4744
AXISBANK,23243,145889,169132,160728.4686,12481.84969,173210.3183,237963,1105.5
BAJFINANCE,20486,175575,196061,152977.1611,19814.27003,172791.4311,180984,1002.7
ICICIBANK,15927,71603,87530,157933.0782,7238.17402,165171.2523,206456,1417.5
RELIANCE,19055,192317,211372,133231.5789,15621.74275,148853.3217,473190,1395
BSE,13238,164288,177526,109813.3164,34392.36788,144205.6842,102666,2204
HDFCBANK,12628,55987,68615,134853.6158,7008.51459,141862.1304,274372,966.9
IDEA,21308,28185,49493,116037.2109,8666.922698,124704.1336,122126,7.7
VEDL,21944,112431,134375,113507.3486,10726.63374,124233.9824,106609,450.5
TATAMOTORS,16871,142187,159058,96891.6124,13410.20272,110301.8151,215112,714.15
MARUTI,12154,222582,234736,93049.52324,16780.40904,109829.9323,209359,15307
M&M,13255,89337,102592,95928.13462,10310.47888,106238.6135,163321,3591
HINDALCO,8513,50733,59246,90177.03156,7901.00416,98078.03572,53454,757.9
MAZDOCK,14879,171933,186812,75690.9948,20747.94573,96438.94054,40771,2929.1
HINDZINC,14084,73470,87554,79164.74839,7723.460728,86888.20912,43105,462.05
KOTAKBANK,9720,54487,64207,77157.43912,4926.65616,82084.09528,141641,1974.7
MCX,6941,70278,77219,67329.43945,12843.05829,80172.49774,42645,7735
MIDCPNIFTY,2578,209822,212400,47340.58564,32101.24592,79441.83156,122952,13082.15
MOTHERSON,11121,51450,62571,71186.20634,7834.21071,79020.41705,45768,104.73
TCS,12704,102085,114789,69814.09384,5993.789008,75807.88285,294647,3133
INDUSTOWER,11160,56257,67417,68552.48912,6598.16308,75150.6522,77807,362
BDL,11936,116982,128918,60137.7413,14047.99139,74185.73269,33457,1565.9
ETERNAL,8706,33479,42185,68746.01848,4737.011733,73483.03021,155221,321.85
BAJAJ-AUTO,9381,102890,112271,63875.44505,8507.939813,72383.38487,95084,9025
INDIGO,7676,55997,63673,66047.79609,6232.82262,72280.61871,93228,5723.5
EICHERMOT,4972,74901,79873,60009.94381,11525.00176,71534.94556,63358,6875
HINDUNILVR,8315,80206,88521,64754.81565,5695.9866,70450.80225,99098,2582
LT,9921,66465,76386,62336.35538,4043.8762,66380.23158,132221,3579
BAJAJFINSV,5627,59678,65305,58450.40945,7644.02575,66094.4352,58140,2083.2
SBIN,9588,78389,87977,59368.0455,4781.53455,64149.58005,229892,823.2
GAIL,9840,60069,69909,56237.49621,5874.48918,62111.98539,59099,178.49
SHRIRAMFIN,11143,40693,51836,58067.07869,3896.8314,61963.91009,73263,630
LUPIN,6223,54080,60303,54156.77713,7664.816478,61821.59361,38081,2040
BHARTIARTL,6119,43435,49554,55725.09411,3808.940783,59534.03489,130887,1903.7
SOLARINDS,4480,43375,47855,48653.34258,6632.70609,55286.04867,19856,14400
ASHOKLEY,7516,35070,42586,50407.3505,3706.3175,54113.668,51765,134
TRENT,9338,75232,84570,48408.85684,5529.72385,53938.58069,160232,5129
GMRAIRPORT,7817,25428,33245,48370.74476,3383.740598,51754.48535,44092,88.14
HEROMOTOCO,5570,49513,55083,44548.62327,5865.33945,50413.96272,78501,5310
AMBUJACEM,8132,20612,28744,48350.69463,1974.632205,50325.32684,65613,561
WIPRO,6135,22374,28509,46503.2109,2388.4158,48891.6267,68876,252
HFCL,9148,35558,44706,43093.79676,4430.17863,47523.97539,32190,73.16
TATASTEEL,4486,33238,37724,42042.74085,4314.57015,46357.311,77689,169.58
LODHA,7073,37923,44996,37699.5074,4438.59111,42138.09851,35871,1167.9
PNBHOUSING,7183,21717,28900,38766.43999,2411.809205,41178.24919,46394,831.9
LAURUSLABS,2412,14545,16957,37070.13166,3973.79488,41043.92654,17574,895.55
NMDC,3584,19149,22733,37068.0138,3239.7624,40307.7762,38613,76.35
PAYTM,4082,20708,24790,36335.80665,3581.109515,39916.91617,67443,1216.8
NATIONALUM,4511,22221,26732,36482.628,3406.689,39889.317,33628,217.9
ASTRAL,5707,33079,38786,35598.25122,3894.713813,39492.96503,29763,1459.5
TVSMOTOR,2939,16736,19675,36297.36996,3161.75076,39459.12072,43078,3501
ADANIENT,4689,41494,46183,33910.84446,4772.03469,38682.87915,89708,2389
INDUSINDBK,6713,25631,32344,35106.55078,2362.46584,37469.01662,106650,741
HCLTECH,6853,29849,36702,35277.47822,2143.73796,37421.21618,90428,1466
ABCAPITAL,3772,16110,19882,34296.25139,3123.63347,37419.88486,30169,291
BHARATFORG,5530,26008,31538,34006.82215,3060.20015,37067.0223,39232,1225
AUROPHARMA,5442,34137,39579,33100.77007,3626.52389,36727.29396,51760,1094
JUBLFOOD,4319,16932,21251,34570.616,2074.100375,36644.71638,26198,635.1
ANGELONE,5389,45219,50608,30093.8992,5863.53335,35957.43255,43878,2226.5
SUNPHARMA,5680,41779,47459,32184.65943,2910.80174,35095.46117,77045,1610.2
NBCC,4706,12742,17448,32966.64345,2091.2476,35057.89105,17032,106.35
GLENMARK,4150,15075,19225,33338.03531,1713.690375,35051.72569,33781,2127
DIXON,3285,37243,40528,29742.52159,5097.215525,34839.73712,65804,18111
UPL,3461,15634,19095,32348.20131,2299.985401,34648.18671,54563,692
BANKBARODA,4515,16430,20945,31481.22861,1860.084135,33341.31275,68587,237.3
BHEL,4949,28418,33367,29747.74241,3498.0225,33245.76491,43194,228.4
DRREDDY,3629,26732,30361,29654.02919,2822.120625,32476.14981,43585,1314
SUPREMEIND,3537,29278,32815,27759.1187,4403.329963,32162.44866,12354,4531.8
RVNL,6419,22398,28817,29251.92559,2014.464513,31266.3901,40348,338.4
NUVAMA,5248,52273,57521,25323.71648,5820.6126,31144.32908,11313,6450
DLF,4568,16937,21505,28697.64563,1851.415583,30549.06121,74478,757.5
ITC,4070,31658,35728,27094.20688,1926.79872,29021.0056,103969,413.55
ADANIPORTS,3904,28458,32362,26025.56246,2756.375933,28781.93839,72565,1393.9
BOSCHLTD,2679,24679,27358,26955.81191,1821.914213,28777.72612,21961,39880
JIOFIN,3621,16252,19873,26607.01866,1688.37348,28295.39214,95228,311.2
PNB,3044,14217,17261,26304.7992,1852.1976,28156.9968,52147,107.3
COFORGE,3964,13731,17695,26423.6712,1663.384425,28087.05563,44920,1769
