"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",19722,26742132,26761854,364881.065055,1018917.989715,1383799.05477,8614303,24591.05
"BANKNIFTY",5826,615446,621272,113074.19788,74198.531736,187272.729616,1157361,55159.15
"PAYTM",14865,103411,118276,126359.0516475,21532.7784725,147891.83012,67573,1159.8
"APOLLOHOSP",11212,148519,159731,106864.2559125,19607.6007375,126471.85665,58055,7677
"HINDALCO",9028,59219,68247,87354.96448,8190.0203,95544.98478,56108,696
"HAL",10837,75265,86102,73388.109795,6951.429645,80339.53944,120861,4521.7
"BSE",7267,47400,54667,66652.0288125,10435.0443375,77087.07315,73813,2461.4
"TVSMOTOR",4983,5661,10644,51767.54842,866.42241,52633.97083,37055,2988.1
"MIDCPNIFTY",2027,75968,77995,36130.7716,14151.741548,50282.513148000005,110621,12712
"NYKAA",5292,17409,22701,35077.085625,2499.59375,37576.679375,22211,211.16
"PIIND",5138,19646,24784,34477.7243825,2246.2311375,36723.95552,21045,3809
"MCX",2657,34526,37183,27709.6382375,5526.170175,33235.8084125,42526,8325.5
"TATAMOTORS",5426,37772,43198,28918.1604,2926.094,31844.2544,187052,665.2
"HDFCBANK",2721,18215,20936,29701.417295,1759.17676,31460.594055,263311,1975
"ICICIBANK",2836,13054,15890,28321.91852,1248.94693,29570.86545,204111,1418.6
"ALKEM",3967,23040,27007,26442.6094875,2659.0091,29101.6185875,21218,5306.5
"JINDALSTEL",4310,16229,20539,27156.0305,1792.9265,28948.957,34364,1011.8
"SUZLON",5415,26198,31613,26633.1304,2196.4216,28829.552,27013,61.15
"RELIANCE",3527,37258,40785,24480.8322,2698.4974,27179.3296,452115,1388.7
"BEL",2180,11322,13502,23998.0203,1836.624075,25834.644375,78898,385.9
"BDL",4346,25945,30291,21783.2387175,2857.8186325,24641.05735,29057,1533.6
"ASTRAL",4063,21075,25138,22267.033585,1876.6577525,24143.6913375,41775,1281.6
"INFY",3987,20191,24178,22848.37136,1259.73652,24108.10788,310374,1424.8
"RVNL",4899,23033,27932,21740.763,2182.9242875,23923.6872875,21517,324.1
"BAJFINANCE",3332,16030,19362,21455.47035,1307.01165,22762.482,188820,851.55
"TCS",3806,33116,36922,20308.0580325,1817.478355,22125.5363875,344576,3038.9
"HEROMOTOCO",2519,36489,39008,17756.137245,4065.4575,21821.594745,82280,4727
"LAURUSLABS",1383,4788,6171,19801.24623,1057.91884,20859.16507,22193,843.2
"M&M",2862,19724,22586,18701.97452,1761.6982,20463.67272,158260,3269
"ETERNAL",2537,7997,10534,18999.816315,1084.8511525,20084.6674675,136366,308.7
"NMDC",1956,5559,7515,18838.0323,850.068,19688.1003,33413,72.04
"TATASTEEL",1939,14641,16580,17305.8138,1712.85895,19018.67275,61907,161.99
"SBIN",2629,25122,27751,16272.80445,1308.74985,17581.5543,277264,823.15
"JIOFIN",2006,12305,14311,15628.49123,1710.23365,17338.72488,87810,330.6
"INDIGO",1736,13446,15182,15550.00149,1709.34609,17259.34758,65649,5963
"VEDL",3085,17932,21017,15723.12315,1412.17976,17135.30291,99031,443.15
