"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",69400,243914823,243984223,1316661.0828675,4090364.1459675,5407025.228835,8802828,25255.4
"BANKNIFTY",23415,2790207,2813622,453262.7104775,296038.1510975,749300.861575,1165472,55166.8
"KOTAKBANK",22148,224812,246960,178740.02912,18545.91976,197285.94888,144325,2023.5
"RELIANCE",25692,190839,216531,181097.2449,14392.7378,195489.9827,477937,1405.9
"HDFCBANK",15613,63405,79018,166705.78122,7382.29998,174088.0812,282135,966.3
"AXISBANK",20273,137441,157714,142319.3781875,10183.68025,152503.0584375,242142,1121.4
"TATAMOTORS",24272,160594,184866,138764.44152,12913.3524,151677.79392,228169,714.9
"INFY",23019,113944,136963,139237.08668,6542.54248,145779.62916,330408,1513.5
"LT",19852,215499,235351,127078.80374,13310.5314475,140389.3351875,141107,3670
"ICICIBANK",12331,43868,56199,122953.72131,3649.92831,126603.64962,206275,1422.4
"MARUTI",13323,267574,280897,103085.555605,15405.92572,118491.481325,224055,15592
"SBIN",16970,147683,164653,105882.447,9006.387075,114888.834075,231330,832.65
"BHARTIARTL",11491,104143,115634,105587.38691,8839.8031525,114427.1900625,132720,1942
"M&M",13798,126475,140273,99280.18534,12606.99282,111887.17816,163148,3612
"BAJFINANCE",12414,83524,95938,93987.939225,8179.78305,102167.722275,184700,1006.9
"IDEA",14866,22918,37784,85215.2753775,7476.299295,92691.5746725,129623,7.95
"TCS",15485,123093,138578,85101.454235,7003.843875,92105.29811,293202,3147.9
"CHOLAFIN",8026,64061,72087,78349.962875,9627.7326875,87977.6955625,32775,1586
"BEL",7000,49217,56217,80287.39902,7166.12436,87453.52338,76896,402.95
"GMRAIRPORT",12157,64491,76648,78183.267435,9159.1787025,87342.4461375,47611,92.62
"MIDCPNIFTY",2866,198483,201349,52842.902574,29267.681688,82110.584262,127017,13160.55
"ETERNAL",9391,43444,52835,74583.927105,6575.56986,81159.496965,155539,327.15
"BSE",8173,77959,86132,67496.2395,13332.206175,80828.445675,105989,2202
"TATAPOWER",12069,116169,128238,69674.616565,9575.271475,79249.88804,79183,396.1
"HAL",9402,104875,114277,68241.527385,10911.25113,79152.778515,114579,4841
"DLF",10781,51976,62757,69913.9023,5511.9064275,75425.8087275,77074,787
"TATASTEEL",6670,62799,69469,62997.05225,8154.95285,71152.0051,79672,172
"HEROMOTOCO",7969,53038,61007,63753.57942,5605.71567,69359.29509,78453,5317
"VEDL",11208,55379,66587,59645.19206,5478.452915,65123.644975,114535,461.95
"JIOFIN",7709,38198,45907,57526.76578,4426.184815,61952.950595,102376,315.8
"MOTHERSON",8121,52263,60384,54884.79186,6865.678575,61750.470435,52068,109.65
"UPL",5956,29087,35043,56393.265059,3743.3009135,60136.5659725,51865,704
"EICHERMOT",4303,57118,61421,52111.00328,7428.661555,59539.664835,62087,6951
"AMBUJACEM",9047,33731,42778,54721.997295,3047.92635,57769.923645,64326,574.65
"AUBANK",7574,21602,29176,54327.4042,2467.9492,56795.3534,36317,712.35
"DIXON",5132,67962,73094,46718.04696,8895.68532,55613.73228,67807,18125
"MCX",5198,31944,37142,50050.992875,5152.580475,55203.57335,45849,7682.5
"AMBER",4835,57873,62708,40021.26187,9556.01563,49577.2775,20869,8280.5
"JSWENERGY",8170,46382,54552,44616.4249,4826.5265,49442.9514,52624,540.4
"INDUSINDBK",8415,32777,41192,43865.21034,2872.7405,46737.95084,109796,743.75
"CANBK",5506,25194,30700,42201.88965,3305.799675,45507.689325,57738,113.2
"HAVELLS",5025,35951,40976,40690.95325,4566.8811,45257.83435,33214,1614
"SHRIRAMFIN",8262,27723,35985,42388.212075,2270.3906775,44658.6027525,71812,618.5
"PAYTM",4495,18020,22515,40083.0728975,2729.8757775,42812.948675,67769,1226.5
"LTF",3704,16084,19788,39800.018202,2905.7066054,42705.724807399994,22245,240.42
"HINDALCO",3746,19631,23377,39727.46932,2290.4413,42017.91062,54179,756
"ASIANPAINT",6152,60482,66634,38407.490675,3436.7715,41844.262175,90491,2482
"TRENT",7173,62526,69699,37025.1205,4475.53412,41500.65462,172345,5150
"RVNL",7748,42034,49782,36899.9184125,4186.6020625,41086.520475,49360,354.8
"ULTRACEMCO",5878,55766,61644,37019.154705,3811.22895,40830.383655,72170,12595
"NATIONALUM",4709,18523,23232,37842.736875,2685.593625,40528.3305,35442,216.66
"SUZLON",7912,28492,36404,37424.6784,2451.228,39875.9064,42832,59.03
"NCC",6144,29626,35770,36090.50175,3532.69674,39623.19849,14957,216.1
"GAIL",6351,30767,37118,36427.70943,2821.379715,39249.089145,58437,181.81
"WIPRO",4760,29521,34281,36073.3836,2889.6558,38963.0394,72311,254.5
"JSWSTEEL",4747,28385,33132,35776.6779825,2908.6734825,38685.351465,83027,1115.5
"PERSISTENT",6597,26097,32694,36085.66677,2470.04841,38555.71518,40721,5535
