"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",151816,62489157,62640973,2823454.5654225,2753561.59062,5577016.1560425,6848544,24828.75
"BANKNIFTY",49822,9492022,9541844,980749.92211,538218.2830780001,1518968.2051879999,1692519,56230.15
"HDFCBANK",97397,148020,245417,1082868.11413,9040.9858,1091909.09993,357628,2023
"RELIANCE",101751,420869,522620,713728.4762,23149.51665,736877.99285,561306,1416.6
"AXISBANK",97163,120734,217897,648590.1615625,6783.3094375,655373.471,315251,1065
"INFY",95600,110401,206001,578083.52564,5620.91072,583704.43636,334134,1513.5
"ICICIBANK",53237,86036,139273,551488.9569,4696.8082,556185.7651,220035,1484.9
"SBIN",85017,163867,248884,510505.614,6870.12465,517375.73865,367958,798.85
"BHARTIARTL",53122,79215,132337,483569.83448,4582.4937675,488152.3282475,188908,1913.7
"M&M",75236,41065,116301,484397.32136,2694.72532,487092.04668,203092,3207
"BAJFINANCE",68520,87270,155790,456508.212675,5596.5546,462104.767275,222773,887
"TCS",83771,278368,362139,449812.5812425,12112.7210225,461925.302265,427113,3057
"INDIGO",52096,35937,88033,449881.17666,3564.72369,453445.90035,120453,5765
"ETERNAL",59727,96923,156650,441260.7287175,8704.05929,449964.7880075,173009,306.4
"MIDCPNIFTY",15631,1776295,1791926,284550.563556,132705.525302,417256.088858,269938,13029.1
"ASIANPAINT",67929,232146,300075,403597.5353,12476.260875,416073.796175,146292,2406.1
"BEL",34774,150100,184874,382512.290295,17297.032755,399809.32305,109308,389.9
"LT",63978,170871,234849,388076.668175,9387.92848,397464.596655,219457,3488
"INDUSINDBK",60945,195154,256099,344578.25472,14192.63041,358770.88513,129155,813.8
"KOTAKBANK",39156,132961,172117,308556.36128,7905.66984,316462.03112,164764,1970.2
"TATAMOTORS",54402,90014,144416,300381.558,5454.3552,305835.9132,208574,691.75
"ADANIENT",38074,78756,116830,289974.79743,9427.57581,299402.37324,128350,2545.5
"GRASIM",43760,12747,56507,298317.98625,503.98195,298821.9682,86352,2745.3
"VBL",55736,179522,235258,284474.862275,13256.19421,297731.056485,82990,513.9
"MARUTI",45206,99525,144731,279196.04879,2995.21755,282191.26634,161372,12488
"HINDUNILVR",36805,35519,72324,270621.44364,1656.7026,272278.14624,127833,2456.4
"BSE",27221,95347,122568,252572.4220875,9552.2407125,262124.6628,106821,2486
"BAJAJFINSV",26017,44199,70216,256289.57755,3314.5168,259604.09435,75443,1973.5
"AUROPHARMA",40173,14873,55046,254471.26342,1363.0243,255834.28772,71918,1157.4
"JIOFIN",32271,130965,163236,240911.042185,12827.7335,253738.775685,112881,322
