"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",78616,36609409,36688025,1468942.82214,2870542.017585,4339484.839725,5113020,24750.7
"BANKNIFTY",48272,2887409,2935681,821751.7616345,504813.159956,1326564.9215905,865402,55749.7
"ETERNAL",111523,144273,255796,533493.196155,21051.4804125,554544.6765675,138088,239.75
"BSE",29895,203418,233313,295019.6085375,75257.1463875,370276.754925,70694,2669
"SBIN",51365,264528,315893,312880.39905,27545.879325,340426.278375,207231,814
"HDFCBANK",22485,105813,128298,240897.21799,14167.0804,255064.29839,251722,1941.5
"RELIANCE",27144,174653,201797,193909.45375,17717.35935,211626.8131,295967,1417.9
"BHARTIARTL",21616,47107,68723,191792.9128175,5525.0038725,197317.91669,121921,1859.7
"BAJAJ-AUTO",25355,163620,188975,165535.71066,17606.0390025,183141.7496625,75704,8599
"ICICIBANK",17052,56105,73157,174381.71492,7577.42951,181959.14443,172523,1446.1
"MUTHOOTFIN",25558,148270,173828,153841.120895,22632.04196,176473.162855,36372,2204
"MANAPPURAM",18057,114549,132606,130072.7583,11475.6336,141548.3919,44066,237.67
"PNB",14173,55608,69781,119198.3336,12968.2448,132166.5784,48954,105.8
"NYKAA",20871,36089,56960,123652.346185,5872.473255,129524.81944,31527,200.8
"INFY",19317,58565,77882,121241.45912,6206.31404,127447.77316,187203,1561.9
"KOTAKBANK",14803,29581,44384,123601.50292,3259.68956,126861.19248,91792,2077.3
"CANBK",14387,64481,78868,110544.3207,15809.831775,126354.152475,57401,114.6
"AXISBANK",15569,55543,71112,117077.8999375,6708.7309375,123786.630875,119551,1192
"HAL",14626,62166,76792,110622.71859,12538.563765,123161.282355,121897,4965.2
"BEL",8990,37454,46444,99630.12786,9524.74731,109154.87517,69017,385.2
"CDSL",15037,82758,97795,83913.2702775,13641.3786175,97554.648895,64592,1530.5
"TATAMOTORS",20632,103971,124603,83893.17352,8526.999505,92420.173025,228488,718.65
"MOTHERSON",15361,42106,57467,85157.307905,6720.292935,91877.60084,47700,152.7
"VEDL",16487,55960,72447,83531.112385,6385.110845,89916.22323,97463,436.5
"MIDCPNIFTY",4018,97791,101809,61899.476416000005,24322.77936,86222.255776,48486,12694.8
"BANKBARODA",10462,46590,57052,76299.1863075,7160.27949,83459.4657975,45913,250.48
"BAJFINANCE",6789,40571,47360,75845.6212575,7132.1431925,82977.76445,110364,9142
"BHEL",11128,29293,40421,76869.6676125,5835.038475,82704.7060875,40356,260.1
"INDIGO",9837,18627,28464,79372.574505,3311.35203,82683.926535,86067,5325
"CUMMINSIND",13749,86373,100122,68052.313285,11510.512545,79562.82583,46360,3270
"M&M",14169,41426,55595,74755.1923275,4205.53262,78960.7249475,147306,2971
"TCS",11954,56476,68430,72546.393185,4654.9955375,77201.3887225,157619,3460
"NBCC",9787,22968,32755,69049.15654,6217.32649,75266.48303,10295,123.35
"INOXWIND",11163,14788,25951,70045.094025,4141.614015,74186.70804,17932,195
"ITC",10140,70195,80335,68205.48384,5847.47296,74052.9568,128736,418.75
"LT",11916,55585,67501,65846.392435,4968.30313,70814.695565,138776,3672
"HINDALCO",7261,23004,30265,65241.40532,4219.60448,69461.0098,53657,633.7
"MAZDOCK",9474,37955,47429,58787.0699325,8334.367615,67121.4375475,11628,3475
"ASIANPAINT",13109,39962,53071,60330.02131,2557.37042,62887.39173,106509,2261
"DLF",8431,30178,38609,55673.9205825,4429.5036225,60103.424205,57569,796.8
"DIXON",7029,51767,58796,51880.201185,8001.885365,59882.08655,77285,14680
"MARUTI",8534,58500,67034,52721.845405,4745.8576,57467.703005,90544,12323
"TATATECH",9933,15666,25599,54024.77747,2223.28045,56248.05792,23675,771
"HUDCO",8641,24092,32733,51143.54036,5078.0776425,56221.6180025,23288,241.45
"GLENMARK",10763,28676,39439,50886.9118625,3645.836985,54532.7488475,32788,1461
"PIDILITIND",6607,20294,26901,51299.12415,3047.336025,54346.460175,19093,3125.2
"TATASTEEL",5461,36045,41506,48762.2432,5452.722,54214.9652,55439,161
"ADANIENT",6361,25219,31580,48506.36745,4723.26555,53229.633,90113,2518
"INDUSINDBK",11383,34644,46027,47522.36017,3651.94895,51174.30912,111378,818.45
"LICI",8134,41589,49723,44996.6603775,4977.811455,49974.4718325,31198,952.05
"TRENT",7787,37913,45700,44277.16235,5636.6166,49913.77895,74137,5625
"BDL",6512,24409,30921,43542.4236,6368.2451625,49910.6687625,4890,2007
"APOLLOHOSP",5220,27979,33199,45413.1487875,4346.4155625,49759.56435,34401,6886
"ADANIPORTS",7792,34782,42574,45202.957485,4317.88027,49520.837755,76173,1432.3
"INDUSTOWER",7159,13289,20448,47241.35576,2240.66222,49482.01798,48985,382.25
"ANGELONE",6768,35855,42623,41777.55284,7365.985445,49143.538285,23216,3035
"UNIONBANK",7179,11179,18358,46447.52757,2206.7532525,48654.2808225,21524,147
"PATANJALI",8908,32233,41141,45356.27835,2797.57137,48153.84972,29997,1681
"IDEA",15167,24656,39823,43911.3431375,3690.4919725,47601.83511,136356,6.91
"HCLTECH",7893,19665,27558,45655.492855,1833.749855,47489.24271,58536,1631.5
"HINDUNILVR",6280,21832,28112,44218.9506,2025.19311,46244.14371,79944,2346
"PAYTM",7155,20185,27340,41576.427945,3829.880695,45406.30864,54949,889
"GODREJPROP",8329,21708,30037,42357.74303,2942.665385,45300.408415,46439,2235.7
"PFC",7953,20681,28634,42285.3119,2857.0243,45142.3362,67647,406.65
"JIOFIN",8275,33236,41511,41055.486455,3979.433115,45034.91957,89244,286.2
"SUNPHARMA",7025,38570,45595,41735.142995,3198.73715,44933.880145,68412,1674.9
"INDHOTEL",5472,13735,19207,42313.2618,2442.677,44755.9388,31664,768.85
"CIPLA",8930,20313,29243,43172.54663,1473.62773,44646.17436,48551,1463.9
"NTPC",8202,32588,40790,41547.39675,2755.45335,44302.8501,104782,334.75
"ALKEM",8005,24382,32387,40763.428875,2512.75434,43276.183215,17852,5102.5
"COFORGE",6040,24670,30710,38818.2619875,3871.393245,42689.6552325,47178,8549
"TECHM",4090,10534,14624,38928.81276,1847.17614,40775.9889,28286,1573
"UPL",4541,9996,14537,38728.9816765,1471.395855,40200.3775315,33380,625.55
"HEROMOTOCO",5783,19442,25225,37750.51488,2382.37971,40132.89459,42662,4310.1
"RECLTD",8884,28939,37823,36939.202925,3189.3658,40128.568725,96380,402.35
"IRCTC",5468,27739,33207,36717.55185,2976.6977625,39694.2496125,44243,757
"MCX",4989,29835,34824,33474.594545,5902.80238,39377.396925,28182,6613
"SRF",3529,5293,8822,37677.945915,897.3475125,38575.2934275,23553,2862
"RBLBANK",6686,8436,15122,36214.701885,1295.3001825,37510.0020675,33206,213.19
"COALINDIA",7993,35545,43538,34464.13614,2956.0371,37420.17324,93598,397.4
"SOLARINDS",2831,12562,15393,34346.3905425,2560.1861625,36906.576705,17915,16045
"IDFCFIRSTB",6745,16134,22879,34982.0014125,1710.246095,36692.2475075,72689,68.1
"CHAMBLFERT",6135,25672,31807,32920.659605,3548.053635,36468.71324,25897,549
"VOLTAS",9091,18919,28010,34658.6892375,1720.81071,36379.4999475,62838,1256
"BSOFT",8104,30579,38683,33345.8853,2953.03411,36298.91941,26201,399.35
"SHRIRAMFIN",7162,11128,18290,34888.5856725,1349.8395825,36238.425255,54237,639.35
"INDIANB",5626,17451,23077,33233.099035,2811.07114,36044.170175,11873,614
"TVSMOTOR",3453,7969,11422,33696.369455,1438.29952,35134.668975,29134,2800
"JINDALSTEL",5536,11674,17210,33314.01425,1587.4548125,34901.4690625,30325,947.45
"OBEROIRLTY",5536,7618,13154,33436.78688,1170.485995,34607.272875,17491,1738.3
"DRREDDY",4244,10509,14753,33193.0705625,1381.85125,34574.9218125,23914,1251
"POWERGRID",6300,13555,19855,33268.91587,1295.90704,34564.82291,66430,289.7
