"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (? Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 22-May-2024"
NIFTY 50,"24,639.50","24,909.05","24,614.05","24,609.70","24,853.15",-,243.45,0.99,"27,04,70,348","20,200.56","26,277.35","21,281.45",1.83,8.9
ETERNAL,229.12,240.7,228.87,229.02,237.34,-,8.32,3.63,"4,21,80,098","1,000.09",304.7,146.3,-,-
HDFCLIFE,755.8,781.35,752.05,755.85,780.65,-,24.8,3.28,"45,11,523",349.37,781.35,511.4,6.08,34.88
JIOFIN,274.95,283.65,274.55,274.55,281.4,-,6.85,2.49,"1,35,48,313",379.62,376,198.65,9.57,-23.24
POWERGRID,292,298.75,291.75,290.9,298.05,-,7.15,2.46,"98,72,024",293.06,366.25,247.3,-6.93,-10.7
ITC,434,439,429,426.1,436,-,9.9,2.32,"1,85,36,884",806.93,528.5,390.15,-1.73,-3.14
SBILIFE,"1,765.00","1,806.00","1,759.80","1,759.30","1,796.90",-,37.6,2.14,"10,67,774",191.74,"1,936.00","1,307.70",8.67,23.25
NESTLEIND,"2,356.00","2,424.00","2,352.10","2,361.70","2,409.90",-,48.2,2.04,"5,77,230",138.65,"2,778.00","2,110.00",-1.89,-4.35
ADANIENT,"2,499.00","2,548.10","2,490.50","2,487.60","2,537.00",-,49.4,1.99,"9,68,415",245.06,"3,743.90","2,025.00",1.72,-20.8
BAJAJFINSV,"2,005.90","2,048.70","2,003.20","2,001.00","2,040.00",-,39,1.95,"10,85,026",220.41,"2,135.00","1,419.05",-3.66,26.33
AXISBANK,"1,188.50","1,213.10","1,188.10","1,188.50","1,209.00",-,20.5,1.72,"36,76,469",443.66,"1,339.65",933.5,-2.33,5.55
KOTAKBANK,"2,065.80","2,109.30","2,065.80","2,065.80","2,101.00",-,35.2,1.7,"16,50,953",345.52,"2,301.90","1,602.45",-8.95,21.55
ADANIPORTS,"1,383.10","1,398.50","1,375.00","1,371.40","1,394.00",-,22.6,1.65,"17,15,309",238.66,"1,621.40",995.65,11.21,-0.49
TRENT,"5,405.00","5,499.50","5,403.50","5,342.00","5,428.00",-,86,1.61,"11,27,412",613.61,"8,345.00","4,196.00",0.36,14.96
APOLLOHOSP,"6,987.50","7,088.00","6,930.00","6,954.50","7,062.00",-,107.5,1.55,"3,21,466",226.68,"7,545.35","5,693.20",-1.89,18.51
SHRIRAMFIN,651,663.6,646.15,649.75,658.95,-,9.2,1.42,"31,28,629",205.94,730.45,438.6,-7.64,-72.19
LT,"3,570.00","3,631.60","3,551.20","3,551.40","3,600.00",-,48.6,1.37,"11,19,217",402.94,"3,963.50","2,965.30",9.01,2.62
INFY,"1,550.00","1,587.20","1,550.00","1,547.50","1,566.10",-,18.6,1.2,"50,38,421",792.96,"2,006.45","1,307.00",8.76,6.37
BAJFINANCE,"9,139.00","9,286.50","9,111.00","9,139.00","9,248.00",-,109,1.19,"4,25,169",392.52,"9,660.00","6,375.70",-1.31,35.5
RELIANCE,"1,406.60","1,433.80","1,406.60","1,409.40","1,426.00",-,16.6,1.18,"64,74,883",922.42,"1,608.80","1,114.85",9.15,-51.75
TATASTEEL,161.6,163.53,161.5,161.29,163.1,-,1.81,1.12,"2,94,83,665",479.43,184.6,122.62,16.74,-6.93
TITAN,"3,531.00","3,606.30","3,523.00","3,541.00","3,579.00",-,38,1.07,"4,16,717",149.04,"3,867.00","2,925.00",6.1,4.64
TATACONSUM,"1,126.50","1,152.00","1,124.00","1,126.70","1,138.70",-,12,1.07,"8,97,235",102.6,"1,250.10",882.9,-0.88,0.57
ONGC,242.5,244.68,240.15,241.67,244.22,-,2.55,1.06,"87,25,218",212.26,345,205,-2.47,-13.07
HINDUNILVR,"2,336.90","2,364.50","2,329.60","2,330.70","2,355.00",-,24.3,1.04,"8,44,118",198.67,"3,035.00","2,136.00",-2.83,-1.53
HCLTECH,"1,633.00","1,670.80","1,622.50","1,633.00","1,649.50",-,16.5,1.01,"14,59,454",241.63,"2,012.20","1,235.00",10.35,21.59
TECHM,"1,575.00","1,604.00","1,567.80","1,565.60","1,581.20",-,15.6,1,"11,59,290",184.36,"1,807.70","1,193.65",13.74,17.68
CIPLA,"1,468.50","1,489.00","1,461.00","1,468.50","1,483.00",-,14.5,0.99,"9,15,286",135.62,"1,702.05","1,335.00",-3.91,-0.93
INDUSINDBK,781.1,799.2,777.3,785,792.6,-,7.6,0.97,"92,60,373",730.63,"1,550.00",606,-0.32,-44.13
NTPC,342,344.95,340.15,341.4,344.6,-,3.2,0.94,"40,45,937",139.03,448.45,292.8,-5.23,-8.68
TCS,"3,477.00","3,535.00","3,465.60","3,477.00","3,508.00",-,31,0.89,"12,74,331",447.54,"4,592.25","3,056.05",4.91,-9.26
WIPRO,246.1,250.49,245.6,245.94,247.8,-,1.86,0.76,"74,37,642",184.8,324.6,208.5,5.04,-46.69
HEROMOTOCO,"4,288.90","4,335.00","4,276.40","4,276.30","4,307.50",-,31.2,0.73,"4,61,297",198.78,"6,246.25","3,344.00",11.55,-14.4
HDFCBANK,"1,920.10","1,937.00","1,914.50","1,919.90","1,933.50",-,13.6,0.71,"47,83,036",923.11,"1,978.90","1,448.15",-2.13,31.57
ASIANPAINT,"2,301.80","2,329.00","2,295.00","2,299.20","2,315.00",-,15.8,0.69,"4,58,035",106.1,"3,394.90","2,124.75",-5.46,-20.33
SBIN,787.9,794.95,786.2,785.25,790.25,-,5,0.64,"55,34,158",437.61,912,680,-4.52,-4.09
COALINDIA,400.2,403,399,398.85,401.3,-,2.45,0.61,"41,78,408",167.65,543.55,349.25,0.06,-20.5
ICICIBANK,"1,442.20","1,451.80","1,434.40","1,442.10","1,450.50",-,8.4,0.58,"52,03,706",752.88,"1,459.70","1,051.05",1.81,29.79
DRREDDY,"1,228.00","1,234.90","1,216.00","1,222.20","1,229.00",-,6.8,0.56,"7,34,297",90.32,"1,421.49","1,020.00",4.02,-79.19
ULTRACEMCO,"11,727.00","11,875.00","11,661.00","11,680.00","11,738.00",-,58,0.5,"1,81,463",213.83,"12,339.00","9,534.95",-2.33,18.04
JSWSTEEL,"1,011.00","1,022.50","1,005.10","1,005.60","1,009.20",-,3.6,0.36,"15,68,154",158.96,"1,074.90",823.8,-3.7,9.81
M&M,"3,020.00","3,030.80","2,984.20","3,006.30","3,014.80",-,8.5,0.28,"18,28,093",550.45,"3,270.95","2,425.00",6.72,19.25
EICHERMOT,"5,390.00","5,437.50","5,376.00","5,387.00","5,394.00",-,7,0.13,"2,82,287",152.67,"5,906.50","4,253.85",-6.86,14.73
MARUTI,"12,450.00","12,495.00","12,423.00","12,445.00","12,460.00",-,15,0.12,"1,69,465",211.15,"13,680.00","10,725.00",6.06,-0.69
TATAMOTORS,718.75,721.8,715,717.45,718,-,0.55,0.08,"79,15,166",569.1,"1,179.00",535.75,13.73,-24.28
HINDALCO,653,655.55,642.6,649.55,650.05,-,0.5,0.08,"34,48,707",224.29,772.65,546.45,4.75,-5.11
BAJAJ-AUTO,"8,765.00","8,838.00","8,714.00","8,733.50","8,740.00",-,6.5,0.07,"3,21,989",282.35,"12,774.00","7,089.35",7.28,-0.82
BEL,389.15,389.9,381.1,383.4,383.35,-,-0.05,-0.01,"3,76,66,187","1,451.47",389.9,230,26.39,35.19
BHARTIARTL,"1,825.00","1,841.80","1,821.50","1,831.40","1,831.00",-,-0.4,-0.02,"34,60,945",635.26,"1,917.00","1,219.05",-1.12,35.87
GRASIM,"2,675.00","2,746.90","2,651.00","2,674.60","2,656.00",-,-18.6,-0.7,"9,90,691",267.52,"2,877.75","2,171.60",-2.72,9.77
SUNPHARMA,"1,658.00","1,689.50","1,636.60","1,718.70","1,689.10",-,-29.6,-1.72,"83,39,783","1,391.59","1,960.35","1,377.20",-1.64,11.65
