strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
2120,ASIANPAINT25SEP2120CE,17497346.0,400.0,,,ASIANPAINT25SEP2120PE,17497858.0,0.7,,
2160,ASIANPAINT25NOV2160CE,14435330.0,0.0,,,ASIANPAINT25NOV2160PE,14435586.0,0.0,,
2200,ASIANPAINT25OCT2200CE,16594434.0,0.0,,,ASIANPAINT25OCT2200PE,16594690.0,0.0,,
2220,ASIANPAINT25SEP2220CE,16549890.0,308.5,,,,,,,
2240,ASIANPAINT25NOV2240CE,14436354.0,0.0,,,ASIANPAINT25NOV2240PE,14436610.0,0.0,,
2260,,,,,,ASIANPAINT25SEP2260PE,16550658.0,2.0,,
2280,ASIANPAINT25NOV2280CE,14436866.0,0.0,,,ASIANPAINT25NOV2280PE,14437122.0,0.0,,
2300,ASIANPAINT25OCT2300CE,14415362.0,0.0,,,ASIANPAINT25OCT2300PE,14415618.0,0.0,,
2320,ASIANPAINT25NOV2320CE,14437378.0,0.0,,,ASIANPAINT25NOV2320PE,14437634.0,0.0,,
2340,ASIANPAINT25OCT2340CE,14415874.0,0.0,,,ASIANPAINT25OCT2340PE,14416130.0,0.0,,
2360,ASIANPAINT25NOV2360CE,14437890.0,0.0,,,ASIANPAINT25NOV2360PE,14438146.0,0.0,,
2380,ASIANPAINT25OCT2380CE,14416386.0,0.0,,,ASIANPAINT25OCT2380PE,14416642.0,0.0,,
2400,ASIANPAINT25NOV2400CE,14438402.0,0.0,,,ASIANPAINT25NOV2400PE,14438658.0,0.0,,
2420,ASIANPAINT25OCT2420CE,14416898.0,0.0,,,ASIANPAINT25OCT2420PE,14417154.0,0.0,,
2440,ASIANPAINT25NOV2440CE,14438914.0,0.0,,,ASIANPAINT25NOV2440PE,14439170.0,0.0,,
2460,ASIANPAINT25OCT2460CE,14417410.0,0.0,,,ASIANPAINT25OCT2460PE,14417666.0,0.0,,
2480,ASIANPAINT25NOV2480CE,14439426.0,0.0,,,ASIANPAINT25NOV2480PE,14439682.0,0.0,,
2500,ASIANPAINT25OCT2500CE,14417922.0,0.0,,,ASIANPAINT25OCT2500PE,14418178.0,0.0,,
2520,ASIANPAINT25NOV2520CE,14439938.0,0.0,,,ASIANPAINT25NOV2520PE,14440194.0,0.0,,
2540,ASIANPAINT25OCT2540CE,14418434.0,0.0,,,ASIANPAINT25OCT2540PE,14418690.0,0.0,,
2560,ASIANPAINT25NOV2560CE,14440450.0,0.0,,,ASIANPAINT25NOV2560PE,14440706.0,0.0,,
2580,ASIANPAINT25OCT2580CE,14418946.0,85.6,,,ASIANPAINT25OCT2580PE,14419202.0,0.0,,
2600,ASIANPAINT25NOV2600CE,14440962.0,0.0,,,ASIANPAINT25NOV2600PE,14441218.0,0.0,,
2620,ASIANPAINT25OCT2620CE,14419458.0,0.0,,,ASIANPAINT25OCT2620PE,14419714.0,0.0,,
2640,ASIANPAINT25NOV2640CE,14441474.0,0.0,,,ASIANPAINT25NOV2640PE,14441730.0,0.0,,
2660,ASIANPAINT25OCT2660CE,14419970.0,0.0,,,ASIANPAINT25OCT2660PE,14420226.0,0.0,,
2680,ASIANPAINT25NOV2680CE,14441986.0,0.0,,,ASIANPAINT25NOV2680PE,14442242.0,0.0,,
2700,ASIANPAINT25OCT2700CE,14420994.0,40.0,,,ASIANPAINT25OCT2700PE,14421250.0,0.0,,
2720,ASIANPAINT25NOV2720CE,14442498.0,0.0,,,ASIANPAINT25NOV2720PE,14442754.0,0.0,,
2740,ASIANPAINT25OCT2740CE,14421506.0,0.0,,,ASIANPAINT25OCT2740PE,14421762.0,0.0,,
2760,ASIANPAINT25NOV2760CE,14443010.0,0.0,,,ASIANPAINT25NOV2760PE,14443266.0,0.0,,
2780,ASIANPAINT25SEP2780CE,16576002.0,7.7,,,ASIANPAINT25SEP2780PE,16576258.0,272.2,,
2800,ASIANPAINT25NOV2800CE,14443522.0,0.0,,,ASIANPAINT25NOV2800PE,14443778.0,0.0,,
2840,ASIANPAINT25OCT2840CE,16603906.0,13.0,,,ASIANPAINT25OCT2840PE,16604162.0,0.0,,
2880,ASIANPAINT25OCT2880CE,16604418.0,10.45,,,ASIANPAINT25SEP2880PE,17568002.0,350.0,,
2920,ASIANPAINT25SEP2920CE,17568258.0,1.85,,,,,,,
