strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
840,AXISBANK25NOV840CE,14854402,0.0,,,AXISBANK25NOV840PE,14854658.0,0.0,,
860,AXISBANK25OCT860CE,17000962,0.0,,,AXISBANK25OCT860PE,17001218.0,0.0,,
880,AXISBANK25NOV880CE,14855426,0.0,,,AXISBANK25NOV880PE,14855682.0,0.0,,
900,AXISBANK25OCT900CE,17003522,0.0,,,AXISBANK25OCT900PE,17003778.0,0.0,,
920,AXISBANK25NOV920CE,14856962,0.0,,,AXISBANK25NOV920PE,14857218.0,0.0,,
930,AXISBANK25OCT930CE,14819586,0.0,,,AXISBANK25OCT930PE,14819842.0,0.0,,
940,AXISBANK25NOV940CE,14857474,0.0,,,AXISBANK25NOV940PE,14857730.0,0.0,,
950,AXISBANK25OCT950CE,14820098,0.0,,,AXISBANK25OCT950PE,14820354.0,0.0,,
960,AXISBANK25NOV960CE,14857986,0.0,,,AXISBANK25NOV960PE,14858242.0,0.0,,
970,AXISBANK25OCT970CE,14820610,0.0,,,AXISBANK25OCT970PE,14820866.0,0.0,,
980,AXISBANK25NOV980CE,14858498,0.0,,,AXISBANK25NOV980PE,14858754.0,0.0,,
990,AXISBANK25OCT990CE,14821122,0.0,,,AXISBANK25OCT990PE,14821378.0,0.0,,
1000,AXISBANK25NOV1000CE,14859010,0.0,,,AXISBANK25NOV1000PE,14859266.0,0.0,,
1010,AXISBANK25OCT1010CE,14821634,0.0,,,AXISBANK25OCT1010PE,14821890.0,0.0,,
1020,AXISBANK25NOV1020CE,14859522,0.0,,,AXISBANK25NOV1020PE,14859778.0,0.0,,
1030,AXISBANK25OCT1030CE,14822658,0.0,,,AXISBANK25OCT1030PE,14822914.0,0.0,,
1040,AXISBANK25NOV1040CE,14860034,0.0,,,AXISBANK25NOV1040PE,14860290.0,0.0,,
1050,AXISBANK25OCT1050CE,14823170,0.0,,,AXISBANK25OCT1050PE,14825730.0,22.5,,
1060,AXISBANK25NOV1060CE,14860546,0.0,,,AXISBANK25NOV1060PE,14860802.0,0.0,,
1070,AXISBANK25OCT1070CE,14825986,0.0,,,AXISBANK25OCT1070PE,14834178.0,0.0,,
1080,AXISBANK25NOV1080CE,14861314,0.0,,,AXISBANK25NOV1080PE,14861570.0,0.0,,
1090,AXISBANK25OCT1090CE,14834434,0.0,,,AXISBANK25OCT1090PE,14834690.0,0.0,,
1100,AXISBANK25NOV1100CE,14862082,0.0,,,AXISBANK25NOV1100PE,14862338.0,0.0,,
1110,AXISBANK25OCT1110CE,14834946,0.0,,,AXISBANK25OCT1110PE,14835202.0,0.0,,
1120,AXISBANK25NOV1120CE,14862594,0.0,,,AXISBANK25NOV1120PE,14862850.0,0.0,,
1130,AXISBANK25OCT1130CE,14835458,0.0,,,AXISBANK25OCT1130PE,14835714.0,0.0,,
1140,AXISBANK25NOV1140CE,14864130,0.0,,,AXISBANK25NOV1140PE,14864386.0,0.0,,
1150,AXISBANK25OCT1150CE,14835970,0.0,,,AXISBANK25OCT1150PE,14836226.0,0.0,,
1160,AXISBANK25NOV1160CE,14864642,0.0,,,AXISBANK25NOV1160PE,14864898.0,0.0,,
1170,AXISBANK25OCT1170CE,14836482,0.0,,,AXISBANK25OCT1170PE,14836738.0,0.0,,
1180,AXISBANK25OCT1180CE,17024514,0.0,,,AXISBANK25OCT1180PE,17024770.0,0.0,,
1190,AXISBANK25SEP1190CE,16968450,0.8,,,AXISBANK25SEP1190PE,16968706.0,133.0,,
1200,AXISBANK25NOV1200CE,14866178,0.0,,,AXISBANK25NOV1200PE,14866434.0,0.0,,
1220,AXISBANK25OCT1220CE,17025538,0.0,,,AXISBANK25OCT1220PE,17025794.0,0.0,,
1240,AXISBANK25NOV1240CE,14868226,0.0,,,AXISBANK25NOV1240PE,14868482.0,0.0,,
1260,AXISBANK25SEP1260CE,17851394,0.35,,,AXISBANK25SEP1260PE,17851650.0,197.45,,
1300,AXISBANK25SEP1300CE,17852418,0.35,,,,,,,
1400,AXISBANK25SEP1400CE,17854978,0.75,,,,,,,
