strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
6800,,,,,,BAJAJ-AUTO25SEP6800PE,17943554.0,2.55,,
7300,BAJAJ-AUTO25SEP7300CE,17085954.0,1320.0,,,,,,,
7400,BAJAJ-AUTO25OCT7400CE,17131266.0,0.0,,,BAJAJ-AUTO25OCT7400PE,17131522.0,0.0,,
7500,,,,,,BAJAJ-AUTO25SEP7500PE,17086722.0,4.2,,
7600,BAJAJ-AUTO25NOV7600CE,15166978.0,0.0,,,BAJAJ-AUTO25NOV7600PE,15167234.0,0.0,,
7700,BAJAJ-AUTO25OCT7700CE,15099906.0,0.0,,,BAJAJ-AUTO25OCT7700PE,15100162.0,0.0,,
7800,BAJAJ-AUTO25NOV7800CE,15167490.0,0.0,,,BAJAJ-AUTO25NOV7800PE,15167746.0,0.0,,
7900,BAJAJ-AUTO25OCT7900CE,15100418.0,0.0,,,BAJAJ-AUTO25OCT7900PE,15100674.0,0.0,,
8000,BAJAJ-AUTO25NOV8000CE,15168002.0,0.0,,,BAJAJ-AUTO25NOV8000PE,15168258.0,0.0,,
8100,BAJAJ-AUTO25OCT8100CE,15100930.0,0.0,,,BAJAJ-AUTO25OCT8100PE,15101186.0,0.0,,
8200,BAJAJ-AUTO25NOV8200CE,15168514.0,0.0,,,BAJAJ-AUTO25NOV8200PE,15170818.0,0.0,,
8300,BAJAJ-AUTO25OCT8300CE,15101442.0,0.0,,,BAJAJ-AUTO25OCT8300PE,15101698.0,0.0,,
8400,BAJAJ-AUTO25NOV8400CE,15171074.0,0.0,,,BAJAJ-AUTO25NOV8400PE,15171842.0,0.0,,
8500,BAJAJ-AUTO25OCT8500CE,15101954.0,0.0,,,BAJAJ-AUTO25OCT8500PE,15102210.0,0.0,,
8600,BAJAJ-AUTO25NOV8600CE,15172098.0,0.0,,,BAJAJ-AUTO25NOV8600PE,15173378.0,0.0,,
8700,BAJAJ-AUTO25OCT8700CE,15102466.0,0.0,,,BAJAJ-AUTO25OCT8700PE,15102722.0,0.0,,
8800,BAJAJ-AUTO25NOV8800CE,15173634.0,0.0,,,BAJAJ-AUTO25NOV8800PE,15173890.0,0.0,,
8900,BAJAJ-AUTO25OCT8900CE,15102978.0,355.85,,,BAJAJ-AUTO25OCT8900PE,15103746.0,0.0,,
9000,BAJAJ-AUTO25NOV9000CE,15174146.0,450.0,,,BAJAJ-AUTO25NOV9000PE,15175426.0,0.0,,
9100,BAJAJ-AUTO25OCT9100CE,15104002.0,274.05,,,BAJAJ-AUTO25OCT9100PE,15104258.0,0.0,,
9200,BAJAJ-AUTO25NOV9200CE,15175682.0,0.0,,,BAJAJ-AUTO25NOV9200PE,15175938.0,0.0,,
9300,BAJAJ-AUTO25OCT9300CE,15104514.0,0.0,,,BAJAJ-AUTO25OCT9300PE,15105538.0,0.0,,
9400,BAJAJ-AUTO25NOV9400CE,15176194.0,0.0,,,BAJAJ-AUTO25NOV9400PE,15176962.0,0.0,,
9500,BAJAJ-AUTO25OCT9500CE,15105794.0,0.0,,,BAJAJ-AUTO25OCT9500PE,15111682.0,0.0,,
9600,BAJAJ-AUTO25NOV9600CE,15177218.0,0.0,,,BAJAJ-AUTO25NOV9600PE,15179522.0,0.0,,
9700,BAJAJ-AUTO25SEP9700CE,17093122.0,41.75,,,BAJAJ-AUTO25SEP9700PE,17093378.0,989.0,,
9800,BAJAJ-AUTO25OCT9800CE,17137410.0,0.0,,,BAJAJ-AUTO25OCT9800PE,17137666.0,0.0,,
10000,BAJAJ-AUTO25NOV10000CE,15180290.0,0.0,,,BAJAJ-AUTO25NOV10000PE,15180546.0,0.0,,
