strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
1600,BAJAJFINSV25NOV1600CE,15315714.0,0.0,,,BAJAJFINSV25NOV1600PE,15315970.0,0.0,,
1640,BAJAJFINSV25OCT1640CE,17241858.0,0.0,,,BAJAJFINSV25OCT1640PE,17242114.0,0.0,,
1680,BAJAJFINSV25NOV1680CE,15324930.0,0.0,,,BAJAJFINSV25NOV1680PE,15327746.0,0.0,,
1700,BAJAJFINSV25SEP1700CE,17167874.0,224.5,,,BAJAJFINSV25SEP1700PE,17168130.0,1.4,,
1720,BAJAJFINSV25NOV1720CE,15328002.0,0.0,,,BAJAJFINSV25NOV1720PE,15353858.0,0.0,,
1740,BAJAJFINSV25OCT1740CE,15207426.0,0.0,,,BAJAJFINSV25OCT1740PE,15229186.0,0.0,,
1760,BAJAJFINSV25NOV1760CE,15356674.0,0.0,,,BAJAJFINSV25NOV1760PE,15356930.0,0.0,,
1780,BAJAJFINSV25OCT1780CE,15229442.0,0.0,,,BAJAJFINSV25OCT1780PE,15231234.0,0.0,,
1800,BAJAJFINSV25NOV1800CE,15357698.0,0.0,,,BAJAJFINSV25NOV1800PE,15357954.0,0.0,,
1820,BAJAJFINSV25OCT1820CE,15231490.0,0.0,,,BAJAJFINSV25OCT1820PE,15237122.0,0.0,,
1840,BAJAJFINSV25NOV1840CE,15358210.0,0.0,,,BAJAJFINSV25NOV1840PE,15358722.0,0.0,,
1860,BAJAJFINSV25OCT1860CE,15237378.0,0.0,,,BAJAJFINSV25OCT1860PE,15242754.0,0.0,,
1880,BAJAJFINSV25NOV1880CE,15358978.0,0.0,,,BAJAJFINSV25NOV1880PE,15359234.0,0.0,,
1900,BAJAJFINSV25OCT1900CE,15243778.0,0.0,,,BAJAJFINSV25OCT1900PE,15244290.0,0.0,,
1920,BAJAJFINSV25NOV1920CE,15359490.0,0.0,,,BAJAJFINSV25NOV1920PE,15360258.0,0.0,,
1940,BAJAJFINSV25OCT1940CE,15244546.0,0.0,,,BAJAJFINSV25OCT1940PE,15244802.0,0.0,,
1960,BAJAJFINSV25NOV1960CE,15360514.0,0.0,,,BAJAJFINSV25NOV1960PE,15361026.0,0.0,,
1980,BAJAJFINSV25OCT1980CE,15246082.0,0.0,,,BAJAJFINSV25OCT1980PE,15249410.0,0.0,,
2000,BAJAJFINSV25NOV2000CE,15361538.0,0.0,,,BAJAJFINSV25NOV2000PE,15362050.0,0.0,,
2020,BAJAJFINSV25OCT2020CE,15249666.0,40.0,,,BAJAJFINSV25OCT2020PE,15249922.0,0.0,,
2040,BAJAJFINSV25NOV2040CE,15362306.0,0.0,,,BAJAJFINSV25NOV2040PE,15362562.0,0.0,,
2060,BAJAJFINSV25OCT2060CE,15255042.0,0.0,,,BAJAJFINSV25OCT2060PE,15255554.0,0.0,,
2080,BAJAJFINSV25NOV2080CE,15362818.0,0.0,,,BAJAJFINSV25NOV2080PE,15363074.0,0.0,,
2100,BAJAJFINSV25OCT2100CE,15256578.0,0.0,,,BAJAJFINSV25OCT2100PE,15257346.0,0.0,,
2120,BAJAJFINSV25NOV2120CE,15363330.0,0.0,,,BAJAJFINSV25NOV2120PE,15363586.0,0.0,,
2140,BAJAJFINSV25SEP2140CE,17202946.0,2.6,,,BAJAJFINSV25SEP2140PE,17206786.0,174.0,,
2160,BAJAJFINSV25NOV2160CE,15363842.0,0.0,,,BAJAJFINSV25NOV2160PE,15364098.0,0.0,,
2200,BAJAJFINSV25OCT2200CE,17250818.0,0.0,,,BAJAJFINSV25OCT2200PE,17251074.0,234.0,,
2240,BAJAJFINSV25NOV2240CE,15368962.0,0.0,,,BAJAJFINSV25NOV2240PE,15369218.0,0.0,,
2280,BAJAJFINSV25SEP2280CE,18086146.0,1.0,,,,,,,
2320,,,,,,BAJAJFINSV25SEP2320PE,18087170.0,376.0,,
