strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
40500,BANKNIFTY25SEP40500CE,15800578,13885.7,,,BANKNIFTY25SEP40500PE,15800834,5.0,,
42000,BANKNIFTY25SEP42000CE,15801090,0.0,,,BANKNIFTY25SEP42000PE,15867650,5.8,,
43500,BANKNIFTY25SEP43500CE,15867906,0.0,,,BANKNIFTY25DEC43500PE,15388162,29.0,,
45000,BANKNIFTY25SEP45000CE,15983362,0.0,,,BANKNIFTY25SEP45000PE,15983618,9.15,,
46000,BANKNIFTY25NOV46000CE,12703234,0.0,,,BANKNIFTY25NOV46000PE,12703490,0.0,,
46500,BANKNIFTY26JUN46500CE,14769410,0.0,,,BANKNIFTY26JUN46500PE,14770178,0.0,,
47000,BANKNIFTY25NOV47000CE,12714498,0.0,,,BANKNIFTY25NOV47000PE,12714754,0.0,,
47500,BANKNIFTY25NOV47500CE,12718850,0.0,,,BANKNIFTY25NOV47500PE,12719106,0.0,,
48000,BANKNIFTY26JUN48000CE,14770434,0.0,,,BANKNIFTY26JUN48000PE,14771202,0.0,,
48500,BANKNIFTY25NOV48500CE,12727810,0.0,,,BANKNIFTY25NOV48500PE,12728066,0.0,,
48700,BANKNIFTY25NOV48700CE,12728834,0.0,,,BANKNIFTY25NOV48700PE,12731138,0.0,,
48800,BANKNIFTY25NOV48800CE,12731394,0.0,,,BANKNIFTY25NOV48800PE,12732162,0.0,,
48900,BANKNIFTY25NOV48900CE,12732418,0.0,,,BANKNIFTY25NOV48900PE,12732674,0.0,,
49000,BANKNIFTY25NOV49000CE,12732930,0.0,,,BANKNIFTY25NOV49000PE,12733186,0.0,,
49100,BANKNIFTY25NOV49100CE,12733442,0.0,,,BANKNIFTY25NOV49100PE,12734722,0.0,,
49200,BANKNIFTY25NOV49200CE,12734978,0.0,,,BANKNIFTY25NOV49200PE,12735234,0.0,,
49300,BANKNIFTY25NOV49300CE,12735490,0.0,,,BANKNIFTY25NOV49300PE,12735746,0.0,,
49400,BANKNIFTY25NOV49400CE,12736258,0.0,,,BANKNIFTY25NOV49400PE,12736514,0.0,,
49500,BANKNIFTY26JUN49500CE,14772482,0.0,,,BANKNIFTY26JUN49500PE,14772994,0.0,,
49600,BANKNIFTY25NOV49600CE,12737282,0.0,,,BANKNIFTY25NOV49600PE,12737538,0.0,,
49700,BANKNIFTY25NOV49700CE,12737794,0.0,,,BANKNIFTY25NOV49700PE,12738050,0.0,,
49800,BANKNIFTY25NOV49800CE,12738818,0.0,,,BANKNIFTY25NOV49800PE,12739074,0.0,,
49900,BANKNIFTY25NOV49900CE,12739330,0.0,,,BANKNIFTY25NOV49900PE,12739586,0.0,,
50000,BANKNIFTY25NOV50000CE,12739842,4800.0,,,BANKNIFTY25NOV50000PE,12740098,149.35,,
50100,BANKNIFTY25NOV50100CE,12740354,0.0,,,BANKNIFTY25NOV50100PE,12740610,0.0,,
50200,BANKNIFTY25NOV50200CE,12740866,0.0,,,BANKNIFTY25NOV50200PE,12741122,0.0,,
50300,BANKNIFTY25NOV50300CE,12741378,0.0,,,BANKNIFTY25NOV50300PE,12741634,0.0,,
50400,BANKNIFTY25NOV50400CE,12742146,0.0,,,BANKNIFTY25NOV50400PE,12742402,0.0,,
50500,BANKNIFTY25NOV50500CE,12742914,0.0,,,BANKNIFTY25NOV50500PE,12743170,0.0,,
50600,BANKNIFTY25NOV50600CE,12743426,0.0,,,BANKNIFTY25NOV50600PE,12743682,0.0,,
50700,BANKNIFTY25NOV50700CE,12743938,0.0,,,BANKNIFTY25NOV50700PE,12744194,0.0,,
50800,BANKNIFTY25NOV50800CE,12744450,0.0,,,BANKNIFTY25NOV50800PE,12744706,0.0,,
50900,BANKNIFTY25NOV50900CE,12744962,0.0,,,BANKNIFTY25NOV50900PE,12745218,480.95,,
51000,BANKNIFTY26JUN51000CE,14774530,0.0,,,BANKNIFTY26JUN51000PE,14774786,0.0,,
51100,BANKNIFTY25NOV51100CE,12745986,0.0,,,BANKNIFTY25NOV51100PE,12746242,0.0,,
51200,BANKNIFTY25NOV51200CE,12746498,0.0,,,BANKNIFTY25NOV51200PE,12746754,0.0,,
51300,BANKNIFTY25NOV51300CE,12747010,0.0,,,BANKNIFTY25NOV51300PE,12747266,0.0,,
51400,BANKNIFTY25NOV51400CE,12747522,0.0,,,BANKNIFTY25NOV51400PE,12747778,0.0,,
51500,BANKNIFTY25NOV51500CE,12748546,0.0,,,BANKNIFTY25NOV51500PE,12748802,0.0,,
51600,BANKNIFTY25NOV51600CE,12749058,0.0,,,BANKNIFTY25NOV51600PE,12749314,0.0,,
