strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
300,BEL25NOV300CE,16527362.0,0.0,,,BEL25NOV300PE,16527618.0,0.0,,
310,BEL25OCT310CE,17631490.0,0.0,,,BEL25OCT310PE,17631746.0,0.0,,
320,BEL25NOV320CE,16528386.0,0.0,,,BEL25NOV320PE,16528642.0,0.0,,
325,,,,,,BEL25SEP325PE,17606146.0,0.4,,
330,BEL25NOV330CE,16528898.0,0.0,,,BEL25NOV330PE,16529154.0,0.0,,
335,BEL25OCT335CE,16391170.0,0.0,,,BEL25OCT335PE,16391426.0,0.0,,
340,BEL25NOV340CE,16529922.0,0.0,,,BEL25NOV340PE,16530178.0,0.0,,
345,BEL25OCT345CE,16391682.0,0.0,,,BEL25OCT345PE,16393218.0,3.3,,
350,BEL25NOV350CE,16530434.0,0.0,,,BEL25NOV350PE,16530690.0,0.0,,
355,BEL25OCT355CE,16393474.0,0.0,,,BEL25OCT355PE,16394242.0,4.9,,
360,BEL25NOV360CE,16531458.0,0.0,,,BEL25NOV360PE,16531714.0,0.0,,
365,BEL25OCT365CE,16394498.0,17.5,,,BEL25OCT365PE,16396802.0,7.6,,
370,BEL25NOV370CE,16531970.0,0.0,,,BEL25NOV370PE,16532226.0,0.0,,
375,BEL25OCT375CE,16397058.0,14.25,,,BEL25OCT375PE,16397314.0,11.6,,
380,BEL25NOV380CE,16532482.0,0.0,,,BEL25NOV380PE,16532738.0,0.0,,
385,BEL25OCT385CE,16397570.0,0.0,,,BEL25OCT385PE,16397826.0,0.0,,
390,BEL25NOV390CE,16532994.0,0.0,,,BEL25NOV390PE,16533250.0,0.0,,
395,BEL25OCT395CE,16407042.0,6.4,,,BEL25OCT395PE,16407298.0,0.0,,
400,BEL25NOV400CE,16533506.0,0.0,,,BEL25NOV400PE,16533762.0,0.0,,
405,BEL25OCT405CE,16419586.0,4.2,,,BEL25OCT405PE,16419842.0,31.0,,
410,BEL25NOV410CE,16534018.0,0.0,,,BEL25NOV410PE,16534274.0,0.0,,
415,BEL25SEP415CE,17615362.0,0.7,,,BEL25SEP415PE,17616130.0,44.45,,
420,BEL25NOV420CE,16534530.0,4.6,,,BEL25NOV420PE,16534786.0,0.0,,
425,BEL25SEP425CE,17622274.0,0.4,,,BEL25SEP425PE,17622530.0,58.0,,
430,BEL25OCT430CE,17638146.0,1.3,,,BEL25OCT430PE,17638402.0,0.0,,
440,BEL25SEP440CE,18632194.0,0.25,,,BEL25SEP440PE,18632450.0,64.0,,
450,BEL25SEP450CE,18632706.0,0.2,,,BEL25SEP450PE,18632962.0,79.8,,
460,BEL25SEP460CE,18633218.0,0.2,,,,,,,
480,BEL25SEP480CE,18639618.0,0.15,,,,,,,
500,BEL25SEP500CE,18641666.0,0.15,,,,,,,
