strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
310,COALINDIA25OCT310CE,19641858,0.0,,,COALINDIA25OCT310PE,19642114,0.0,,
320,COALINDIA25NOV320CE,19244802,0.0,,,COALINDIA25NOV320PE,19245058,0.0,,
330,COALINDIA25NOV330CE,19246082,0.0,,,COALINDIA25NOV330PE,19249154,0.0,,
335,COALINDIA25OCT335CE,19164162,0.0,,,COALINDIA25OCT335PE,19164418,0.0,,
340,COALINDIA25NOV340CE,19249410,0.0,,,COALINDIA25NOV340PE,19249666,0.0,,
345,COALINDIA25OCT345CE,19186434,0.0,,,COALINDIA25OCT345PE,19186690,0.0,,
350,COALINDIA25NOV350CE,19249922,0.0,,,COALINDIA25NOV350PE,19250434,0.0,,
355,COALINDIA25OCT355CE,19186946,0.0,,,COALINDIA25OCT355PE,19187202,2.5,,
360,COALINDIA25NOV360CE,19250690,0.0,,,COALINDIA25NOV360PE,19250946,0.0,,
365,COALINDIA25OCT365CE,19187458,0.0,,,COALINDIA25OCT365PE,19187714,0.0,,
370,COALINDIA25NOV370CE,19251202,0.0,,,COALINDIA25NOV370PE,19251458,0.0,,
375,COALINDIA25OCT375CE,19187970,0.0,,,COALINDIA25OCT375PE,19188226,0.0,,
380,COALINDIA25NOV380CE,19251714,0.0,,,COALINDIA25NOV380PE,19254018,0.0,,
385,COALINDIA25OCT385CE,19188482,8.7,,,COALINDIA25OCT385PE,19188738,0.0,,
390,COALINDIA25NOV390CE,19254274,0.0,,,COALINDIA25NOV390PE,19254530,0.0,,
395,COALINDIA25OCT395CE,19188994,0.0,,,COALINDIA25OCT395PE,19189250,0.0,,
400,COALINDIA25NOV400CE,19254786,0.0,,,COALINDIA25NOV400PE,19255042,0.0,,
405,COALINDIA25OCT405CE,19189506,0.0,,,COALINDIA25OCT405PE,19189762,0.0,,
410,COALINDIA25NOV410CE,19255298,0.0,,,COALINDIA25NOV410PE,19255554,0.0,,
415,COALINDIA25OCT415CE,19199234,0.0,,,COALINDIA25OCT415PE,19199490,0.0,,
420,COALINDIA25NOV420CE,19255810,0.0,,,COALINDIA25NOV420PE,19256066,0.0,,
425,COALINDIA25SEP425CE,19621122,0.2,,,COALINDIA25SEP425PE,19621378,47.5,,
430,COALINDIA25OCT430CE,19660546,0.0,,,COALINDIA25OCT430PE,19660802,0.0,,
440,COALINDIA25NOV440CE,19256834,0.0,,,COALINDIA25NOV440PE,19257090,0.0,,
450,COALINDIA25SEP450CE,20367106,0.1,,,COALINDIA25SEP450PE,20367362,71.5,,
