strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
1000,,,,,,DRREDDY25SEP1000PE,21572610.0,0.95,,
1040,DRREDDY25NOV1040CE,20544002.0,0.0,,,DRREDDY25NOV1040PE,20544258.0,0.0,,
1060,,,,,,DRREDDY25SEP1060PE,21190914.0,1.0,,
1080,DRREDDY25OCT1080CE,21215746.0,0.0,,,DRREDDY25OCT1080PE,21216002.0,0.0,,
1100,DRREDDY25SEP1100CE,21191170.0,154.75,,,DRREDDY25SEP1100PE,21191426.0,1.1,,
1120,DRREDDY25NOV1120CE,20545538.0,0.0,,,DRREDDY25NOV1120PE,20545794.0,0.0,,
1140,DRREDDY25OCT1140CE,20493314.0,0.0,,,DRREDDY25OCT1140PE,20494594.0,0.0,,
1160,DRREDDY25NOV1160CE,20546562.0,0.0,,,DRREDDY25NOV1160PE,20550146.0,0.0,,
1180,DRREDDY25OCT1180CE,20495362.0,0.0,,,DRREDDY25OCT1180PE,20495618.0,0.0,,
1200,DRREDDY25NOV1200CE,20550658.0,0.0,,,DRREDDY25NOV1200PE,20550914.0,0.0,,
1220,DRREDDY25OCT1220CE,20496130.0,0.0,,,DRREDDY25OCT1220PE,20496386.0,0.0,,
1240,DRREDDY25NOV1240CE,20561154.0,0.0,,,DRREDDY25NOV1240PE,20561410.0,0.0,,
1260,DRREDDY25OCT1260CE,20496642.0,0.0,,,DRREDDY25OCT1260PE,20496898.0,0.0,,
1280,DRREDDY25NOV1280CE,20561666.0,0.0,,,DRREDDY25NOV1280PE,20561922.0,0.0,,
1300,DRREDDY25OCT1300CE,20498178.0,33.3,,,DRREDDY25OCT1300PE,20498434.0,0.0,,
1320,DRREDDY25NOV1320CE,20562178.0,0.0,,,DRREDDY25NOV1320PE,20562434.0,0.0,,
1340,DRREDDY25OCT1340CE,20499202.0,13.5,,,DRREDDY25OCT1340PE,20499458.0,0.0,,
1360,DRREDDY25NOV1360CE,20562690.0,0.0,,,DRREDDY25NOV1360PE,20562946.0,0.0,,
1380,DRREDDY25OCT1380CE,20500226.0,0.0,,,DRREDDY25OCT1380PE,20500482.0,0.0,,
1400,DRREDDY25NOV1400CE,20563202.0,0.0,,,DRREDDY25NOV1400PE,20563458.0,0.0,,
1420,DRREDDY25SEP1420CE,21196802.0,2.0,,,,,,,
1440,DRREDDY25NOV1440CE,20563714.0,0.0,,,DRREDDY25NOV1440PE,20563970.0,0.0,,
1480,DRREDDY25OCT1480CE,21227010.0,0.0,,,DRREDDY25OCT1480PE,21227266.0,0.0,,
1520,DRREDDY25NOV1520CE,20564994.0,0.0,,,DRREDDY25NOV1520PE,20565250.0,0.0,,
