strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
1200,HCLTECH25NOV1200CE,21861634,0.0,,,HCLTECH25NOV1200PE,21861890.0,0.0,,
1240,HCLTECH25OCT1240CE,22729218,0.0,,,HCLTECH25OCT1240PE,22729474.0,0.0,,
1280,HCLTECH25NOV1280CE,21862658,0.0,,,HCLTECH25NOV1280PE,21876226.0,0.0,,
1300,HCLTECH25OCT1300CE,21801730,0.0,,,HCLTECH25OCT1300PE,21803522.0,6.9,,
1320,HCLTECH25NOV1320CE,21876482,0.0,,,HCLTECH25NOV1320PE,21876738.0,0.0,,
1340,HCLTECH25OCT1340CE,21804034,0.0,,,HCLTECH25OCT1340PE,21804290.0,0.0,,
1360,HCLTECH25NOV1360CE,21876994,0.0,,,HCLTECH25NOV1360PE,21877250.0,0.0,,
1380,HCLTECH25OCT1380CE,21804546,0.0,,,HCLTECH25OCT1380PE,21804802.0,0.0,,
1400,HCLTECH25NOV1400CE,21887746,0.0,,,HCLTECH25NOV1400PE,21891330.0,0.0,,
1420,HCLTECH25OCT1420CE,21807106,0.0,,,HCLTECH25OCT1420PE,21807362.0,0.0,,
1440,HCLTECH25NOV1440CE,21891586,0.0,,,HCLTECH25NOV1440PE,21895682.0,0.0,,
1460,HCLTECH25OCT1460CE,21824002,56.95,,,HCLTECH25OCT1460PE,21824258.0,51.0,,
1480,HCLTECH25NOV1480CE,21897218,0.0,,,HCLTECH25NOV1480PE,21897474.0,0.0,,
1500,HCLTECH25OCT1500CE,21824514,41.5,,,HCLTECH25OCT1500PE,21824770.0,0.0,,
1520,HCLTECH25NOV1520CE,21897730,0.0,,,HCLTECH25NOV1520PE,21897986.0,0.0,,
1540,HCLTECH25OCT1540CE,21842946,0.0,,,HCLTECH25OCT1540PE,21843202.0,0.0,,
1560,HCLTECH25NOV1560CE,21898498,0.0,,,HCLTECH25NOV1560PE,21898754.0,0.0,,
1580,HCLTECH25OCT1580CE,21843970,0.0,,,HCLTECH25OCT1580PE,21844226.0,0.0,,
1600,HCLTECH25NOV1600CE,21899010,0.0,,,HCLTECH25NOV1600PE,21899266.0,0.0,,
1620,HCLTECH25OCT1620CE,21844482,0.0,,,HCLTECH25OCT1620PE,21844994.0,0.0,,
1640,HCLTECH25OCT1640CE,22787842,9.0,,,HCLTECH25OCT1640PE,22788098.0,0.0,,
1660,HCLTECH25SEP1660CE,22718722,1.3,,,HCLTECH25SEP1660PE,22718978.0,188.1,,
1680,HCLTECH25NOV1680CE,21900290,0.0,,,HCLTECH25NOV1680PE,21900546.0,0.0,,
1720,HCLTECH25SEP1720CE,23057666,0.65,,,HCLTECH25SEP1720PE,23057922.0,248.05,,
1760,HCLTECH25OCT1760CE,22789378,7.5,,,HCLTECH25SEP1760PE,23058434.0,298.0,,
1920,HCLTECH25SEP1920CE,23064322,0.55,,,,,,,
