strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
4000,HEROMOTOCO25SEP4000CE,23547138.0,1063.15,,,HEROMOTOCO25SEP4000PE,23547394.0,2.05,,
4100,,,,,,HEROMOTOCO25SEP4100PE,23547906.0,2.8,,
4200,HEROMOTOCO25SEP4200CE,23548162.0,935.0,,,,,,,
4300,HEROMOTOCO25SEP4300CE,23548674.0,812.0,,,HEROMOTOCO25SEP4300PE,23548930.0,4.2,,
4350,,,,,,HEROMOTOCO25SEP4350PE,23126274.0,3.7,,
4400,HEROMOTOCO25NOV4400CE,22266370.0,0.0,,,HEROMOTOCO25NOV4400PE,22266626.0,0.0,,
4450,HEROMOTOCO25SEP4450CE,23126530.0,680.0,,,HEROMOTOCO25SEP4450PE,23126786.0,9.9,,
4500,HEROMOTOCO25OCT4500CE,23194882.0,0.0,,,HEROMOTOCO25OCT4500PE,23195138.0,0.0,,
4550,,,,,,HEROMOTOCO25SEP4550PE,23127298.0,8.0,,
4600,HEROMOTOCO25NOV4600CE,22267394.0,0.0,,,HEROMOTOCO25NOV4600PE,22268162.0,0.0,,
4650,HEROMOTOCO25OCT4650CE,22221058.0,0.0,,,HEROMOTOCO25OCT4650PE,22221314.0,0.0,,
4700,HEROMOTOCO25NOV4700CE,22268418.0,0.0,,,HEROMOTOCO25NOV4700PE,22268674.0,0.0,,
4750,HEROMOTOCO25OCT4750CE,22221570.0,0.0,,,HEROMOTOCO25OCT4750PE,22221826.0,0.0,,
4800,HEROMOTOCO25NOV4800CE,22268930.0,0.0,,,HEROMOTOCO25NOV4800PE,22269186.0,0.0,,
4850,HEROMOTOCO25OCT4850CE,22222082.0,0.0,,,HEROMOTOCO25OCT4850PE,22222338.0,0.0,,
4900,HEROMOTOCO25NOV4900CE,22269442.0,0.0,,,HEROMOTOCO25NOV4900PE,22269698.0,0.0,,
4950,HEROMOTOCO25OCT4950CE,22222594.0,0.0,,,HEROMOTOCO25OCT4950PE,22222850.0,0.0,,
5000,HEROMOTOCO25NOV5000CE,22269954.0,0.0,,,HEROMOTOCO25NOV5000PE,22270210.0,0.0,,
5050,HEROMOTOCO25OCT5050CE,22223106.0,0.0,,,HEROMOTOCO25OCT5050PE,22223362.0,0.0,,
5100,HEROMOTOCO25NOV5100CE,22270466.0,0.0,,,HEROMOTOCO25NOV5100PE,22270722.0,0.0,,
5150,HEROMOTOCO25OCT5150CE,22223618.0,0.0,,,HEROMOTOCO25OCT5150PE,22223874.0,0.0,,
5200,HEROMOTOCO25NOV5200CE,22270978.0,0.0,,,HEROMOTOCO25NOV5200PE,22271234.0,0.0,,
5250,HEROMOTOCO25OCT5250CE,22224130.0,0.0,,,HEROMOTOCO25OCT5250PE,22224386.0,0.0,,
5300,HEROMOTOCO25NOV5300CE,22271490.0,0.0,,,HEROMOTOCO25NOV5300PE,22271746.0,0.0,,
5350,HEROMOTOCO25OCT5350CE,22224642.0,181.3,,,HEROMOTOCO25OCT5350PE,22224898.0,0.0,,
5400,HEROMOTOCO25NOV5400CE,22272002.0,0.0,,,HEROMOTOCO25NOV5400PE,22272258.0,0.0,,
5450,HEROMOTOCO25OCT5450CE,22225154.0,0.0,,,HEROMOTOCO25OCT5450PE,22225410.0,0.0,,
5500,HEROMOTOCO25NOV5500CE,22272514.0,0.0,,,HEROMOTOCO25NOV5500PE,22272770.0,0.0,,
5550,HEROMOTOCO25OCT5550CE,22225666.0,0.0,,,HEROMOTOCO25OCT5550PE,22225922.0,0.0,,
5600,HEROMOTOCO25NOV5600CE,22273026.0,0.0,,,HEROMOTOCO25NOV5600PE,22273282.0,0.0,,
5650,HEROMOTOCO25SEP5650CE,9163778.0,28.1,,,,,,,
5700,HEROMOTOCO25OCT5700CE,9539330.0,0.0,,,HEROMOTOCO25OCT5700PE,9539586.0,0.0,,
5800,HEROMOTOCO25OCT5800CE,23206402.0,0.0,,,HEROMOTOCO25OCT5800PE,23206658.0,0.0,,
