strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
1180,ICICIBANK25OCT1180CE,23811842,0.0,,,ICICIBANK25OCT1180PE,23813122.0,0.0,,
1200,ICICIBANK25NOV1200CE,22851842,0.0,,,ICICIBANK25NOV1200PE,22852098.0,0.0,,
1220,ICICIBANK25OCT1220CE,23819778,0.0,,,ICICIBANK25OCT1220PE,23820802.0,0.0,,
1240,ICICIBANK25NOV1240CE,22852866,0.0,,,ICICIBANK25NOV1240PE,22853122.0,0.0,,
1260,ICICIBANK25OCT1260CE,23821826,0.0,,,ICICIBANK25OCT1260PE,23822082.0,0.0,,
1280,ICICIBANK25NOV1280CE,22853890,0.0,,,ICICIBANK25NOV1280PE,22854146.0,0.0,,
1290,ICICIBANK25OCT1290CE,22762498,0.0,,,ICICIBANK25OCT1290PE,22763266.0,0.0,,
1300,ICICIBANK25NOV1300CE,22854402,0.0,,,ICICIBANK25NOV1300PE,22854658.0,0.0,,
1310,ICICIBANK25OCT1310CE,22763522,0.0,,,ICICIBANK25OCT1310PE,22781442.0,0.0,,
1320,ICICIBANK25NOV1320CE,22854914,0.0,,,ICICIBANK25NOV1320PE,22856962.0,0.0,,
1330,ICICIBANK25OCT1330CE,22781698,0.0,,,ICICIBANK25OCT1330PE,22781954.0,0.0,,
1340,ICICIBANK25NOV1340CE,22857218,0.0,,,ICICIBANK25NOV1340PE,22861570.0,0.0,,
1350,ICICIBANK25OCT1350CE,22782210,0.0,,,ICICIBANK25OCT1350PE,22782466.0,11.4,,
1360,ICICIBANK25NOV1360CE,22862082,0.0,,,ICICIBANK25NOV1360PE,22862594.0,0.0,,
1370,ICICIBANK25OCT1370CE,22782722,0.0,,,ICICIBANK25OCT1370PE,22782978.0,0.0,,
1380,ICICIBANK25NOV1380CE,22863106,0.0,,,ICICIBANK25NOV1380PE,22867714.0,0.0,,
1390,ICICIBANK25OCT1390CE,22783234,0.0,,,ICICIBANK25OCT1390PE,22783490.0,0.0,,
1400,ICICIBANK25NOV1400CE,22868482,0.0,,,ICICIBANK25NOV1400PE,22868738.0,0.0,,
1410,ICICIBANK25OCT1410CE,22783746,0.0,,,ICICIBANK25OCT1410PE,22784002.0,0.0,,
1420,ICICIBANK25NOV1420CE,22868994,0.0,,,ICICIBANK25NOV1420PE,22869250.0,0.0,,
1430,ICICIBANK25OCT1430CE,22784258,0.0,,,ICICIBANK25OCT1430PE,22784514.0,0.0,,
1440,ICICIBANK25NOV1440CE,22869506,0.0,,,ICICIBANK25NOV1440PE,22869762.0,0.0,,
1450,ICICIBANK25OCT1450CE,22784770,22.55,,,ICICIBANK25OCT1450PE,22785026.0,0.0,,
1460,ICICIBANK25NOV1460CE,22870018,0.0,,,ICICIBANK25NOV1460PE,22870274.0,0.0,,
1470,ICICIBANK25OCT1470CE,22785282,0.0,,,ICICIBANK25OCT1470PE,22785794.0,0.0,,
1480,ICICIBANK25NOV1480CE,22870530,0.0,,,ICICIBANK25NOV1480PE,22870786.0,0.0,,
1490,ICICIBANK25OCT1490CE,22786050,0.0,,,ICICIBANK25OCT1490PE,22786306.0,0.0,,
1500,ICICIBANK25NOV1500CE,22871042,0.0,,,ICICIBANK25NOV1500PE,22871298.0,0.0,,
1510,ICICIBANK25OCT1510CE,22786562,0.0,,,ICICIBANK25OCT1510PE,22793218.0,0.0,,
1520,ICICIBANK25NOV1520CE,22871554,0.0,,,ICICIBANK25NOV1520PE,22871810.0,0.0,,
1530,ICICIBANK25SEP1530CE,23749122,0.85,,,,,,,
1540,ICICIBANK25OCT1540CE,23828994,0.0,,,ICICIBANK25OCT1540PE,23829250.0,0.0,,
1550,ICICIBANK25SEP1550CE,23756034,0.55,,,ICICIBANK25SEP1550PE,23756290.0,141.0,,
1560,ICICIBANK25NOV1560CE,22872578,0.0,,,ICICIBANK25NOV1560PE,22872834.0,0.0,,
1580,ICICIBANK25OCT1580CE,23830018,0.0,,,ICICIBANK25OCT1580PE,23830274.0,0.0,,
1600,ICICIBANK25NOV1600CE,22873602,0.0,,,ICICIBANK25NOV1600PE,22873858.0,0.0,,
1620,ICICIBANK25OCT1620CE,23831042,0.0,,,ICICIBANK25OCT1620PE,23831298.0,0.0,,
1640,ICICIBANK25OCT1640CE,23831554,16.95,,,,,,,
1680,ICICIBANK25SEP1680CE,24356610,2.25,,,,,,,
1700,ICICIBANK25SEP1700CE,24357122,0.3,,,ICICIBANK25SEP1700PE,24357378.0,247.0,,
