strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
600,INDUSINDBK25NOV600CE,23668994.0,0.0,,,INDUSINDBK25NOV600PE,23669250.0,0.0,,
620,INDUSINDBK25OCT620CE,24797186.0,0.0,,,INDUSINDBK25OCT620PE,24797442.0,0.0,,
640,INDUSINDBK25NOV640CE,23670018.0,0.0,,,INDUSINDBK25NOV640PE,23670274.0,0.0,,
660,INDUSINDBK25NOV660CE,23670530.0,0.0,,,INDUSINDBK25NOV660PE,23670786.0,0.0,,
670,INDUSINDBK25OCT670CE,23643906.0,0.0,,,INDUSINDBK25OCT670PE,23644162.0,0.0,,
680,INDUSINDBK25NOV680CE,23671042.0,0.0,,,INDUSINDBK25NOV680PE,23671298.0,0.0,,
690,INDUSINDBK25OCT690CE,23644418.0,0.0,,,INDUSINDBK25OCT690PE,23644674.0,0.0,,
700,INDUSINDBK25NOV700CE,23671554.0,0.0,,,INDUSINDBK25NOV700PE,23671810.0,0.0,,
710,INDUSINDBK25OCT710CE,23644930.0,0.0,,,INDUSINDBK25OCT710PE,23645186.0,0.0,,
720,INDUSINDBK25NOV720CE,23672066.0,0.0,,,INDUSINDBK25NOV720PE,23672322.0,0.0,,
730,INDUSINDBK25OCT730CE,23645442.0,0.0,,,INDUSINDBK25OCT730PE,23645698.0,0.0,,
740,INDUSINDBK25NOV740CE,23672578.0,0.0,,,INDUSINDBK25NOV740PE,23672834.0,0.0,,
750,INDUSINDBK25OCT750CE,23646210.0,0.0,,,INDUSINDBK25OCT750PE,23646466.0,0.0,,
760,INDUSINDBK25NOV760CE,23673090.0,0.0,,,INDUSINDBK25NOV760PE,23673346.0,0.0,,
770,INDUSINDBK25OCT770CE,23646722.0,0.0,,,INDUSINDBK25OCT770PE,23646978.0,0.0,,
780,INDUSINDBK25NOV780CE,23673602.0,0.0,,,INDUSINDBK25NOV780PE,23673858.0,0.0,,
790,INDUSINDBK25OCT790CE,23647234.0,0.0,,,INDUSINDBK25OCT790PE,23647490.0,0.0,,
800,INDUSINDBK25NOV800CE,23674114.0,0.0,,,INDUSINDBK25NOV800PE,23674370.0,0.0,,
810,INDUSINDBK25OCT810CE,23647746.0,0.0,,,INDUSINDBK25OCT810PE,23648002.0,0.0,,
820,INDUSINDBK25NOV820CE,23674626.0,0.0,,,INDUSINDBK25NOV820PE,23674882.0,0.0,,
830,INDUSINDBK25SEP830CE,24785154.0,2.7,,,INDUSINDBK25SEP830PE,24785410.0,88.1,,
840,INDUSINDBK25NOV840CE,23675138.0,0.0,,,INDUSINDBK25NOV840PE,23675394.0,0.0,,
850,INDUSINDBK25SEP850CE,24785666.0,1.6,,,INDUSINDBK25SEP850PE,24785922.0,95.65,,
860,INDUSINDBK25OCT860CE,24833282.0,0.0,,,INDUSINDBK25OCT860PE,24833538.0,0.0,,
870,,,,,,INDUSINDBK25SEP870PE,24786434.0,114.0,,
880,INDUSINDBK25SEP880CE,25332994.0,0.9,,,INDUSINDBK25SEP880PE,25336322.0,129.35,,
890,,,,,,INDUSINDBK25SEP890PE,24786946.0,135.3,,
900,INDUSINDBK25SEP900CE,25336578.0,0.7,,,INDUSINDBK25SEP900PE,25336834.0,151.0,,
910,INDUSINDBK25SEP910CE,24787458.0,1.9,,,,,,,
920,INDUSINDBK25SEP920CE,25337090.0,0.7,,,INDUSINDBK25SEP920PE,25337346.0,160.6,,
930,INDUSINDBK25SEP930CE,24789506.0,1.0,,,,,,,
950,,,,,,INDUSINDBK25SEP950PE,24790274.0,196.0,,
960,INDUSINDBK25SEP960CE,25338114.0,0.7,,,INDUSINDBK25SEP960PE,25338370.0,209.5,,
