strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
1200,INFY25NOV1200CE,23839746.0,0.0,,,INFY25NOV1200PE,23840514,0.0,,
1240,INFY25OCT1240CE,25004290.0,0.0,,,INFY25OCT1240PE,25004546,0.0,,
1260,,,,,,INFY25SEP1260PE,24975618,0.55,,
1280,INFY25NOV1280CE,23844866.0,0.0,,,INFY25NOV1280PE,23847426,0.0,,
1300,INFY25OCT1300CE,23794434.0,201.0,,,INFY25OCT1300PE,23794690,0.0,,
1320,INFY25NOV1320CE,23847682.0,0.0,,,INFY25NOV1320PE,23847938,0.0,,
1340,INFY25OCT1340CE,23794946.0,0.0,,,INFY25OCT1340PE,23795202,8.4,,
1360,INFY25NOV1360CE,23848194.0,0.0,,,INFY25NOV1360PE,23848450,14.25,,
1380,INFY25OCT1380CE,23796482.0,0.0,,,INFY25OCT1380PE,23796738,0.0,,
1400,INFY25NOV1400CE,23848706.0,0.0,,,INFY25NOV1400PE,23857154,0.0,,
1420,INFY25OCT1420CE,23796994.0,0.0,,,INFY25OCT1420PE,23797250,0.0,,
1440,INFY25NOV1440CE,23857410.0,0.0,,,INFY25NOV1440PE,23857666,0.0,,
1460,INFY25OCT1460CE,23797506.0,74.2,,,INFY25OCT1460PE,23797762,35.0,,
1480,INFY25NOV1480CE,23857922.0,0.0,,,INFY25NOV1480PE,23858434,0.0,,
1500,INFY25OCT1500CE,23798018.0,53.7,,,INFY25OCT1500PE,23798274,52.0,,
1520,INFY25NOV1520CE,23858690.0,0.0,,,INFY25NOV1520PE,23858946,0.0,,
1540,INFY25OCT1540CE,23800322.0,0.0,,,INFY25OCT1540PE,23800578,0.0,,
1560,INFY25NOV1560CE,23859202.0,0.0,,,INFY25NOV1560PE,23859458,0.0,,
1580,INFY25OCT1580CE,23800834.0,0.0,,,INFY25OCT1580PE,23801090,0.0,,
1600,INFY25NOV1600CE,23859714.0,0.0,,,INFY25NOV1600PE,23859970,0.0,,
1620,INFY25OCT1620CE,23801346.0,15.6,,,INFY25OCT1620PE,23801602,135.0,,
1640,INFY25NOV1640CE,23860226.0,24.75,,,INFY25NOV1640PE,23860482,0.0,,
1660,INFY25SEP1660CE,24994306.0,1.85,,,INFY25SEP1660PE,24994562,152.0,,
1680,INFY25NOV1680CE,23860738.0,0.0,,,INFY25NOV1680PE,23860994,0.0,,
1700,INFY25SEP1700CE,24994818.0,1.0,,,INFY25SEP1700PE,24995074,191.0,,
1720,INFY25OCT1720CE,25023490.0,5.1,,,INFY25OCT1720PE,25023746,0.0,,
1760,INFY25OCT1760CE,25024002.0,1.8,,,INFY25OCT1760PE,25025282,263.0,,
1800,INFY25SEP1800CE,25550338.0,0.55,,,INFY25SEP1800PE,25550594,290.0,,
1920,INFY25SEP1920CE,25562882.0,0.35,,,INFY25SEP1920PE,25563138,438.1,,
