strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
260,,,,,,JIOFIN25SEP260PE,26334722.0,0.25,,
270,JIOFIN25OCT270CE,25659906.0,0.0,,,JIOFIN25OCT270PE,25660162.0,1.35,,
280,JIOFIN25NOV280CE,24433154.0,0.0,,,JIOFIN25NOV280PE,24433410.0,3.25,,
285,JIOFIN25OCT285CE,24397826.0,0.0,,,JIOFIN25OCT285PE,24398082.0,0.0,,
290,JIOFIN25NOV290CE,24433666.0,0.0,,,JIOFIN25NOV290PE,24433922.0,0.0,,
295,JIOFIN25OCT295CE,24399362.0,0.0,,,JIOFIN25OCT295PE,24399618.0,0.0,,
300,JIOFIN25NOV300CE,24434178.0,0.0,,,JIOFIN25NOV300PE,24434434.0,8.55,,
305,JIOFIN25OCT305CE,24399874.0,0.0,,,JIOFIN25OCT305PE,24400130.0,0.0,,
310,JIOFIN25NOV310CE,24434690.0,0.0,,,JIOFIN25NOV310PE,24434946.0,15.0,,
315,JIOFIN25OCT315CE,24400386.0,0.0,,,JIOFIN25OCT315PE,24400642.0,0.0,,
320,JIOFIN25NOV320CE,24435202.0,0.0,,,JIOFIN25NOV320PE,24435458.0,0.0,,
325,JIOFIN25OCT325CE,24400898.0,0.0,,,JIOFIN25OCT325PE,24401154.0,0.0,,
330,JIOFIN25NOV330CE,24435714.0,12.0,,,JIOFIN25NOV330PE,24435970.0,0.0,,
335,JIOFIN25OCT335CE,24401410.0,0.0,,,JIOFIN25OCT335PE,24401666.0,0.0,,
340,JIOFIN25NOV340CE,24436226.0,7.65,,,JIOFIN25NOV340PE,24436482.0,0.0,,
345,JIOFIN25SEP345CE,25641730.0,1.15,,,JIOFIN25SEP345PE,25641986.0,30.25,,
350,JIOFIN25OCT350CE,25664514.0,3.4,,,JIOFIN25OCT350PE,25664770.0,0.0,,
355,JIOFIN25SEP355CE,25642242.0,0.6,,,JIOFIN25SEP355PE,25642498.0,39.6,,
360,JIOFIN25NOV360CE,24437250.0,4.2,,,JIOFIN25NOV360PE,24437506.0,0.0,,
365,JIOFIN25SEP365CE,25642754.0,0.35,,,,,,,
370,JIOFIN25SEP370CE,26348546.0,0.25,,,JIOFIN25SEP370PE,26348802.0,58.0,,
380,JIOFIN25OCT380CE,25666818.0,0.95,,,,,,,
