strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
1600,KOTAKBANK25NOV1600CE,25074434.0,0.0,,,KOTAKBANK25NOV1600PE,25074690.0,0.0,,
1640,KOTAKBANK25OCT1640CE,26398466.0,0.0,,,KOTAKBANK25OCT1640PE,26398722.0,0.0,,
1680,KOTAKBANK25NOV1680CE,25075458.0,0.0,,,KOTAKBANK25NOV1680PE,25075714.0,0.0,,
1720,KOTAKBANK25OCT1720CE,26403842.0,0.0,,,KOTAKBANK25OCT1720PE,26404098.0,12.15,,
1740,KOTAKBANK25OCT1740CE,24978434.0,0.0,,,KOTAKBANK25OCT1740PE,24978690.0,0.0,,
1760,KOTAKBANK25NOV1760CE,25076482.0,0.0,,,KOTAKBANK25NOV1760PE,25076738.0,0.0,,
1780,KOTAKBANK25OCT1780CE,24978946.0,0.0,,,KOTAKBANK25OCT1780PE,24979202.0,21.5,,
1800,KOTAKBANK25NOV1800CE,25076994.0,0.0,,,KOTAKBANK25NOV1800PE,25077250.0,0.0,,
1820,KOTAKBANK25OCT1820CE,24979458.0,0.0,,,KOTAKBANK25OCT1820PE,24979714.0,0.0,,
1840,KOTAKBANK25NOV1840CE,25077506.0,0.0,,,KOTAKBANK25NOV1840PE,25077762.0,0.0,,
1860,KOTAKBANK25OCT1860CE,24979970.0,0.0,,,KOTAKBANK25OCT1860PE,24980226.0,0.0,,
1880,KOTAKBANK25NOV1880CE,25078018.0,0.0,,,KOTAKBANK25NOV1880PE,25078274.0,0.0,,
1900,KOTAKBANK25OCT1900CE,24980482.0,0.0,,,KOTAKBANK25OCT1900PE,24980738.0,0.0,,
1920,KOTAKBANK25NOV1920CE,25078530.0,0.0,,,KOTAKBANK25NOV1920PE,25078786.0,0.0,,
1940,KOTAKBANK25OCT1940CE,24980994.0,0.0,,,KOTAKBANK25OCT1940PE,24981250.0,0.0,,
1960,KOTAKBANK25NOV1960CE,25079042.0,0.0,,,KOTAKBANK25NOV1960PE,25079298.0,0.0,,
1980,KOTAKBANK25OCT1980CE,24981506.0,0.0,,,KOTAKBANK25OCT1980PE,24981762.0,0.0,,
2000,KOTAKBANK25NOV2000CE,25079554.0,0.0,,,KOTAKBANK25NOV2000PE,25079810.0,0.0,,
2020,KOTAKBANK25OCT2020CE,24982018.0,0.0,,,KOTAKBANK25OCT2020PE,24982274.0,0.0,,
2040,KOTAKBANK25NOV2040CE,25080066.0,0.0,,,KOTAKBANK25NOV2040PE,25080322.0,0.0,,
2060,KOTAKBANK25OCT2060CE,24982530.0,0.0,,,KOTAKBANK25OCT2060PE,24982786.0,0.0,,
2080,KOTAKBANK25NOV2080CE,25080578.0,0.0,,,KOTAKBANK25NOV2080PE,25080834.0,0.0,,
2100,KOTAKBANK25OCT2100CE,24983042.0,17.0,,,KOTAKBANK25OCT2100PE,24983554.0,0.0,,
2120,KOTAKBANK25NOV2120CE,25081090.0,0.0,,,KOTAKBANK25NOV2120PE,25081346.0,0.0,,
2140,KOTAKBANK25OCT2140CE,24984322.0,24.4,,,KOTAKBANK25OCT2140PE,24984578.0,0.0,,
2160,KOTAKBANK25NOV2160CE,25081602.0,0.0,,,KOTAKBANK25NOV2160PE,25081858.0,0.0,,
2180,KOTAKBANK25OCT2180CE,24984834.0,0.0,,,KOTAKBANK25OCT2180PE,24985090.0,0.0,,
2200,KOTAKBANK25OCT2200CE,26425602.0,0.0,,,KOTAKBANK25OCT2200PE,26425858.0,0.0,,
2220,KOTAKBANK25SEP2220CE,26317058.0,1.15,,,,,,,
2240,KOTAKBANK25NOV2240CE,25082626.0,0.0,,,KOTAKBANK25NOV2240PE,25082882.0,0.0,,
2280,KOTAKBANK25OCT2280CE,26426626.0,0.0,,,KOTAKBANK25OCT2280PE,26427906.0,0.0,,
2320,KOTAKBANK25NOV2320CE,25083650.0,0.0,,,KOTAKBANK25NOV2320PE,25083906.0,0.0,,
2360,,,,,,KOTAKBANK25SEP2360PE,27164930.0,375.25,,
