strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
5,LTF25OCT232.5CE,25587970.0,0.0,,,LTF25OCT232.5PE,25588226.0,0.0,,
170,LTF25SEP170CE,27956226.0,49.95,,,LTF25SEP170PE,27956482.0,0.1,,
175,LTF25SEP175CE,27956738.0,44.0,,,LTF25SEP175PE,27956994.0,0.05,,
180,LTF25SEP180CE,27957250.0,39.85,,,LTF25OCT180PE,27016706.0,0.55,,
185,LTF25OCT185CE,27018242.0,0.0,,,LTF25OCT185PE,27018498.0,0.0,,
190,LTF25NOV190CE,25632258.0,0.0,,,LTF25NOV190PE,25633026.0,0.0,,
195,LTF25NOV195CE,25633282.0,0.0,,,LTF25NOV195PE,25634050.0,0.0,,
200,LTF25NOV200CE,25637378.0,0.0,,,LTF25NOV200PE,25637890.0,0.0,,
205,LTF25NOV205CE,25638146.0,0.0,,,LTF25NOV205PE,25638402.0,0.0,,
210,LTF25NOV210CE,25639170.0,0.0,,,LTF25NOV210PE,25639426.0,0.0,,
215,LTF25NOV215CE,25640194.0,0.0,,,LTF25NOV215PE,25645314.0,0.0,,
220,LTF25NOV220CE,25645570.0,0.0,,,LTF25NOV220PE,25645826.0,0.0,,
225,LTF25NOV225CE,25646082.0,0.0,,,LTF25NOV225PE,25647362.0,0.0,,
230,LTF25NOV230CE,25647618.0,0.0,,,LTF25NOV230PE,25647874.0,0.0,,
235,LTF25NOV235CE,25648130.0,0.0,,,LTF25NOV235PE,25648386.0,0.0,,
240,LTF25NOV240CE,25648642.0,0.0,,,LTF25NOV240PE,25648898.0,0.0,,
245,LTF25OCT245CE,27090946.0,0.0,,,LTF25OCT245PE,27091202.0,0.0,,
250,LTF25NOV250CE,25651202.0,0.0,,,LTF25NOV250PE,25651458.0,0.0,,
255,LTF25SEP255CE,28038914.0,0.45,,,,,,,
280,RECLTD25NOV280CE,29382914.0,0.0,,,RECLTD25NOV280PE,29383170.0,0.0,,
300,RECLTD25NOV300CE,29383426.0,0.0,,,RECLTD25NOV300PE,29384194.0,0.0,,
310,RECLTD25OCT310CE,29369346.0,0.0,,,RECLTD25OCT310PE,29369602.0,0.0,,
320,RECLTD25NOV320CE,29387010.0,0.0,,,RECLTD25NOV320PE,29387266.0,0.0,,
330,RECLTD25OCT330CE,29370370.0,0.0,,,RECLTD25OCT330PE,29370626.0,0.0,,
340,RECLTD25NOV340CE,29387778.0,0.0,,,RECLTD25NOV340PE,29388802.0,0.0,,
350,RECLTD25OCT350CE,29373442.0,0.0,,,RECLTD25OCT350PE,29373698.0,9.15,,
360,RECLTD25NOV360CE,29391362.0,0.0,,,RECLTD25NOV360PE,29391618.0,0.0,,
370,RECLTD25OCT370CE,29373954.0,0.0,,,RECLTD25OCT370PE,29374210.0,0.0,,
380,RECLTD25NOV380CE,29391874.0,0.0,,,RECLTD25NOV380PE,29392130.0,0.0,,
390,RECLTD25OCT390CE,29375746.0,6.6,,,RECLTD25OCT390PE,29376002.0,0.0,,
400,RECLTD25NOV400CE,29392386.0,7.2,,,RECLTD25NOV400PE,29392642.0,0.0,,
410,RECLTD25SEP410CE,30840066.0,0.9,,,RECLTD25SEP410PE,30840322.0,47.35,,
420,RECLTD25NOV420CE,29399554.0,0.0,,,RECLTD25NOV420PE,29399810.0,0.0,,
430,RECLTD25SEP430CE,30840578.0,0.4,,,RECLTD25SEP430PE,30840834.0,67.3,,
440,RECLTD25NOV440CE,29400066.0,0.0,,,RECLTD25NOV440PE,29400322.0,0.0,,
460,RECLTD25OCT460CE,30866434.0,1.1,,,RECLTD25SEP460PE,33005570.0,105.4,,
480,RECLTD25SEP480CE,33005826.0,0.1,,,RECLTD25OCT480PE,30867202.0,124.0,,
960,MAXHEALTH25NOV960CE,26191874.0,0.0,,,MAXHEALTH25NOV960PE,26192130.0,0.0,,
1000,MAXHEALTH25OCT1000CE,27835394.0,0.0,,,MAXHEALTH25OCT1000PE,27835650.0,0.0,,
1040,MAXHEALTH25NOV1040CE,26192898.0,0.0,,,VOLTAS25SEP1040PE,36889346.0,0.7,,
1060,MAXHEALTH25OCT1060CE,26179074.0,0.0,,,MAXHEALTH25OCT1060PE,26179330.0,0.0,,
1080,MAXHEALTH25NOV1080CE,26193922.0,0.0,,,VOLTAS25SEP1080PE,36898050.0,10.05,,
1100,MAXHEALTH25OCT1100CE,26179842.0,0.0,,,VOLTAS25SEP1100PE,34342914.0,0.6,,
1120,MAXHEALTH25NOV1120CE,26194946.0,0.0,,,VOLTAS25SEP1120PE,36898562.0,0.7,,
1140,VOLTAS25SEP1140CE,34343426.0,204.2,,,VOLTAS25SEP1140PE,34343682.0,3.2,,
1160,VOLTAS25OCT1160CE,34361090.0,0.0,,,VOLTAS25OCT1160PE,34361346.0,0.0,,
1180,MAXHEALTH25OCT1180CE,26180866.0,0.0,,,VOLTAS25SEP1180PE,34344194.0,1.65,,
1200,VOLTAS25NOV1200CE,32833794.0,0.0,,,VOLTAS25NOV1200PE,32834050.0,0.0,,
1220,MAXHEALTH25OCT1220CE,26181378.0,0.0,,,VOLTAS25SEP1220PE,34344706.0,2.75,,
1240,VOLTAS25NOV1240CE,32834306.0,0.0,,,VOLTAS25NOV1240PE,32834562.0,0.0,,
1260,VOLTAS25OCT1260CE,32780802.0,0.0,,,VOLTAS25OCT1260PE,32782338.0,0.0,,
1280,VOLTAS25NOV1280CE,32834818.0,0.0,,,VOLTAS25NOV1280PE,32835074.0,0.0,,
1300,VOLTAS25OCT1300CE,32782594.0,0.0,,,VOLTAS25OCT1300PE,32783362.0,0.0,,
1320,VOLTAS25NOV1320CE,32835330.0,0.0,,,VOLTAS25NOV1320PE,32835586.0,0.0,,
1340,VOLTAS25OCT1340CE,32784642.0,0.0,,,VOLTAS25OCT1340PE,32784898.0,0.0,,
1360,VOLTAS25NOV1360CE,32835842.0,0.0,,,VOLTAS25NOV1360PE,32836098.0,0.0,,
1380,VOLTAS25OCT1380CE,32785154.0,0.0,,,VOLTAS25OCT1380PE,32788482.0,0.0,,
1400,VOLTAS25NOV1400CE,32836354.0,0.0,,,VOLTAS25NOV1400PE,32836610.0,0.0,,
1420,VOLTAS25OCT1420CE,32788738.0,0.0,,,VOLTAS25OCT1420PE,32790786.0,0.0,,
1440,VOLTAS25NOV1440CE,32836866.0,0.0,,,VOLTAS25NOV1440PE,32837122.0,0.0,,
1460,VOLTAS25OCT1460CE,32791042.0,0.0,,,VOLTAS25OCT1460PE,32791810.0,0.0,,
1480,VOLTAS25NOV1480CE,32837378.0,0.0,,,VOLTAS25NOV1480PE,32839170.0,0.0,,
1500,VOLTAS25OCT1500CE,32792066.0,0.0,,,VOLTAS25OCT1500PE,32792322.0,0.0,,
1520,VOLTAS25NOV1520CE,32839426.0,0.0,,,VOLTAS25NOV1520PE,32846338.0,0.0,,
1540,VOLTAS25SEP1540CE,34350082.0,8.15,,,PHOENIXLTD25OCT1540PE,28460290.0,0.0,,
1560,VOLTAS25OCT1560CE,34372354.0,0.0,,,VOLTAS25OCT1560PE,34372610.0,0.0,,
1580,PHOENIXLTD25OCT1580CE,28471042.0,0.0,,,PHOENIXLTD25OCT1580PE,28471298.0,0.0,,
1600,PHOENIXLTD25NOV1600CE,28535298.0,0.0,,,PHOENIXLTD25NOV1600PE,28535554.0,0.0,,
1620,PHOENIXLTD25OCT1620CE,28475650.0,0.0,,,PHOENIXLTD25OCT1620PE,28475906.0,0.0,,
1640,PHOENIXLTD25NOV1640CE,28541442.0,0.0,,,PHOENIXLTD25NOV1640PE,28541698.0,0.0,,
1660,PHOENIXLTD25OCT1660CE,28479234.0,0.0,,,PHOENIXLTD25OCT1660PE,28479490.0,0.0,,
1680,PHOENIXLTD25NOV1680CE,28541954.0,0.0,,,PHOENIXLTD25NOV1680PE,28542210.0,0.0,,
1700,OBEROIRLTY25OCT1700CE,27583234.0,0.0,,,OBEROIRLTY25OCT1700PE,27583746.0,0.0,,
1720,PHOENIXLTD25OCT1720CE,30013186.0,0.0,,,PHOENIXLTD25OCT1720PE,30013442.0,0.0,,
1740,OBEROIRLTY25OCT1740CE,27584514.0,0.0,,,OBEROIRLTY25OCT1740PE,27584770.0,0.0,,
1760,PHOENIXLTD25NOV1760CE,28542978.0,0.0,,,PHOENIXLTD25NOV1760PE,28543234.0,0.0,,
1780,OBEROIRLTY25OCT1780CE,27586050.0,0.0,,,OBEROIRLTY25OCT1780PE,27586306.0,0.0,,
1800,PHOENIXLTD25SEP1800CE,31787266.0,2.3,,,OBEROIRLTY25NOV1800PE,27667714.0,0.0,,
1820,OBEROIRLTY25OCT1820CE,27586562.0,0.0,,,OBEROIRLTY25OCT1820PE,27586818.0,0.0,,
1825,,,,,,LTF25SEP1825PE,26982402.0,0.4,,
1840,OBEROIRLTY25NOV1840CE,27667970.0,0.0,,,OBEROIRLTY25NOV1840PE,27668226.0,0.0,,
1860,OBEROIRLTY25SEP1860CE,29289474.0,6.0,,,OBEROIRLTY25SEP1860PE,29289730.0,230.6,,
1875,,,,,,LTF25SEP1875PE,26982914.0,0.3,,
1880,OBEROIRLTY25OCT1880CE,29318146.0,0.0,,,OBEROIRLTY25OCT1880PE,29318914.0,0.0,,
1920,OBEROIRLTY25NOV1920CE,27668994.0,0.0,,,OBEROIRLTY25NOV1920PE,27669250.0,0.0,,
1960,OBEROIRLTY25SEP1960CE,30647298.0,0.65,,,OBEROIRLTY25SEP1960PE,30647554.0,329.55,,
1975,LTF25SEP1975CE,26983682.0,26.45,,,LTF25SEP1975PE,26983938.0,0.8,,
2025,LTF25OCT2025CE,25584130.0,0.0,,,LTF25OCT2025PE,25584898.0,0.0,,
2075,LTF25OCT2075CE,25585410.0,0.0,,,LTF25OCT2075PE,25585666.0,0.0,,
2125,LTF25OCT2125CE,25585922.0,0.0,,,LTF25OCT2125PE,25586178.0,0.0,,
2175,LTF25OCT2175CE,25586434.0,0.0,,,LTF25OCT2175PE,25586690.0,0.0,,
2225,LTF25OCT2225CE,25586946.0,0.0,,,LTF25OCT2225PE,25587202.0,0.0,,
2275,LTF25OCT2275CE,25587458.0,0.0,,,LTF25OCT2275PE,25587714.0,0.0,,
2325,LTF25OCT2325CE,25587970.0,0.0,,,LTF25OCT2325PE,25588226.0,0.0,,
