strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
2600,M&M25SEP2600CE,28247298.0,705.0,,,M&M25SEP2600PE,28247554.0,1.5,,
2700,M&M25OCT2700CE,27334402.0,0.0,,,M&M25OCT2700PE,27334658.0,0.0,,
2800,M&M25NOV2800CE,25819394.0,0.0,,,M&M25NOV2800PE,25819650.0,0.0,,
2850,,,,,,M&M25SEP2850PE,27313410.0,4.55,,
2900,M&M25NOV2900CE,25819906.0,0.0,,,M&M25NOV2900PE,25820162.0,0.0,,
2950,M&M25OCT2950CE,25806338.0,0.0,,,M&M25OCT2950PE,25806594.0,0.0,,
3000,M&M25NOV3000CE,25820418.0,0.0,,,M&M25NOV3000PE,25820674.0,0.0,,
3050,M&M25OCT3050CE,25806850.0,0.0,,,M&M25OCT3050PE,25807106.0,0.0,,
3100,M&M25NOV3100CE,25820930.0,0.0,,,M&M25NOV3100PE,25821186.0,0.0,,
3150,M&M25OCT3150CE,25807618.0,0.0,,,M&M25OCT3150PE,25807874.0,0.0,,
3200,M&M25NOV3200CE,25821442.0,0.0,,,M&M25NOV3200PE,25821698.0,0.0,,
3250,M&M25OCT3250CE,25808130.0,0.0,,,M&M25OCT3250PE,25808898.0,109.85,,
3300,M&M25NOV3300CE,25821954.0,0.0,,,M&M25NOV3300PE,25822210.0,0.0,,
3350,M&M25OCT3350CE,25809154.0,0.0,,,M&M25OCT3350PE,25809410.0,0.0,,
3400,M&M25NOV3400CE,25822466.0,0.0,,,M&M25NOV3400PE,25822722.0,0.0,,
3450,M&M25OCT3450CE,25809666.0,0.0,,,M&M25OCT3450PE,25809922.0,0.0,,
3500,M&M25NOV3500CE,25822978.0,0.0,,,M&M25NOV3500PE,25823234.0,0.0,,
3550,M&M25SEP3550CE,27318786.0,20.0,,,M&M25SEP3550PE,27319042.0,254.1,,
3600,M&M25NOV3600CE,25823490.0,0.0,,,M&M25NOV3600PE,25823746.0,0.0,,
3650,M&M25SEP3650CE,27319298.0,10.1,,,,,,,
3700,M&M25OCT3700CE,27343106.0,0.0,,,M&M25OCT3700PE,27343362.0,0.0,,
3750,M&M25SEP3750CE,27319810.0,5.3,,,,,,,
3800,M&M25OCT3800CE,27343618.0,45.0,,,M&M25SEP3800PE,28282114.0,442.9,,
3850,M&M25SEP3850CE,27320322.0,3.45,,,,,,,
3900,M&M25OCT3900CE,27344130.0,10.25,,,,,,,
