strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
190,ONGC25OCT190CE,29466626,0.0,,,ONGC25OCT190PE,29466882,0.0,,
200,ONGC25NOV200CE,27856642,0.0,,,ONGC25NOV200PE,27856898,0.0,,
210,ONGC25NOV210CE,27857154,0.0,,,ONGC25NOV210PE,27857410,0.0,,
215,ONGC25OCT215CE,27800578,0.0,,,ONGC25OCT215PE,27800834,0.0,,
220,ONGC25NOV220CE,27857666,0.0,,,ONGC25NOV220PE,27857922,0.0,,
225,ONGC25OCT225CE,27801090,0.0,,,ONGC25OCT225PE,27801346,0.0,,
230,ONGC25NOV230CE,27858178,0.0,,,ONGC25NOV230PE,27858434,0.0,,
235,ONGC25OCT235CE,27801602,8.4,,,ONGC25OCT235PE,27801858,0.0,,
240,ONGC25NOV240CE,27858690,0.0,,,ONGC25NOV240PE,27858946,0.0,,
245,ONGC25OCT245CE,27802114,0.0,,,ONGC25OCT245PE,27802370,0.0,,
250,ONGC25NOV250CE,27859202,0.0,,,ONGC25NOV250PE,27859458,0.0,,
255,ONGC25OCT255CE,27802626,0.0,,,ONGC25OCT255PE,27802882,0.0,,
260,ONGC25NOV260CE,27859714,0.0,,,ONGC25NOV260PE,27859970,0.0,,
265,ONGC25SEP265CE,29459970,0.35,,,ONGC25SEP265PE,29460226,26.75,,
270,ONGC25OCT270CE,29470722,0.0,,,ONGC25OCT270PE,29470978,0.0,,
280,ONGC25NOV280CE,27860738,0.0,,,ONGC25NOV280PE,27860994,0.0,,
