strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
240,POWERGRID25NOV240CE,29093634,0.0,,,POWERGRID25NOV240PE,29093890,0.0,,
245,POWERGRID25OCT245CE,29071618,0.0,,,POWERGRID25OCT245PE,29071874,0.0,,
250,POWERGRID25NOV250CE,29094146,0.0,,,POWERGRID25NOV250PE,29094402,0.0,,
255,POWERGRID25OCT255CE,29072642,0.0,,,POWERGRID25OCT255PE,29072898,0.0,,
260,POWERGRID25NOV260CE,29094658,0.0,,,POWERGRID25NOV260PE,29094914,0.0,,
265,POWERGRID25OCT265CE,29073154,0.0,,,POWERGRID25OCT265PE,29073410,0.0,,
270,POWERGRID25NOV270CE,29095170,0.0,,,POWERGRID25NOV270PE,29113346,0.0,,
275,POWERGRID25OCT275CE,29074690,0.0,,,POWERGRID25OCT275PE,29074946,0.0,,
280,POWERGRID25NOV280CE,29113858,0.0,,,POWERGRID25NOV280PE,29114626,0.0,,
285,POWERGRID25OCT285CE,29075202,0.0,,,POWERGRID25OCT285PE,29075458,0.0,,
290,POWERGRID25NOV290CE,29114882,0.0,,,POWERGRID25NOV290PE,29115138,0.0,,
295,POWERGRID25OCT295CE,29075714,0.0,,,POWERGRID25OCT295PE,29075970,0.0,,
300,POWERGRID25NOV300CE,29115394,0.0,,,POWERGRID25NOV300PE,29127426,0.0,,
305,POWERGRID25OCT305CE,29076226,0.0,,,POWERGRID25OCT305PE,29076482,0.0,,
310,POWERGRID25NOV310CE,29127682,0.0,,,POWERGRID25NOV310PE,29127938,0.0,,
315,POWERGRID25SEP315CE,30597122,0.15,,,POWERGRID25SEP315PE,30597378,35.75,,
320,POWERGRID25NOV320CE,29128194,0.0,,,POWERGRID25NOV320PE,29128450,0.0,,
330,POWERGRID25SEP330CE,32716034,0.05,,,POWERGRID25SEP330PE,32716290,49.1,,
