strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
1140,RELIANCE25OCT1140CE,30937346,0.0,,,RELIANCE25OCT1140PE,30939650.0,0.0,,
1160,RELIANCE25NOV1160CE,29547522,0.0,,,RELIANCE25NOV1160PE,29547778.0,0.0,,
1180,RELIANCE25OCT1180CE,30944770,0.0,,,RELIANCE25OCT1180PE,30945026.0,0.0,,
1200,RELIANCE25NOV1200CE,29552386,0.0,,,RELIANCE25NOV1200PE,29552642.0,0.0,,
1220,RELIANCE25OCT1220CE,30953730,0.0,,,RELIANCE25OCT1220PE,30954242.0,4.8,,
1240,RELIANCE25NOV1240CE,29554178,0.0,,,RELIANCE25NOV1240PE,29554434.0,0.0,,
1250,RELIANCE25OCT1250CE,29438466,0.0,,,RELIANCE25OCT1250PE,29438722.0,7.55,,
1260,RELIANCE25NOV1260CE,29554690,0.0,,,RELIANCE25NOV1260PE,29554946.0,0.0,,
1270,RELIANCE25OCT1270CE,29438978,0.0,,,RELIANCE25OCT1270PE,29439234.0,0.0,,
1280,RELIANCE25NOV1280CE,29555202,0.0,,,RELIANCE25NOV1280PE,29555458.0,0.0,,
1290,RELIANCE25OCT1290CE,29439490,0.0,,,RELIANCE25OCT1290PE,29439746.0,12.3,,
1300,RELIANCE25NOV1300CE,29555714,0.0,,,RELIANCE25NOV1300PE,29555970.0,21.35,,
1310,RELIANCE25OCT1310CE,29440002,0.0,,,RELIANCE25OCT1310PE,29440258.0,18.75,,
1320,RELIANCE25NOV1320CE,29556226,0.0,,,RELIANCE25NOV1320PE,29556482.0,0.0,,
1330,RELIANCE25OCT1330CE,29462530,0.0,,,RELIANCE25OCT1330PE,29462786.0,24.3,,
1340,RELIANCE25NOV1340CE,29556738,0.0,,,RELIANCE25NOV1340PE,29556994.0,0.0,,
1350,RELIANCE25OCT1350CE,29498114,51.5,,,RELIANCE25OCT1350PE,29498370.0,32.9,,
1360,RELIANCE25NOV1360CE,29557250,0.0,,,RELIANCE25NOV1360PE,29567234.0,43.45,,
1370,RELIANCE25OCT1370CE,29499138,45.0,,,RELIANCE25OCT1370PE,29499394.0,42.75,,
1380,RELIANCE25NOV1380CE,29567490,0.0,,,RELIANCE25NOV1380PE,29571842.0,45.0,,
1390,RELIANCE25OCT1390CE,29499650,32.35,,,RELIANCE25OCT1390PE,29499906.0,40.25,,
1400,RELIANCE25NOV1400CE,29572098,40.95,,,RELIANCE25NOV1400PE,29574146.0,109.0,,
1410,RELIANCE25OCT1410CE,29500418,26.3,,,RELIANCE25OCT1410PE,29500674.0,49.15,,
1420,RELIANCE25NOV1420CE,29574402,0.0,,,RELIANCE25NOV1420PE,29575170.0,0.0,,
1430,RELIANCE25OCT1430CE,29500930,0.0,,,RELIANCE25OCT1430PE,29501442.0,0.0,,
1440,RELIANCE25NOV1440CE,29575426,0.0,,,RELIANCE25NOV1440PE,29575682.0,86.0,,
1450,RELIANCE25OCT1450CE,29501954,14.45,,,RELIANCE25OCT1450PE,29502466.0,0.0,,
1460,RELIANCE25NOV1460CE,29575938,0.0,,,RELIANCE25NOV1460PE,29576194.0,0.0,,
1470,RELIANCE25OCT1470CE,29502722,0.0,,,RELIANCE25OCT1470PE,29502978.0,0.0,,
1480,RELIANCE25NOV1480CE,29576450,0.0,,,RELIANCE25NOV1480PE,29576706.0,0.0,,
1490,RELIANCE25SEP1490CE,30903298,2.1,,,RELIANCE25SEP1490PE,30903554.0,132.7,,
1500,RELIANCE25NOV1500CE,29576962,15.0,,,RELIANCE25OCT1500PE,30977282.0,139.05,,
1510,RELIANCE25SEP1510CE,30903810,1.5,,,RELIANCE25SEP1510PE,30904066.0,149.35,,
1520,RELIANCE25NOV1520CE,29581314,0.0,,,RELIANCE25NOV1520PE,29581570.0,0.0,,
1530,RELIANCE25SEP1530CE,30904322,1.05,,,RELIANCE25SEP1530PE,30904578.0,175.85,,
1540,RELIANCE25OCT1540CE,30978050,4.65,,,RELIANCE25OCT1540PE,30978306.0,160.35,,
1560,RELIANCE25NOV1560CE,29582338,0.0,,,RELIANCE25NOV1560PE,29582594.0,0.0,,
1580,RELIANCE25OCT1580CE,30979074,2.95,,,RELIANCE25OCT1580PE,30980354.0,206.0,,
1600,RELIANCE25OCT1600CE,30980610,2.4,,,RELIANCE25SEP1600PE,33196290.0,237.7,,
1620,RELIANCE25SEP1620CE,33196546,0.5,,,RELIANCE25SEP1620PE,33196802.0,262.05,,
1640,RELIANCE25SEP1640CE,33197058,0.45,,,RELIANCE25SEP1640PE,33202434.0,276.45,,
1660,RELIANCE25SEP1660CE,33202690,0.4,,,,,,,
1680,RELIANCE25SEP1680CE,33204738,0.4,,,,,,,
1720,RELIANCE25SEP1720CE,33211394,0.3,,,,,,,
