strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
440,SHRIRAMFIN25NOV440CE,30398210.0,0.0,,,SHRIRAMFIN25NOV440PE,30398466,0.0,,
480,SHRIRAMFIN25NOV480CE,30399234.0,0.0,,,SHRIRAMFIN25NOV480PE,30399490,0.0,,
500,SHRIRAMFIN25OCT500CE,31683330.0,0.0,,,SHRIRAMFIN25OCT500PE,31683586,0.0,,
510,SHRIRAMFIN25OCT510CE,30371842.0,0.0,,,SHRIRAMFIN25OCT510PE,30372098,0.0,,
520,SHRIRAMFIN25NOV520CE,30404354.0,0.0,,,SHRIRAMFIN25NOV520PE,30404610,0.0,,
530,SHRIRAMFIN25OCT530CE,30372866.0,0.0,,,SHRIRAMFIN25OCT530PE,30373122,15.0,,
540,SHRIRAMFIN25NOV540CE,30406914.0,0.0,,,SHRIRAMFIN25NOV540PE,30407170,0.0,,
550,SHRIRAMFIN25OCT550CE,30374402.0,0.0,,,SHRIRAMFIN25OCT550PE,30374658,0.0,,
560,SHRIRAMFIN25NOV560CE,30421506.0,0.0,,,SHRIRAMFIN25NOV560PE,30421762,0.0,,
570,SHRIRAMFIN25OCT570CE,30377986.0,0.0,,,SHRIRAMFIN25OCT570PE,30378242,0.0,,
580,SHRIRAMFIN25NOV580CE,30422018.0,0.0,,,SHRIRAMFIN25NOV580PE,30422274,0.0,,
590,SHRIRAMFIN25OCT590CE,30378498.0,0.0,,,SHRIRAMFIN25OCT590PE,30378754,0.0,,
600,SHRIRAMFIN25NOV600CE,30427394.0,0.0,,,SHRIRAMFIN25NOV600PE,30427650,0.0,,
610,SHRIRAMFIN25OCT610CE,30380034.0,0.0,,,SHRIRAMFIN25OCT610PE,30382338,0.0,,
620,SHRIRAMFIN25NOV620CE,30427906.0,0.0,,,SHRIRAMFIN25NOV620PE,30428162,0.0,,
630,SHRIRAMFIN25OCT630CE,30382594.0,0.0,,,SHRIRAMFIN25OCT630PE,30384130,0.0,,
640,SHRIRAMFIN25NOV640CE,30428418.0,0.0,,,SHRIRAMFIN25NOV640PE,30428674,0.0,,
650,SHRIRAMFIN25OCT650CE,30384386.0,0.0,,,SHRIRAMFIN25OCT650PE,30384642,0.0,,
660,SHRIRAMFIN25OCT660CE,31698434.0,0.0,,,SHRIRAMFIN25OCT660PE,31698690,0.0,,
670,SHRIRAMFIN25SEP670CE,31628290.0,1.7,,,SHRIRAMFIN25SEP670PE,31628546,79.25,,
680,SHRIRAMFIN25NOV680CE,30446082.0,0.0,,,SHRIRAMFIN25NOV680PE,30446338,0.0,,
700,SHRIRAMFIN25SEP700CE,34276866.0,0.85,,,SHRIRAMFIN25SEP700PE,34277122,123.1,,
720,SHRIRAMFIN25NOV720CE,30447362.0,0.0,,,SHRIRAMFIN25NOV720PE,30447618,0.0,,
740,,,,,,SHRIRAMFIN25SEP740PE,34278146,159.0,,
