strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
540,TATAMOTORS25SEP540CE,35699202,153.0,,,TATAMOTORS25SEP540PE,35699458,0.35,,
560,TATAMOTORS25NOV560CE,31317762,0.0,,,TATAMOTORS25NOV560PE,31318018,0.0,,
570,TATAMOTORS25SEP570CE,32735234,114.0,,,TATAMOTORS25SEP570PE,32735490,0.5,,
580,TATAMOTORS25NOV580CE,31327234,0.0,,,TATAMOTORS25NOV580PE,31334914,0.0,,
590,TATAMOTORS25SEP590CE,32742402,86.0,,,TATAMOTORS25SEP590PE,32742658,0.85,,
600,TATAMOTORS25NOV600CE,31335170,0.0,,,TATAMOTORS25NOV600PE,31335426,0.0,,
610,TATAMOTORS25OCT610CE,31281922,0.0,,,TATAMOTORS25OCT610PE,31282434,3.4,,
620,TATAMOTORS25NOV620CE,31335682,0.0,,,TATAMOTORS25NOV620PE,31336962,0.0,,
630,TATAMOTORS25OCT630CE,31282690,0.0,,,TATAMOTORS25OCT630PE,31282946,0.0,,
640,TATAMOTORS25NOV640CE,31337218,0.0,,,TATAMOTORS25NOV640PE,31341058,0.0,,
650,TATAMOTORS25OCT650CE,31283202,0.0,,,TATAMOTORS25OCT650PE,31283458,9.45,,
660,TATAMOTORS25NOV660CE,31343106,0.0,,,TATAMOTORS25NOV660PE,31343874,0.0,,
670,TATAMOTORS25OCT670CE,31283714,32.0,,,TATAMOTORS25OCT670PE,31283970,0.0,,
680,TATAMOTORS25NOV680CE,31344386,0.0,,,TATAMOTORS25NOV680PE,31357442,0.0,,
690,TATAMOTORS25OCT690CE,31284226,29.0,,,TATAMOTORS25OCT690PE,31284482,0.0,,
700,TATAMOTORS25NOV700CE,31357698,25.3,,,TATAMOTORS25NOV700PE,31357954,0.0,,
710,TATAMOTORS25OCT710CE,31284738,20.25,,,TATAMOTORS25OCT710PE,31284994,0.0,,
720,TATAMOTORS25NOV720CE,31358210,0.0,,,TATAMOTORS25NOV720PE,31358466,0.0,,
730,TATAMOTORS25OCT730CE,31285250,13.6,,,TATAMOTORS25OCT730PE,31285506,0.0,,
740,TATAMOTORS25NOV740CE,31358722,12.0,,,TATAMOTORS25NOV740PE,31358978,0.0,,
750,TATAMOTORS25SEP750CE,32752130,3.4,,,TATAMOTORS25SEP750PE,32752386,58.35,,
760,TATAMOTORS25NOV760CE,31359234,0.0,,,TATAMOTORS25NOV760PE,31363842,0.0,,
770,TATAMOTORS25SEP770CE,32788994,1.7,,,TATAMOTORS25SEP770PE,32789250,76.8,,
780,TATAMOTORS25SEP780CE,35720962,1.2,,,TATAMOTORS25SEP780PE,35721218,86.05,,
800,TATAMOTORS25NOV800CE,31366146,4.25,,,TATAMOTORS25NOV800PE,31366402,0.0,,
840,TATAMOTORS25SEP840CE,35726594,0.35,,,TATAMOTORS25OCT840PE,32832002,160.0,,
