strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
2560,,,,,,TCS25SEP2560PE,36254466.0,1.6,,
2600,TCS25OCT2600CE,33183234.0,0.0,,,TCS25OCT2600PE,33183490.0,0.0,,
2640,TCS25NOV2640CE,31661314.0,0.0,,,TCS25NOV2640PE,31661570.0,0.0,,
2680,TCS25OCT2680CE,33184258.0,0.0,,,TCS25OCT2680PE,33184514.0,0.0,,
2720,TCS25NOV2720CE,31662338.0,0.0,,,TCS25NOV2720PE,31664130.0,0.0,,
2760,TCS25OCT2760CE,33186306.0,0.0,,,TCS25OCT2760PE,33187074.0,0.0,,
2780,,,,,,TCS25SEP2780PE,33116674.0,1.85,,
2800,TCS25NOV2800CE,31664898.0,0.0,,,TCS25NOV2800PE,31665154.0,0.0,,
2820,,,,,,TCS25SEP2820PE,33117186.0,2.65,,
2840,TCS25NOV2840CE,31665410.0,0.0,,,TCS25NOV2840PE,31665666.0,0.0,,
2860,TCS25OCT2860CE,31585026.0,0.0,,,TCS25OCT2860PE,31585282.0,0.0,,
2880,TCS25NOV2880CE,31665922.0,0.0,,,TCS25NOV2880PE,31672578.0,0.0,,
2900,TCS25OCT2900CE,31585538.0,0.0,,,TCS25OCT2900PE,31585794.0,0.0,,
2920,TCS25NOV2920CE,31672834.0,0.0,,,TCS25NOV2920PE,31673090.0,0.0,,
2940,TCS25OCT2940CE,31586050.0,0.0,,,TCS25OCT2940PE,31586818.0,0.0,,
2960,TCS25NOV2960CE,31673346.0,0.0,,,TCS25NOV2960PE,31673602.0,0.0,,
2980,TCS25OCT2980CE,31587074.0,0.0,,,TCS25OCT2980PE,31605762.0,0.0,,
3000,TCS25NOV3000CE,31673858.0,218.0,,,TCS25NOV3000PE,31674114.0,0.0,,
3020,TCS25OCT3020CE,31606018.0,0.0,,,TCS25OCT3020PE,31610114.0,0.0,,
3040,TCS25NOV3040CE,31674882.0,0.0,,,TCS25NOV3040PE,31675138.0,0.0,,
3060,TCS25OCT3060CE,31610370.0,0.0,,,TCS25OCT3060PE,31610626.0,0.0,,
3080,TCS25NOV3080CE,31675394.0,0.0,,,TCS25NOV3080PE,31677698.0,0.0,,
3100,TCS25OCT3100CE,31610882.0,113.6,,,TCS25OCT3100PE,31611138.0,76.0,,
3120,TCS25NOV3120CE,31677954.0,0.0,,,TCS25NOV3120PE,31684354.0,100.0,,
3140,TCS25OCT3140CE,31611394.0,94.15,,,TCS25OCT3140PE,31611650.0,94.0,,
3160,TCS25NOV3160CE,31684610.0,0.0,,,TCS25NOV3160PE,31685890.0,0.0,,
3180,TCS25OCT3180CE,31611906.0,0.0,,,TCS25OCT3180PE,31612162.0,114.0,,
3200,TCS25NOV3200CE,31686146.0,0.0,,,TCS25NOV3200PE,31686402.0,0.0,,
3220,TCS25OCT3220CE,31612418.0,0.0,,,TCS25OCT3220PE,31613186.0,0.0,,
3240,TCS25NOV3240CE,31686658.0,0.0,,,TCS25NOV3240PE,31686914.0,0.0,,
3260,TCS25OCT3260CE,31613442.0,0.0,,,TCS25OCT3260PE,31613698.0,0.0,,
3280,TCS25NOV3280CE,31687170.0,0.0,,,TCS25NOV3280PE,31687938.0,0.0,,
3300,TCS25OCT3300CE,31613954.0,36.4,,,TCS25OCT3300PE,31633154.0,198.0,,
3320,TCS25NOV3320CE,31688450.0,0.0,,,TCS25NOV3320PE,31688706.0,0.0,,
3340,TCS25SEP3340CE,33131522.0,7.35,,,TCS25SEP3340PE,33131778.0,233.0,,
3360,TCS25NOV3360CE,31688962.0,0.0,,,TCS25NOV3360PE,31689218.0,0.0,,
3380,TCS25SEP3380CE,33132034.0,4.85,,,TCS25SEP3380PE,33132290.0,271.55,,
3400,TCS25OCT3400CE,33203714.0,19.55,,,TCS25OCT3400PE,33203970.0,276.0,,
3440,TCS25NOV3440CE,31689986.0,0.0,,,TCS25NOV3440PE,31690242.0,0.0,,
3480,TCS25OCT3480CE,33205506.0,0.0,,,TCS25OCT3480PE,33205762.0,0.0,,
3520,TCS25NOV3520CE,31691010.0,0.0,,,TCS25NOV3520PE,31691266.0,0.0,,
3560,TCS25OCT3560CE,33206530.0,0.0,,,TCS25OCT3560PE,33206786.0,0.0,,
3600,TCS25NOV3600CE,31692034.0,0.0,,,TCS25NOV3600PE,31692290.0,0.0,,
3640,TCS25SEP3640CE,36267010.0,1.5,,,TCS25SEP3640PE,36267266.0,525.0,,
3760,TCS25SEP3760CE,36268546.0,0.85,,,,,,,
3920,,,,,,TCS25SEP3920PE,36271362.0,775.0,,
