strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
2800,,,,,,TITAN25SEP2800PE,36445698,1.0,,
2900,,,,,,TITAN25SEP2900PE,36446210,1.25,,
3000,TITAN25NOV3000CE,31970306.0,0.0,,,TITAN25NOV3000PE,31983618,0.0,,
3100,TITAN25OCT3100CE,33459202.0,0.0,,,TITAN25OCT3100PE,33459458,0.0,,
3150,,,,,,TITAN25SEP3150PE,33441538,6.45,,
3200,TITAN25NOV3200CE,31984386.0,0.0,,,TITAN25NOV3200PE,31984642,0.0,,
3300,TITAN25NOV3300CE,31984898.0,0.0,,,TITAN25NOV3300PE,31985154,0.0,,
3350,TITAN25OCT3350CE,31932674.0,0.0,,,TITAN25OCT3350PE,31932930,0.0,,
3400,TITAN25NOV3400CE,31985410.0,0.0,,,TITAN25NOV3400PE,31985666,0.0,,
3450,TITAN25OCT3450CE,31933186.0,0.0,,,TITAN25OCT3450PE,31933442,0.0,,
3500,TITAN25NOV3500CE,31985922.0,0.0,,,TITAN25NOV3500PE,31986178,0.0,,
3550,TITAN25OCT3550CE,31933698.0,0.0,,,TITAN25OCT3550PE,31933954,0.0,,
3600,TITAN25NOV3600CE,31986434.0,0.0,,,TITAN25NOV3600PE,31986690,0.0,,
3650,TITAN25OCT3650CE,31935234.0,0.0,,,TITAN25OCT3650PE,31935490,0.0,,
3700,TITAN25NOV3700CE,31986946.0,0.0,,,TITAN25NOV3700PE,31989762,0.0,,
3750,TITAN25OCT3750CE,31936258.0,0.0,,,TITAN25OCT3750PE,31937026,0.0,,
3800,TITAN25NOV3800CE,31990018.0,0.0,,,TITAN25NOV3800PE,31990274,0.0,,
3850,TITAN25OCT3850CE,31937282.0,0.0,,,TITAN25OCT3850PE,31937538,0.0,,
3900,TITAN25NOV3900CE,31990530.0,0.0,,,TITAN25NOV3900PE,31993346,0.0,,
3950,TITAN25OCT3950CE,31937794.0,58.0,,,TITAN25OCT3950PE,31938050,0.0,,
4000,TITAN25NOV4000CE,31993602.0,0.0,,,TITAN25NOV4000PE,31993858,0.0,,
4100,TITAN25OCT4100CE,33484290.0,0.0,,,TITAN25OCT4100PE,33484546,0.0,,
4200,TITAN25NOV4200CE,31994626.0,0.0,,,TITAN25NOV4200PE,31994882,0.0,,
