strike,symbol_ce,ce_token,ce_ltp,ce_oi,ce_volume,symbol_pe,pe_token,pe_ltp,pe_oi,pe_volume
5,WIPRO25OCT227.5CE,32900610.0,0.0,,,WIPRO25OCT227.5PE,32900866.0,0.0,,
200,WIPRO25SEP200CE,36928514.0,52.55,,,WIPRO25SEP200PE,36928770.0,0.1,,
205,,,,,,WIPRO25SEP205PE,36929282.0,0.1,,
210,WIPRO25NOV210CE,32940290.0,0.0,,,WIPRO25NOV210PE,32940546.0,0.0,,
215,WIPRO25OCT215CE,34463746.0,0.0,,,WIPRO25OCT215PE,34464002.0,0.0,,
220,WIPRO25NOV220CE,32941314.0,0.0,,,WIPRO25NOV220PE,32941570.0,0.0,,
225,WIPRO25NOV225CE,32941826.0,0.0,,,WIPRO25NOV225PE,32942082.0,0.0,,
230,WIPRO25NOV230CE,32942338.0,0.0,,,WIPRO25NOV230PE,32942594.0,0.0,,
235,WIPRO25NOV235CE,32942850.0,0.0,,,WIPRO25NOV235PE,32943106.0,0.0,,
240,WIPRO25NOV240CE,32948994.0,0.0,,,WIPRO25NOV240PE,32949250.0,0.0,,
245,WIPRO25NOV245CE,32949506.0,0.0,,,WIPRO25NOV245PE,32949762.0,0.0,,
250,WIPRO25NOV250CE,32953090.0,0.0,,,WIPRO25NOV250PE,32953346.0,12.5,,
255,WIPRO25NOV255CE,32955906.0,0.0,,,WIPRO25NOV255PE,32956162.0,0.0,,
260,WIPRO25NOV260CE,32956418.0,0.0,,,WIPRO25NOV260PE,32956674.0,0.0,,
265,WIPRO25NOV265CE,32956930.0,0.0,,,WIPRO25NOV265PE,32957186.0,0.0,,
270,WIPRO25NOV270CE,32957442.0,0.0,,,WIPRO25NOV270PE,32959746.0,0.0,,
275,WIPRO25NOV275CE,32960002.0,0.0,,,WIPRO25NOV275PE,32964610.0,0.0,,
280,WIPRO25NOV280CE,32964866.0,0.0,,,WIPRO25NOV280PE,32965122.0,0.0,,
285,WIPRO25OCT285CE,34503682.0,0.0,,,WIPRO25OCT285PE,34503938.0,0.0,,
290,WIPRO25NOV290CE,32971266.0,0.0,,,WIPRO25NOV290PE,32973058.0,0.0,,
295,WIPRO25SEP295CE,36938242.0,0.15,,,WIPRO25SEP295PE,36938498.0,44.8,,
300,WIPRO25SEP300CE,36938754.0,0.1,,,,,,,
310,WIPRO25SEP310CE,36939778.0,0.1,,,,,,,
2275,WIPRO25OCT2275CE,32900610.0,0.0,,,WIPRO25OCT2275PE,32900866.0,0.0,,
2325,WIPRO25OCT2325CE,32901378.0,0.0,,,WIPRO25OCT2325PE,32901634.0,0.0,,
2375,WIPRO25OCT2375CE,32901890.0,0.0,,,WIPRO25OCT2375PE,32902146.0,0.0,,
2425,WIPRO25OCT2425CE,32902402.0,0.0,,,WIPRO25OCT2425PE,32902658.0,0.0,,
2475,WIPRO25OCT2475CE,32902914.0,0.0,,,WIPRO25OCT2475PE,32912898.0,0.0,,
2525,WIPRO25OCT2525CE,32913154.0,7.8,,,WIPRO25OCT2525PE,32913410.0,0.0,,
2575,WIPRO25OCT2575CE,32913666.0,0.0,,,WIPRO25OCT2575PE,32916994.0,0.0,,
2625,WIPRO25OCT2625CE,32917250.0,0.0,,,WIPRO25OCT2625PE,32918274.0,0.0,,
2675,WIPRO25OCT2675CE,32919810.0,0.0,,,WIPRO25OCT2675PE,32920066.0,0.0,,
2725,WIPRO25OCT2725CE,32920322.0,0.0,,,WIPRO25OCT2725PE,32920578.0,0.0,,
