date_time,open,high,low,price,volume
2015-09-03 00:00:00+05:30,339.15,341.85,337.15,340.85,64705
2015-09-04 00:00:00+05:30,340.85,345.5,336.7,343.4,133177
2015-09-07 00:00:00+05:30,343.55,343.55,336.95,340.65,257024
2015-09-08 00:00:00+05:30,342.45,342.45,333.25,340.35,113845
2015-09-09 00:00:00+05:30,348.3,359.25,341.6,348.65,441534
2015-09-10 00:00:00+05:30,348.95,348.95,339.85,344.0,220898
2015-09-11 00:00:00+05:30,348.45,348.45,339.8,341.6,157595
2015-09-14 00:00:00+05:30,342.55,348.4,339.9,347.6,74858
2015-09-15 00:00:00+05:30,348.35,348.35,342.55,343.95,88918
2015-09-16 00:00:00+05:30,348.45,354.85,345.55,352.5,133929
2015-09-18 00:00:00+05:30,352.85,356.4,346.8,349.6,84104
2015-09-21 00:00:00+05:30,349.45,352.8,344.65,346.1,475847
2015-09-22 00:00:00+05:30,347.85,347.95,334.8,336.9,480555
2015-09-23 00:00:00+05:30,335.05,336.6,330.15,331.85,794785
2015-09-24 00:00:00+05:30,331.65,332.15,325.9,326.8,660464
2015-09-28 00:00:00+05:30,330.8,330.8,318.6,321.3,509886
2015-09-29 00:00:00+05:30,320.95,321.25,309.8,317.5,607675
2015-09-30 00:00:00+05:30,319.0,332.7,319.0,331.75,147796
2015-10-01 00:00:00+05:30,331.95,334.2,329.6,333.5,527063
2015-10-05 00:00:00+05:30,333.75,341.1,333.05,340.6,258230
2015-10-06 00:00:00+05:30,341.0,344.15,339.5,342.65,271638
2015-10-07 00:00:00+05:30,343.55,343.55,334.5,336.95,140765
2015-10-08 00:00:00+05:30,338.65,339.55,330.95,336.95,272523
2015-10-09 00:00:00+05:30,336.95,342.45,336.95,341.3,102677
2015-10-12 00:00:00+05:30,341.3,345.7,341.3,343.0,84506
2015-10-13 00:00:00+05:30,343.05,345.15,336.8,339.1,237695
2015-10-14 00:00:00+05:30,343.45,343.85,335.8,340.15,169180
2015-10-15 00:00:00+05:30,340.9,347.05,337.85,344.95,251813
2015-10-16 00:00:00+05:30,341.4,345.55,334.65,343.4,183210
2015-10-19 00:00:00+05:30,343.85,358.85,340.1,357.0,235003
2015-10-20 00:00:00+05:30,357.2,360.75,352.85,355.05,152745
2015-10-21 00:00:00+05:30,358.25,366.55,357.0,364.6,187624
2015-10-23 00:00:00+05:30,366.15,367.45,350.5,352.15,131133
2015-10-26 00:00:00+05:30,358.25,359.25,340.9,345.4,400714
2015-10-27 00:00:00+05:30,345.5,347.55,342.05,345.8,141058
2015-10-28 00:00:00+05:30,345.8,353.05,345.4,351.4,137485
2015-10-29 00:00:00+05:30,351.4,352.15,342.85,348.4,150585
2015-10-30 00:00:00+05:30,348.4,354.25,338.35,342.3,150669
2015-11-02 00:00:00+05:30,341.6,345.05,337.2,343.95,68407
2015-11-03 00:00:00+05:30,343.95,347.55,338.75,340.45,72405
2015-11-04 00:00:00+05:30,341.6,343.85,336.9,339.3,85587
2015-11-05 00:00:00+05:30,338.65,338.65,327.85,329.7,283708
2015-11-06 00:00:00+05:30,328.85,335.05,312.05,332.75,147542
2015-11-09 00:00:00+05:30,330.8,332.15,315.1,328.7,140421
2015-11-10 00:00:00+05:30,326.85,329.3,321.4,325.9,340121
2015-11-11 00:00:00+05:30,325.9,328.9,322.35,325.0,28468
2015-11-13 00:00:00+05:30,320.0,328.85,319.3,327.9,406900
2015-11-16 00:00:00+05:30,328.85,333.05,324.85,329.7,318522
2015-11-17 00:00:00+05:30,333.75,333.75,325.3,328.5,69405
2015-11-18 00:00:00+05:30,327.95,335.65,326.35,328.05,283694
2015-11-19 00:00:00+05:30,328.85,334.45,326.35,332.95,110528
2015-11-20 00:00:00+05:30,330.8,337.85,327.95,333.9,151243
2015-11-23 00:00:00+05:30,335.7,339.6,330.85,332.4,190383
2015-11-24 00:00:00+05:30,330.8,339.05,329.2,334.95,81410
2015-11-26 00:00:00+05:30,335.7,338.65,333.75,335.7,69124
2015-11-27 00:00:00+05:30,335.85,338.35,333.25,335.35,39098
2015-11-30 00:00:00+05:30,335.7,336.7,327.15,328.35,789689
2015-12-01 00:00:00+05:30,328.85,329.8,315.4,316.75,974972
2015-12-02 00:00:00+05:30,319.0,319.0,310.35,317.0,536686
2015-12-03 00:00:00+05:30,315.1,320.5,312.9,313.8,580930
2015-12-04 00:00:00+05:30,312.15,316.45,310.8,315.35,140795
2015-12-07 00:00:00+05:30,317.05,318.05,312.9,314.6,294996
2015-12-08 00:00:00+05:30,313.9,314.6,309.7,311.85,234058
2015-12-09 00:00:00+05:30,312.15,312.15,302.5,305.15,176181
2015-12-10 00:00:00+05:30,305.25,308.35,303.0,306.8,87616
2015-12-11 00:00:00+05:30,307.9,307.9,302.3,303.65,93393
2015-12-14 00:00:00+05:30,303.1,305.25,299.05,300.5,128368
2015-12-15 00:00:00+05:30,301.35,304.05,299.7,302.7,123290
2015-12-16 00:00:00+05:30,303.8,316.1,303.8,314.3,194744
2015-12-17 00:00:00+05:30,315.1,317.9,314.6,316.25,158821
2015-12-18 00:00:00+05:30,316.0,317.3,312.05,313.25,199082
2015-12-21 00:00:00+05:30,311.7,317.05,311.2,314.9,218514
2015-12-22 00:00:00+05:30,314.6,321.05,313.45,317.25,212735
2015-12-23 00:00:00+05:30,319.0,326.85,318.5,326.05,116287
2015-12-24 00:00:00+05:30,327.85,333.35,322.8,332.15,119866
2015-12-28 00:00:00+05:30,331.3,331.75,324.45,325.05,103176
2015-12-29 00:00:00+05:30,325.05,329.75,324.05,328.3,87099
2015-12-30 00:00:00+05:30,332.75,333.05,326.15,327.1,56250
2015-12-31 00:00:00+05:30,327.5,334.9,326.45,333.65,93443
2016-01-01 00:00:00+05:30,331.75,337.55,331.5,334.25,84586
2016-01-04 00:00:00+05:30,331.75,331.75,315.4,320.6,122822
2016-01-05 00:00:00+05:30,318.05,322.5,315.35,318.1,88685
2016-01-06 00:00:00+05:30,323.7,326.4,313.6,315.9,118647
2016-01-07 00:00:00+05:30,313.6,320.0,311.05,315.55,255971
2016-01-08 00:00:00+05:30,318.05,318.9,312.75,318.0,137640
2016-01-11 00:00:00+05:30,315.1,317.2,308.95,315.4,267224
2016-01-12 00:00:00+05:30,315.1,319.45,308.7,309.35,560692
2016-01-13 00:00:00+05:30,314.1,316.4,296.95,303.0,414578
2016-01-14 00:00:00+05:30,302.3,305.35,295.25,303.3,503190
2016-01-15 00:00:00+05:30,305.25,305.25,297.65,300.65,184510
2016-01-18 00:00:00+05:30,298.4,302.8,288.85,294.8,249641
2016-01-19 00:00:00+05:30,296.45,306.2,295.15,304.4,105272
2016-01-20 00:00:00+05:30,299.4,307.85,297.25,303.7,126131
2016-01-21 00:00:00+05:30,303.3,306.25,298.45,303.7,173927
2016-01-22 00:00:00+05:30,303.3,305.2,286.3,293.35,489414
2016-01-25 00:00:00+05:30,293.05,295.45,287.3,292.25,391217
2016-01-27 00:00:00+05:30,293.5,294.1,286.45,292.4,355943
2016-01-28 00:00:00+05:30,289.55,290.3,283.65,285.95,180002
2016-01-29 00:00:00+05:30,284.8,291.5,277.1,284.35,364255
2016-02-01 00:00:00+05:30,285.65,292.5,285.65,291.05,142549
2016-02-02 00:00:00+05:30,291.55,298.4,290.55,296.65,324469
2016-02-03 00:00:00+05:30,292.0,295.95,290.65,294.25,966104
2016-02-04 00:00:00+05:30,299.4,299.9,296.15,298.9,557780
2016-02-05 00:00:00+05:30,298.1,302.55,296.8,301.45,292298
2016-02-08 00:00:00+05:30,302.3,308.2,300.0,305.25,340511
2016-02-09 00:00:00+05:30,303.3,308.2,301.95,306.2,661957
2016-02-10 00:00:00+05:30,306.6,308.2,302.9,305.05,1147013
2016-02-11 00:00:00+05:30,304.3,309.7,299.25,302.9,1108568
2016-02-12 00:00:00+05:30,303.3,323.05,302.3,319.25,255851
2016-02-15 00:00:00+05:30,320.95,323.0,310.55,312.75,315595
2016-02-16 00:00:00+05:30,313.6,318.9,308.0,309.3,254117
2016-02-17 00:00:00+05:30,309.3,315.45,303.1,313.6,177771
2016-02-18 00:00:00+05:30,313.65,317.0,310.3,315.3,1484088
2016-02-19 00:00:00+05:30,316.95,321.85,310.85,320.3,162381
2016-02-22 00:00:00+05:30,320.2,328.65,318.05,323.25,122359
2016-02-23 00:00:00+05:30,326.65,326.85,312.65,315.1,254047
2016-02-24 00:00:00+05:30,316.05,319.3,312.75,318.05,222689
2016-02-25 00:00:00+05:30,318.8,319.0,312.3,317.3,142651
2016-02-26 00:00:00+05:30,323.15,323.15,311.8,312.65,134619
2016-02-29 00:00:00+05:30,312.15,316.6,307.6,310.9,435887
2016-03-01 00:00:00+05:30,309.5,316.65,304.5,314.9,129353
2016-03-02 00:00:00+05:30,314.8,321.45,314.8,320.6,250818
2016-03-03 00:00:00+05:30,315.35,328.65,315.35,327.3,697384
2016-03-04 00:00:00+05:30,327.3,330.3,321.0,324.0,129610
2016-03-08 00:00:00+05:30,321.45,328.45,320.95,325.7,907755
2016-03-09 00:00:00+05:30,320.15,332.75,320.15,328.9,112756
2016-03-10 00:00:00+05:30,326.25,332.55,325.0,329.75,200338
2016-03-11 00:00:00+05:30,325.9,332.75,325.9,331.6,307949
2016-03-14 00:00:00+05:30,332.15,335.7,325.9,334.6,84047
2016-03-15 00:00:00+05:30,331.8,338.5,330.4,337.3,233544
2016-03-16 00:00:00+05:30,332.8,337.95,329.35,333.4,73941
2016-03-17 00:00:00+05:30,333.4,345.5,331.75,335.25,2332316
2016-03-18 00:00:00+05:30,338.3,341.8,333.65,338.85,213508
2016-03-21 00:00:00+05:30,337.95,348.1,337.95,344.1,229751
2016-03-22 00:00:00+05:30,348.5,349.55,338.45,344.85,304026
2016-03-23 00:00:00+05:30,346.35,354.55,346.35,351.95,203188
2016-03-28 00:00:00+05:30,351.25,354.35,340.8,343.7,175569
2016-03-29 00:00:00+05:30,340.6,351.2,339.85,348.35,87489
2016-03-30 00:00:00+05:30,348.95,352.65,344.8,347.4,272269
2016-03-31 00:00:00+05:30,346.55,349.85,339.8,342.1,105832
2016-04-01 00:00:00+05:30,344.15,344.15,326.2,329.05,290626
2016-04-04 00:00:00+05:30,332.75,344.15,330.5,341.45,180629
2016-04-05 00:00:00+05:30,339.05,339.5,323.1,324.25,199102
2016-04-06 00:00:00+05:30,326.85,333.15,325.8,329.0,113137
2016-04-07 00:00:00+05:30,329.35,329.35,323.45,325.6,73872
2016-04-08 00:00:00+05:30,326.85,331.3,319.7,328.15,150264
2016-04-11 00:00:00+05:30,335.6,342.9,335.55,341.95,256664
2016-04-12 00:00:00+05:30,342.45,345.9,338.0,343.1,251396
2016-04-13 00:00:00+05:30,344.4,357.6,344.0,345.3,240037
2016-04-18 00:00:00+05:30,348.45,356.1,346.0,351.95,131355
2016-04-20 00:00:00+05:30,358.25,358.25,347.65,350.65,138875
2016-04-21 00:00:00+05:30,350.4,351.9,344.8,350.2,101862
2016-04-22 00:00:00+05:30,346.6,351.5,343.9,346.5,79147
2016-04-25 00:00:00+05:30,350.25,357.15,349.2,352.25,144908
2016-04-26 00:00:00+05:30,352.25,356.8,349.3,354.35,103134
2016-04-27 00:00:00+05:30,359.25,373.8,355.65,366.25,468194
2016-04-28 00:00:00+05:30,374.95,377.8,363.35,365.45,439100
2016-04-29 00:00:00+05:30,364.9,365.7,354.25,356.95,197825
2016-05-02 00:00:00+05:30,357.1,357.45,349.85,349.85,70902
2016-05-03 00:00:00+05:30,350.8,362.6,350.8,358.2,225925
2016-05-04 00:00:00+05:30,359.25,362.2,352.6,354.15,167217
2016-05-05 00:00:00+05:30,355.35,359.2,345.5,348.65,156875
2016-05-06 00:00:00+05:30,351.1,357.45,348.0,352.0,198306
2016-05-09 00:00:00+05:30,353.15,360.7,351.9,359.85,81251
2016-05-10 00:00:00+05:30,360.25,362.9,354.35,362.7,94058
2016-05-11 00:00:00+05:30,356.3,370.25,351.5,352.85,514126
2016-05-12 00:00:00+05:30,357.3,357.3,349.55,355.8,170548
2016-05-13 00:00:00+05:30,353.45,353.45,346.6,349.1,459725
2016-05-16 00:00:00+05:30,348.45,349.65,337.15,349.35,161335
2016-05-17 00:00:00+05:30,350.15,352.4,342.45,345.0,340205
2016-05-18 00:00:00+05:30,343.55,346.0,340.8,344.7,137104
2016-05-19 00:00:00+05:30,345.45,345.45,337.4,338.85,306654
2016-05-20 00:00:00+05:30,338.95,339.75,333.65,336.55,272943
2016-05-23 00:00:00+05:30,341.6,342.2,335.5,339.85,87655
2016-05-24 00:00:00+05:30,339.55,340.5,335.5,339.6,1439058
2016-05-25 00:00:00+05:30,339.6,346.0,339.6,344.95,73462
2016-05-26 00:00:00+05:30,345.75,349.3,342.35,346.35,97844
2016-05-27 00:00:00+05:30,346.75,350.8,343.55,346.5,150002
2016-05-30 00:00:00+05:30,346.5,351.05,345.9,349.85,200575
2016-05-31 00:00:00+05:30,350.9,350.9,341.25,345.15,258592
2016-06-01 00:00:00+05:30,348.1,357.5,345.9,356.1,131457
2016-06-02 00:00:00+05:30,356.3,361.1,353.1,359.2,191413
2016-06-03 00:00:00+05:30,359.2,359.3,349.05,351.6,190431
2016-06-06 00:00:00+05:30,351.4,352.4,341.9,342.35,193105
2016-06-07 00:00:00+05:30,342.55,346.0,340.95,342.7,250718
2016-06-08 00:00:00+05:30,348.45,352.1,344.95,345.9,180558
2016-06-09 00:00:00+05:30,348.55,349.15,343.55,344.45,90594
2016-06-10 00:00:00+05:30,342.55,347.0,341.2,345.0,143508
2016-06-13 00:00:00+05:30,343.65,343.95,335.3,335.4,80621
2016-06-14 00:00:00+05:30,334.2,337.15,331.05,335.85,84917
2016-06-15 00:00:00+05:30,341.6,346.1,340.5,345.3,281829
2016-06-16 00:00:00+05:30,344.45,344.65,335.15,339.6,95052
2016-06-17 00:00:00+05:30,341.7,352.2,337.6,349.15,220910
2016-06-20 00:00:00+05:30,351.4,359.85,347.3,357.3,272074
2016-06-21 00:00:00+05:30,355.7,357.8,353.65,355.75,43241
2016-06-22 00:00:00+05:30,358.25,360.25,353.45,354.35,224444
2016-06-23 00:00:00+05:30,356.6,361.2,355.5,359.25,117130
2016-06-24 00:00:00+05:30,351.45,352.8,342.4,348.35,129512
2016-06-27 00:00:00+05:30,348.35,351.25,343.35,344.25,99355
2016-06-28 00:00:00+05:30,344.55,351.8,344.55,349.25,111552
2016-06-29 00:00:00+05:30,351.45,353.65,348.0,350.1,64534
2016-06-30 00:00:00+05:30,355.7,362.5,349.15,358.25,97338
2016-07-01 00:00:00+05:30,360.25,365.65,356.25,360.25,143109
2016-07-04 00:00:00+05:30,361.95,368.95,361.95,366.15,133851
2016-07-05 00:00:00+05:30,366.15,366.6,357.0,358.25,137802
2016-07-06 00:00:00+05:30,323.2,359.25,323.2,359.25,40
2016-07-07 00:00:00+05:30,359.05,364.35,355.35,356.6,171641
2016-07-08 00:00:00+05:30,354.45,355.35,346.7,348.45,181511
2016-07-11 00:00:00+05:30,358.25,358.25,351.6,353.3,1158101
2016-07-12 00:00:00+05:30,352.85,357.6,352.85,354.0,1087011
2016-07-13 00:00:00+05:30,358.25,358.25,352.85,355.35,66898
2016-07-14 00:00:00+05:30,359.65,360.95,355.8,359.75,78506
2016-07-15 00:00:00+05:30,359.75,373.0,359.75,371.5,177030
2016-07-18 00:00:00+05:30,373.0,373.0,355.35,356.75,320905
2016-07-19 00:00:00+05:30,352.45,360.9,351.4,357.6,6446925
2016-07-20 00:00:00+05:30,357.95,360.1,355.05,357.4,1664492
2016-07-21 00:00:00+05:30,357.4,362.4,356.3,360.15,458903
2016-07-22 00:00:00+05:30,360.75,362.95,357.45,362.15,184552
2016-07-25 00:00:00+05:30,360.25,365.15,356.8,363.5,89507
2016-07-26 00:00:00+05:30,363.5,364.75,360.3,362.45,56701
2016-07-27 00:00:00+05:30,361.95,370.2,361.35,365.95,211628
2016-07-28 00:00:00+05:30,374.0,374.2,357.55,365.25,511683
2016-07-29 00:00:00+05:30,368.05,368.05,353.35,355.4,275452
2016-08-01 00:00:00+05:30,361.2,361.2,354.45,356.9,138474
2016-08-02 00:00:00+05:30,358.2,358.2,349.55,351.4,118662
2016-08-03 00:00:00+05:30,351.4,353.35,347.0,350.85,179030
2016-08-04 00:00:00+05:30,351.45,360.15,346.75,358.5,140230
2016-08-05 00:00:00+05:30,360.15,363.95,352.85,356.5,291351
2016-08-08 00:00:00+05:30,358.25,358.25,342.85,345.4,330407
2016-08-09 00:00:00+05:30,345.5,348.65,338.55,342.4,231783
2016-08-10 00:00:00+05:30,344.55,346.8,337.75,339.45,214887
2016-08-11 00:00:00+05:30,340.35,340.45,336.05,340.1,588625
2016-08-12 00:00:00+05:30,338.15,342.5,337.85,340.15,350419
2016-08-16 00:00:00+05:30,342.55,344.7,333.95,337.2,104532
2016-08-17 00:00:00+05:30,337.65,343.05,337.25,338.9,170459
2016-08-18 00:00:00+05:30,341.6,347.1,340.1,345.9,136532
2016-08-19 00:00:00+05:30,347.3,347.3,340.9,344.4,75357
2016-08-22 00:00:00+05:30,347.5,347.5,339.9,345.3,97250
2016-08-23 00:00:00+05:30,341.6,348.8,338.65,347.05,108178
2016-08-24 00:00:00+05:30,347.05,351.55,343.75,345.7,71372
2016-08-25 00:00:00+05:30,345.45,347.65,337.8,341.85,96196
2016-08-26 00:00:00+05:30,341.65,341.95,335.95,336.9,243627
2016-08-29 00:00:00+05:30,336.9,341.1,329.15,333.1,189756
2016-08-30 00:00:00+05:30,336.2,336.35,323.3,326.0,295341
2016-08-31 00:00:00+05:30,327.1,330.6,322.95,325.75,198698
2016-09-01 00:00:00+05:30,324.9,326.05,296.45,304.95,7351008
2016-09-02 00:00:00+05:30,303.25,314.8,300.9,313.05,1684375
2016-09-06 00:00:00+05:30,313.1,316.95,307.05,315.7,976831
2016-09-07 00:00:00+05:30,313.1,316.05,310.5,314.7,262690
2016-09-08 00:00:00+05:30,314.1,320.9,313.5,317.4,190081
2016-09-09 00:00:00+05:30,320.95,320.95,312.95,315.1,156689
2016-09-12 00:00:00+05:30,312.15,315.6,308.7,312.15,484205
2016-09-14 00:00:00+05:30,312.25,316.95,312.25,312.65,104487
2016-09-15 00:00:00+05:30,314.2,318.15,311.65,314.7,165690
2016-09-16 00:00:00+05:30,317.05,319.9,314.2,317.55,109275
2016-09-19 00:00:00+05:30,317.4,319.4,315.1,318.05,257630
2016-09-20 00:00:00+05:30,317.9,318.15,312.55,313.0,145948
2016-09-21 00:00:00+05:30,314.1,317.0,313.15,316.05,145023
2016-09-22 00:00:00+05:30,318.9,322.05,316.85,321.15,153185
2016-09-23 00:00:00+05:30,320.95,323.9,318.25,321.4,127891
2016-09-26 00:00:00+05:30,319.5,322.55,313.3,314.25,116751
2016-09-27 00:00:00+05:30,318.5,318.5,307.35,308.2,123696
2016-09-28 00:00:00+05:30,308.2,318.25,305.3,315.65,159495
2016-09-29 00:00:00+05:30,316.5,317.5,308.2,310.5,90473
2016-09-30 00:00:00+05:30,308.15,310.4,302.8,308.25,147288
2016-10-03 00:00:00+05:30,309.2,313.85,309.2,312.9,57659
2016-10-04 00:00:00+05:30,311.65,318.25,310.25,317.5,113664
2016-10-05 00:00:00+05:30,316.05,320.2,314.7,315.2,140629
2016-10-06 00:00:00+05:30,319.0,319.1,313.7,315.6,190416
2016-10-07 00:00:00+05:30,317.05,318.3,311.9,313.7,174165
2016-10-10 00:00:00+05:30,313.6,314.0,309.45,310.25,119588
2016-10-13 00:00:00+05:30,308.2,308.2,299.95,300.85,112418
2016-10-14 00:00:00+05:30,302.3,302.3,294.7,300.2,96170
2016-10-17 00:00:00+05:30,300.35,300.35,291.15,295.7,241470
2016-10-18 00:00:00+05:30,295.4,301.85,292.05,300.75,130352
2016-10-19 00:00:00+05:30,301.45,303.8,298.4,301.65,69343
