,ret,bin
2015-08-03,-0.04048495806786323,-1
2016-01-08,-0.037477290887393044,-1
2016-03-23,-0.0006547436918621363,-1
2016-07-01,0.004971124628476931,1
2016-07-26,0.02501439227095692,1
2016-08-01,-0.1119296706342352,-1
2016-09-07,-0.03943524717375069,-1
2016-11-02,-0.08893456574177927,-1
2016-11-11,-0.05016895371697927,-1
2016-12-22,0.0887769744794451,1
2017-01-16,0.08951718341052395,1
2017-01-30,-0.007063209940110005,-1
2017-03-20,0.001705759158272091,1
2017-04-25,-0.050272118050457615,-1
2017-06-02,0.002717929052717505,1
2017-07-13,0.07365896693126506,1
2017-07-21,0.04058343066871539,1
2017-08-07,-0.055863035748902834,-1
2017-08-10,0.036561606656085655,1
2017-08-23,0.01239250586049212,1
2017-09-07,-0.03667478897357079,-1
2017-09-25,0.005985562723552773,1
2017-10-09,-0.028331518664298394,-1
2017-10-25,0.046572209942422615,1
2017-12-04,-0.002685079262503054,-1
2018-01-05,-0.024469601085666315,-1
2018-01-16,0.030699065181803764,1
2018-02-21,0.023144929790800184,1
2018-03-26,0.09990801482850764,1
2018-04-05,0.007177856647608616,1
2018-05-17,0.04006782286257571,1
2018-06-11,0.003177353650215098,1
2018-06-25,-0.048481585579855824,-1
2018-07-12,0.14111778116463114,1
2018-07-20,-0.015929735793566824,-1
2018-08-08,0.009455637111447146,1
2018-08-24,0.023623491478520497,1
2018-09-03,-0.039793823782948934,-1
2018-09-11,0.027472956815354888,1
2018-09-19,-0.09551705612254657,-1
2018-09-24,0.01698504772495979,1
2018-09-28,0.005142713516578468,1
2018-10-05,0.12239918706255049,1
2018-10-10,-0.0479315466659882,-1
2018-10-15,-0.07184978210677717,-1
2018-10-17,-0.01634513483308342,-1
2018-10-24,0.029695577508128235,1
2018-11-12,0.05466274402817772,1
2018-11-21,0.03213270240277577,1
2018-11-30,-0.04149444825008508,-1
2018-12-10,0.04107619583176958,1
2018-12-18,0.012913602326482643,1
2019-01-10,0.03561147609209003,1
2019-01-28,0.04732560271569919,1
2019-01-30,0.012675806857724625,1
2019-02-06,-0.0015123412335649178,-1
2019-02-15,0.03773749117522773,1
2019-03-05,0.03558257389308106,1
2019-03-15,0.021025763932366326,1
2019-03-28,0.01673979300836903,1
2019-05-02,-0.06719885027727657,-1
2019-05-08,0.02788136447195244,1
2019-05-16,0.06142991926632502,1
2019-05-17,0.03224677223709649,1
2019-05-22,0.01802025851108202,1
2019-06-04,-0.006145123341150138,-1
2019-06-26,-0.05916563873222602,-1
2019-07-08,0.01642722383265527,1
2019-07-09,-0.04830571169328901,-1
2019-07-10,-0.003198872797524843,-1
2019-07-19,-0.023020715112373247,-1
2019-07-24,0.028690333771997478,1
