,ret,bin
2015-07-03,0.009139911791131716,1
2015-07-08,0.021510664375151478,1
2015-07-14,0.018399222113638425,1
2015-07-22,-0.039081434563858264,-1
2015-07-27,0.029807618114780166,1
2015-07-28,0.05972758358321628,1
2015-07-31,0.007921229737905655,1
2015-08-04,0.030527889973488875,1
2015-08-10,-0.025573913746762544,-1
2015-08-12,0.02947093494377162,1
2015-08-14,-0.030728506344122164,-1
2015-08-17,-0.035921068235408415,-1
2015-08-20,-0.05954517936506354,-1
2015-08-21,-0.032289019614067715,-1
2015-08-24,-0.0383205647039484,-1
2015-08-26,-0.02940180570904727,-1
2015-09-02,-0.02484283403761456,-1
2015-09-07,0.014294526097683669,1
2015-09-09,0.03591708640794189,1
2015-09-16,0.025397459015017443,1
2015-09-18,-0.03253066895863488,-1
2015-09-28,0.026622898876138557,1
2015-09-30,0.044894296709856896,1
2015-10-05,0.024800165570663335,1
2015-10-09,-0.025284160375480758,-1
2015-10-14,0.02562012470650976,1
2015-10-15,0.022913077691237405,1
2015-10-21,-0.010199103438976675,-1
2015-11-02,0.029538226266155654,1
2015-11-04,-0.003567389856249936,-1
2015-11-17,0.03493134403988618,1
2015-11-23,0.019740957269797743,1
2015-11-27,-0.03203957150280168,-1
2015-12-03,-0.027274988516951648,-1
2015-12-09,0.01924273120088582,1
2015-12-16,0.04392385755662831,1
2015-12-17,0.020508711801913382,1
2015-12-28,-0.02642654250770793,-1
2016-01-04,-0.04462051727218419,-1
2016-01-06,-0.022535075773695512,-1
2016-01-07,-0.036645203863197806,-1
2016-01-14,0.03595825982719125,1
2016-01-20,0.041390383438432155,1
2016-01-22,-0.05861456342545179,-1
2016-01-25,-0.03389814305827066,-1
2016-01-28,0.03225952070382232,1
2016-01-29,-0.018455172235661177,-1
2016-02-03,0.04020375159921086,1
2016-02-05,-0.033987913702005934,-1
2016-02-11,-0.003063590013370976,-1
2016-02-18,0.033788431635578764,1
2016-02-19,-0.03135387207220852,-1
2016-02-24,-0.046294296606515184,-1
2016-02-26,0.04377016274677148,1
2016-02-29,0.06694262242162052,1
2016-03-01,0.05228211408457373,1
2016-03-02,0.003491691086119575,1
2016-03-22,0.029425092165106026,1
2016-03-30,0.023069276137697825,1
2016-04-04,-0.01891986011856972,-1
2016-04-08,0.04760416094284259,1
2016-04-11,0.025163579203364428,1
2016-04-12,-0.00404730057623004,-1
2016-04-13,-0.059163532877912206,-1
2016-04-18,-0.050695723201783394,-1
2016-04-21,-0.02901606944481394,-1
2016-04-26,-0.014171756695568805,-1
2016-05-03,0.025074182024682257,1
2016-05-09,-0.014624549789468144,-1
2016-05-16,0.021236914886828773,1
2016-05-26,0.06147438071245359,1
2016-05-30,0.023438290918010862,1
2016-06-02,0.0006043204758579002,1
2016-06-08,-0.02630853272678757,-1
2016-06-09,-0.013298641633687769,-1
2016-06-14,0.017615990532847015,1
2016-06-15,-0.0039162973181607885,-1
2016-06-29,0.027878610718303776,1
2016-07-05,0.04289485954648775,1
2016-07-08,0.024228006529859902,1
2016-07-11,-0.00013864560120890879,-1
2016-07-26,0.07284818785406166,1
2016-08-02,0.055875967383381964,1
2016-08-05,-0.038618540158371184,-1
2016-08-10,0.0057876898025222,1
2016-08-17,0.01585412390611407,1
2016-08-23,0.03147001449999709,1
2016-08-29,0.037910397137795204,1
2016-08-30,0.028813829822436965,1
2016-08-31,-0.0024141915317584806,-1
2016-09-06,-0.02263038385206051,-1
2016-09-08,-0.022287930155599156,-1
2016-09-09,-0.024411786157897297,-1
2016-09-12,0.010635486545959916,1
2016-09-14,-0.025799556988060912,-1
2016-09-16,-0.01575784537304592,-1
2016-09-20,0.020814198875244383,1
2016-09-22,-0.024671215431187776,-1
2016-09-26,0.002380463334593186,1
2016-10-03,-0.00585024264952283,-1
2016-10-06,-0.01978875371185229,-1
2016-10-17,-0.020745686575356026,-1
2016-10-24,0.025248281688599494,1
2016-10-26,-0.014287284663841993,-1
2016-10-27,0.01957053172851464,1
2016-11-01,-0.024420179463599867,-1
2016-11-04,-0.12045671250122891,-1
2016-11-07,-0.03653325220607018,-1
2016-11-09,-0.027967332522839228,-1
2016-11-10,0.021316770580832367,1
2016-11-11,-0.0280474960176329,-1
2016-11-15,0.011757129773684039,1
2016-11-18,0.026606367806704112,1
2016-11-22,0.03626092951493365,1
2016-11-24,0.056488538976037894,1
2016-11-28,0.02705714917820501,1
2016-11-29,0.048368164034790606,1
2016-12-05,0.028502022758444934,1
2016-12-08,-0.03130055404444465,-1
2016-12-12,-0.06650684561402487,-1
2016-12-16,-0.03393627848405989,-1
2016-12-20,-0.019663658894587988,-1
2016-12-22,0.01252194071935353,1
2017-01-03,0.028528128137417896,1
2017-01-05,-0.008204009068935814,-1
2017-01-16,0.0503594948463979,1
2017-01-20,0.06452831927830593,1
2017-01-24,0.03610067321595567,1
2017-01-25,-0.010300426169212118,-1
2017-01-31,0.03612465781727603,1
2017-02-01,-0.018375759231216038,-1
2017-02-02,0.012915177778499265,1
2017-02-06,-0.04464212651175614,-1
2017-02-14,-0.02058203619479082,-1
2017-02-15,0.022063579631961927,1
2017-02-22,0.0030634485087759344,1
2017-03-02,0.02802467680082832,1
2017-03-06,0.025071025035957373,1
2017-03-14,0.021825915749570157,1
2017-03-23,-0.042466093631202906,-1
2017-03-29,-0.007753198153089835,-1
2017-04-25,0.021587010936490847,1
2017-05-03,0.005671699233283256,1
2017-05-09,0.07895257036621128,1
2017-05-11,0.023022504736506688,1
2017-05-12,0.005915537955064387,1
2017-05-16,-0.00027614833499334246,-1
2017-05-18,0.020531280925849993,1
2017-05-25,0.05766911157805987,1
2017-05-30,0.029248554566400964,1
2017-06-02,-0.019871432471712303,-1
2017-06-08,0.010833742849243544,1
2017-06-19,-0.034048180374460335,-1
2017-06-21,-0.019645738054320683,-1
2017-06-23,0.01950005515420772,1
2017-06-29,0.012112286639257341,1
2017-07-03,-0.019265741946938864,-1
2017-07-04,0.014770342481476906,1
2017-07-11,-0.01768789885611899,-1
2017-07-18,-0.014284051251973628,-1
2017-07-20,-0.010080710867426457,-1
2017-07-28,0.08880811933233823,1
2017-08-01,0.049774022996011746,1
2017-08-02,0.040485312272527274,1
2017-08-04,-0.018399697998824127,-1
2017-08-09,-0.011033130769002586,-1
2017-08-14,-0.018801818621319244,-1
2017-08-16,-0.01563848071532592,-1
2017-08-22,0.018299700664605068,1
2017-08-28,0.009067496512516815,1
2017-09-01,-0.017300883009155443,-1
2017-09-04,-0.021450405814518292,-1
2017-09-12,0.007910251540739877,1
2017-09-18,-0.0237599369507856,-1
2017-09-20,-0.016830725718926187,-1
2017-09-22,-0.016815512932493837,-1
2017-09-27,0.021154276314435005,1
2017-10-03,-0.026877180961200398,-1
2017-10-06,0.012702983728816397,1
2017-10-12,0.003425747855757333,1
2017-10-19,0.00911521270266058,1
2017-10-23,-0.005697270624291262,-1
2017-10-30,-0.025345627546004,-1
2017-11-02,-0.030327902653042305,-1
2017-11-07,-0.01601243726343926,-1
2017-11-08,0.009951685147550293,1
2017-11-14,-0.0005334998123002199,-1
2017-12-01,-0.023445901410776404,-1
2017-12-05,-0.0016192369382076466,-1
2017-12-12,0.017810968960747298,1
2017-12-15,0.08872387488184397,1
2017-12-19,0.02835736174850534,1
2017-12-21,-0.023463325696970405,-1
2017-12-28,0.018860922554417403,1
2017-12-29,0.0004227355073347372,1
2018-01-11,-0.0322617707581504,-1
2018-01-15,-0.010761138511729773,-1
2018-01-17,0.010121009409977288,1
2018-01-23,-0.0018044104901572267,-1
2018-01-25,0.019755145123713236,1
2018-01-29,-0.005025125212948622,-1
2018-02-01,-0.02933345176601987,-1
2018-02-02,0.0035739912090113624,1
2018-02-06,0.0011999460045448718,1
2018-02-12,-0.017560808432141917,-1
2018-02-16,0.012492272141679805,1
2018-02-26,0.01663428860140237,1
2018-02-28,-0.009675499175307856,-1
2018-03-12,0.0018134779432472659,1
