,ret,bin
2015-06-18,0.04274509249707359,1
2015-06-25,0.0034811882812237904,1
2015-07-10,-0.0037306968454264844,-1
2015-07-27,0.02747571532540194,1
2015-08-06,-0.03727971495281346,-1
2015-08-21,-0.06232769786209158,-1
2015-08-24,-0.007048530371765782,-1
2015-09-02,-0.011881027863611449,-1
2015-09-10,-0.03541030512719079,-1
2015-09-22,0.04424401655087662,1
2015-10-05,0.00635218439175933,1
2015-10-23,-0.011620099062901401,-1
2015-10-30,-0.026546192610643504,-1
2015-12-08,-0.027493949438283538,-1
2016-01-06,-0.024618948887655256,-1
2016-01-14,-0.018067432037016884,-1
2016-02-12,0.09087475048378812,1
2016-02-15,-0.023447067198535287,-1
2016-03-03,0.00476367240753639,1
2016-04-20,0.011888381048821506,1
2016-05-23,0.040605786815957945,1
2016-05-26,0.0021030217013766617,1
2016-07-01,-0.006482431542687683,-1
2016-08-01,-0.01643572078588773,-1
2016-08-31,-0.03288276208595353,-1
2016-09-27,0.01430652254492859,1
2016-11-04,-0.03486415105420859,-1
2016-11-22,0.020608471874736578,1
2017-01-11,-0.013311075524835903,-1
2017-02-01,0.006642941571963101,1
2017-03-14,-0.004428396511304222,-1
2017-04-03,0.014750023731443518,1
2017-04-25,-0.01242775242052585,-1
2017-05-25,0.020380582951229798,1
2017-06-27,0.001146072776390561,1
2017-07-13,0.008977822744344222,1
2017-08-22,0.01896751026472998,1
2017-09-08,0.03876657479644008,1
2017-09-12,0.006258811633464756,1
2017-09-25,-0.02403031510148501,-1
2017-10-25,0.009217826731447332,1
2017-11-10,-0.0277875153917454,-1
2017-11-14,0.006858541309605615,1
2017-12-21,-0.004805916947257294,-1
2018-01-04,0.007790336948756638,1
2018-01-19,0.03284844905311557,1
2018-01-29,-0.011522712944093905,-1
2018-02-05,-0.0219264335601016,-1
2018-02-19,0.03288311217781725,1
2018-02-26,-0.019416119726666903,-1
2018-03-06,0.020765091718504047,1
2018-04-02,-0.02979135245982445,-1
2018-04-11,0.00535946654108721,1
2018-05-02,-0.01122477933615551,-1
2018-05-18,0.02010541097939411,1
2018-05-28,-0.004395237776161576,-1
2018-06-18,-0.01243197729422596,-1
2018-06-25,-0.026179972089180437,-1
2018-07-09,-0.023214269730919557,-1
2018-07-24,-0.009479121024719261,-1
2018-08-10,-0.006851371055608402,-1
2018-08-20,0.024476907604167097,1
2018-09-27,-0.028857065149243133,-1
2018-10-01,0.007851961247697714,1
2018-10-23,-0.002706874619585631,-1
2018-10-29,0.08507076803534042,1
