event_time,close,sPos,sNeg,trigger
2023-09-11,2612.5600585938,0.0,0.0,1
2023-09-26,2455.7036132812,0.0,0.0,-1
2023-10-23,2306.5397949219,0.0,0.0,-1
2023-11-20,2147.8852539062,0.0,0.0,-1
2023-11-28,2421.28515625,0.0,0.0,1
2023-12-04,2528.88671875,0.0,0.0,1
2023-12-05,2956.6452636719,0.0,0.0,1
2023-12-15,2989.0656738281,0.0,0.0,1
2023-12-20,2781.3059082031,0.0,0.0,-1
2024-01-03,3000.2553710938,0.0,0.0,1
2024-01-18,2916.2321777344,0.0,0.0,-1
2024-01-29,3061.8488769531,0.0,0.0,1
2024-02-07,3226.8981933594,0.0,0.0,1
2024-02-26,3324.7084960938,0.0,0.0,1
2024-03-12,3119.6462402344,0.0,0.0,-1
2024-03-13,2903.5439453125,0.0,0.0,-1
2024-03-14,3084.6281738281,0.0,0.0,1
2024-04-01,3249.1279296875,0.0,0.0,1
2024-04-16,3103.5607910156,0.0,0.0,-1
2024-05-06,2872.0227050781,0.0,0.0,-1
2024-05-14,3034.7739257812,0.0,0.0,1
2024-05-23,3384.2041015625,0.0,0.0,1
2024-05-30,3191.3308105469,0.0,0.0,-1
2024-05-31,3408.2321777344,0.0,0.0,1
2024-06-03,3641.9184570312,0.0,0.0,1
2024-06-04,2938.5617675781,0.0,0.0,-1
2024-06-05,3112.5029296875,0.0,0.0,1
2024-06-18,3307.3588867188,0.0,0.0,1
2024-07-02,3151.5886230469,0.0,0.0,-1
2024-07-19,3004.1638183594,0.0,0.0,-1
2024-07-30,3127.1511230469,0.0,0.0,1
2024-08-05,3036.6472167969,0.0,0.0,-1
2024-08-28,3026.4526367188,0.0,0.0,-1
2024-09-24,3092.3188476562,0.0,0.0,1
2024-10-07,3016.4577636719,0.0,0.0,-1
2024-10-10,3172.5778808594,0.0,0.0,1
2024-10-17,3012.2097167969,0.0,0.0,-1
2024-10-22,2822.3569335938,0.0,0.0,-1
2024-10-29,2847.1442871094,0.0,0.0,1
2024-11-06,3044.6931152344,0.0,0.0,1
2024-11-12,2868.533203125,0.0,0.0,-1
2024-11-21,2182.5339355469,0.0,0.0,-1
2024-11-27,2396.5747070312,0.0,0.0,1
2024-12-20,2343.7514648438,0.0,0.0,-1
2024-12-30,2591.025390625,0.0,0.0,1
2025-01-10,2373.1865234375,0.0,0.0,-1
2025-01-14,2379.3334960938,0.0,0.0,1
2025-01-27,2258.5451660156,0.0,0.0,-1
2025-02-14,2151.5498046875,0.0,0.0,-1
2025-03-06,2251.6987304688,0.0,0.0,1
2025-04-03,2409.5681152344,0.0,0.0,1
2025-04-07,2211.5690917969,0.0,0.0,-1
2025-04-15,2416.9641113281,0.0,0.0,1
2025-04-30,2300.1240234375,0.0,0.0,-1
2025-05-05,2454.2451171875,0.0,0.0,1
2025-05-08,2284.1320800781,0.0,0.0,-1
2025-05-12,2424.060546875,0.0,0.0,1
2025-06-09,2580.7805175781,0.0,0.0,1
2025-06-18,2459.1000976562,0.0,0.0,-1
2025-06-26,2586.1999511719,0.0,0.0,1
2025-07-31,2430.6999511719,0.0,0.0,-1
2025-08-07,2249.8000488281,0.0,0.0,-1
2025-08-18,2333.6000976562,0.0,0.0,1
