event_time,close,sPos,sNeg,trigger
2023-08-18,832.328918457,0.0,0.0,1
2023-08-25,803.1540527344,0.0,0.0,-1
2023-09-11,878.6800537109,0.0,0.0,1
2023-09-18,827.6987915039,0.0,0.0,-1
2023-10-23,768.1542358398,0.0,0.0,-1
2023-11-08,815.2023925781,0.0,0.0,1
2023-11-28,834.1212158203,0.0,0.0,1
2023-12-04,874.8963012695,0.0,0.0,1
2023-12-05,1008.7718505859,0.0,0.0,1
2023-12-13,1058.9565429688,0.0,0.0,1
2023-12-20,1007.8259277344,0.0,0.0,-1
2024-01-02,1073.79296875,0.0,0.0,1
2024-01-04,1118.4014892578,0.0,0.0,1
2024-01-08,1163.8564453125,0.0,0.0,1
2024-01-10,1209.162109375,0.0,0.0,1
2024-01-17,1161.8649902344,0.0,0.0,-1
2024-01-24,1115.8126220703,0.0,0.0,-1
2024-01-29,1191.5377197266,0.0,0.0,1
2024-02-02,1256.0607910156,0.0,0.0,1
2024-02-16,1301.2668457031,0.0,0.0,1
2024-02-26,1332.4332275391,0.0,0.0,1
2024-03-13,1204.3826904297,0.0,0.0,-1
2024-03-14,1262.4334716797,0.0,0.0,1
2024-03-26,1298.6281738281,0.0,0.0,1
2024-04-01,1370.0219726562,0.0,0.0,1
2024-04-08,1342.8884277344,0.0,0.0,-1
2024-04-16,1298.7775878906,0.0,0.0,-1
2024-05-06,1284.4390869141,0.0,0.0,-1
2024-05-09,1239.2331542969,0.0,0.0,-1
2024-05-13,1300.8188476562,0.0,0.0,1
2024-05-21,1379.5809326172,0.0,0.0,1
2024-05-23,1437.1837158203,0.0,0.0,1
2024-05-30,1377.5894775391,0.0,0.0,-1
2024-05-31,1431.2592773438,0.0,0.0,1
2024-06-03,1577.1831054688,0.0,0.0,1
2024-06-04,1243.6142578125,0.0,0.0,-1
2024-06-05,1348.8128662109,0.0,0.0,1
2024-06-11,1397.4542236328,0.0,0.0,1
2024-06-18,1445.0,0.0,0.0,1
2024-07-03,1510.6500244141,0.0,0.0,1
2024-07-26,1542.75,0.0,0.0,1
2024-08-01,1590.1500244141,0.0,0.0,1
2024-08-05,1493.8499755859,0.0,0.0,-1
2024-08-07,1543.8000488281,0.0,0.0,1
2024-08-13,1483.4499511719,0.0,0.0,-1
2024-09-06,1442.4000244141,0.0,0.0,-1
2024-09-17,1426.5999755859,0.0,0.0,-1
2024-09-23,1456.1500244141,0.0,0.0,1
2024-10-03,1425.1999511719,0.0,0.0,-1
2024-10-07,1355.1999511719,0.0,0.0,-1
2024-10-08,1418.5500488281,0.0,0.0,1
2024-10-21,1375.5,0.0,0.0,-1
2024-10-25,1318.6999511719,0.0,0.0,-1
2024-10-29,1372.6999511719,0.0,0.0,1
2024-11-04,1349.25,0.0,0.0,-1
2024-11-12,1326.0,0.0,0.0,-1
2024-11-14,1264.5500488281,0.0,0.0,-1
2024-11-21,1114.6500244141,0.0,0.0,-1
2024-11-25,1166.8000488281,0.0,0.0,1
2024-11-27,1199.9499511719,0.0,0.0,1
2024-12-02,1215.8000488281,0.0,0.0,1
2024-12-03,1288.6500244141,0.0,0.0,1
2024-12-11,1233.8000488281,0.0,0.0,-1
2024-12-18,1210.0500488281,0.0,0.0,-1
2024-12-26,1243.9499511719,0.0,0.0,1
2025-01-03,1199.5500488281,0.0,0.0,-1
2025-01-08,1152.3000488281,0.0,0.0,-1
2025-01-13,1066.6500244141,0.0,0.0,-1
2025-01-14,1117.0999755859,0.0,0.0,1
2025-01-17,1163.5,0.0,0.0,1
2025-01-21,1106.1999511719,0.0,0.0,-1
2025-02-04,1125.0999755859,0.0,0.0,1
2025-02-13,1111.5500488281,0.0,0.0,-1
2025-02-14,1062.6999511719,0.0,0.0,-1
2025-02-20,1111.6999511719,0.0,0.0,1
2025-03-03,1053.0500488281,0.0,0.0,-1
2025-03-05,1112.6999511719,0.0,0.0,1
2025-03-19,1173.5,0.0,0.0,1
2025-04-04,1148.3499755859,0.0,0.0,-1
2025-04-11,1164.5500488281,0.0,0.0,1
2025-04-15,1210.8000488281,0.0,0.0,1
2025-04-17,1259.4000244141,0.0,0.0,1
2025-04-25,1193.0,0.0,0.0,-1
2025-05-02,1263.0999755859,0.0,0.0,1
2025-05-05,1347.0999755859,0.0,0.0,1
2025-05-12,1362.0999755859,0.0,0.0,1
2025-05-15,1406.1999511719,0.0,0.0,1
2025-05-29,1438.5999755859,0.0,0.0,1
2025-06-13,1405.0,0.0,0.0,-1
2025-06-19,1338.0,0.0,0.0,-1
2025-06-24,1409.5,0.0,0.0,1
2025-06-27,1440.1999511719,0.0,0.0,1
2025-07-24,1411.5999755859,0.0,0.0,-1
2025-08-01,1347.0999755859,0.0,0.0,-1
2025-08-08,1325.0,0.0,0.0,-1
