event_time,close,sPos,sNeg,trigger
2023-09-05,4965.341796875,0.0,0.0,1
2023-09-29,5118.0029296875,0.0,0.0,1
2023-10-18,4958.1196289062,0.0,0.0,-1
2023-10-26,4742.0034179688,0.0,0.0,-1
2023-11-03,5133.3935546875,0.0,0.0,1
2023-11-09,5277.23828125,0.0,0.0,1
2023-11-17,5457.8916015625,0.0,0.0,1
2023-11-28,5346.1723632812,0.0,0.0,-1
2023-11-30,5507.6997070312,0.0,0.0,1
2023-12-07,5440.4086914062,0.0,0.0,-1
2023-12-20,5381.4370117188,0.0,0.0,-1
2023-12-26,5611.4990234375,0.0,0.0,1
2024-01-09,5775.3666992188,0.0,0.0,1
2024-01-18,5967.82421875,0.0,0.0,1
2024-01-23,6130.09765625,0.0,0.0,1
2024-01-29,6305.4213867188,0.0,0.0,1
2024-02-06,6173.4799804688,0.0,0.0,-1
2024-02-09,6412.6079101562,0.0,0.0,1
2024-02-12,6589.02734375,0.0,0.0,1
2024-02-16,6575.1801757812,0.0,0.0,-1
2024-02-20,6739.5444335938,0.0,0.0,1
2024-02-26,6564.6103515625,0.0,0.0,-1
2024-02-28,6343.6137695312,0.0,0.0,-1
2024-02-29,6083.6313476562,0.0,0.0,-1
2024-03-11,6186.427734375,0.0,0.0,1
2024-03-13,5990.7055664062,0.0,0.0,-1
2024-03-18,6118.4780273438,0.0,0.0,1
2024-03-22,6357.1235351562,0.0,0.0,1
2024-04-01,6438.2338867188,0.0,0.0,1
2024-04-08,6289.173828125,0.0,0.0,-1
2024-04-09,6485.8930664062,0.0,0.0,1
2024-04-15,6284.587890625,0.0,0.0,-1
2024-04-18,6056.2622070312,0.0,0.0,-1
2024-04-22,6220.177734375,0.0,0.0,1
2024-04-25,6365.2993164062,0.0,0.0,1
2024-04-29,5950.7739257812,0.0,0.0,-1
2024-05-07,5882.8740234375,0.0,0.0,-1
2024-05-23,5952.46875,0.0,0.0,1
2024-05-30,5749.46875,0.0,0.0,-1
2024-06-05,5917.1728515625,0.0,0.0,1
2024-06-11,6089.9624023438,0.0,0.0,1
2024-06-24,6241.1162109375,0.0,0.0,1
2024-06-26,6118.7275390625,0.0,0.0,-1
2024-07-05,6309.9125976562,0.0,0.0,1
2024-07-18,6501.6469726562,0.0,0.0,1
2024-07-26,6644.9233398438,0.0,0.0,1
2024-08-08,6522.6342773438,0.0,0.0,-1
2024-08-16,6677.4555664062,0.0,0.0,1
2024-08-22,6820.90234375,0.0,0.0,1
2024-08-30,6917.7158203125,0.0,0.0,1
2024-09-12,7051.8256835938,0.0,0.0,1
2024-09-26,7157.7260742188,0.0,0.0,1
2024-10-03,6896.1962890625,0.0,0.0,-1
2024-10-08,6914.5200195312,0.0,0.0,1
2024-10-14,7082.5825195312,0.0,0.0,1
2024-10-17,6979.4282226562,0.0,0.0,-1
2024-11-07,7414.36328125,0.0,0.0,1
2024-11-11,7145.34375,0.0,0.0,-1
2024-11-13,6849.1625976562,0.0,0.0,-1
2024-11-19,6677.4555664062,0.0,0.0,-1
2024-11-22,6925.3051757812,0.0,0.0,1
2024-11-28,6831.4379882812,0.0,0.0,-1
2024-12-02,7055.8203125,0.0,0.0,1
2024-12-04,7222.1352539062,0.0,0.0,1
2025-01-01,7359.2412109375,0.0,0.0,1
2025-01-08,7132.5615234375,0.0,0.0,-1
2025-01-13,6829.9399414062,0.0,0.0,-1
2025-01-21,6909.3774414062,0.0,0.0,1
2025-01-24,6735.5229492188,0.0,0.0,-1
2025-02-05,6934.8413085938,0.0,0.0,1
2025-02-07,6780.958984375,0.0,0.0,-1
2025-02-11,6308.427734375,0.0,0.0,-1
2025-02-19,6422.6499023438,0.0,0.0,1
2025-02-24,6251.3999023438,0.0,0.0,-1
2025-02-28,6052.6000976562,0.0,0.0,-1
2025-03-05,6214.3999023438,0.0,0.0,1
2025-03-13,6105.6499023438,0.0,0.0,-1
2025-03-19,6427.5498046875,0.0,0.0,1
2025-03-21,6611.5498046875,0.0,0.0,1
2025-03-27,6492.0498046875,0.0,0.0,-1
2025-04-02,6732.1499023438,0.0,0.0,1
2025-04-09,6834.1000976562,0.0,0.0,1
2025-04-16,7005.5,0.0,0.0,1
2025-04-24,7159.5,0.0,0.0,1
2025-04-25,6953.0,0.0,0.0,-1
2025-05-08,6851.5,0.0,0.0,-1
2025-05-12,6926.0,0.0,0.0,1
2025-05-15,7072.5,0.0,0.0,1
2025-05-20,6912.0,0.0,0.0,-1
2025-05-23,7064.5,0.0,0.0,1
2025-05-29,6923.0,0.0,0.0,-1
2025-06-16,7114.0,0.0,0.0,1
2025-06-18,6933.5,0.0,0.0,-1
2025-06-26,7101.5,0.0,0.0,1
2025-06-27,7308.5,0.0,0.0,1
2025-07-01,7496.0,0.0,0.0,1
2025-07-10,7359.0,0.0,0.0,-1
2025-07-11,7189.5,0.0,0.0,-1
2025-07-15,7360.5,0.0,0.0,1
2025-07-25,7468.5,0.0,0.0,1
2025-08-04,7308.0,0.0,0.0,-1
2025-08-08,7084.5,0.0,0.0,-1
2025-08-11,7259.0,0.0,0.0,1
2025-08-13,7808.5,0.0,0.0,1
