event_time,close,sPos,sNeg,trigger
2023-09-14,1019.2416381836,0.0,0.0,1
2023-09-28,1029.2254638672,0.0,0.0,1
2023-10-04,993.932800293,0.0,0.0,-1
2023-10-10,1010.6056518555,0.0,0.0,1
2023-10-13,992.4352416992,0.0,0.0,-1
2023-10-19,989.7896118164,0.0,0.0,-1
2023-10-23,962.733581543,0.0,0.0,-1
2023-10-26,970.4710083008,0.0,0.0,1
2023-10-27,1001.12109375,0.0,0.0,1
2023-10-31,980.255065918,0.0,0.0,-1
2023-11-03,987.2437133789,0.0,0.0,1
2023-11-06,1007.7603149414,0.0,0.0,1
2023-11-10,1027.5281982422,0.0,0.0,1
2023-11-15,1039.6584472656,0.0,0.0,1
2023-11-17,992.7347412109,0.0,0.0,-1
2023-11-24,1006.8618164062,0.0,0.0,1
2023-11-29,1058.4278564453,0.0,0.0,1
2023-12-01,1102.8555908203,0.0,0.0,1
2023-12-04,1123.771484375,0.0,0.0,1
2023-12-13,1113.0389404297,0.0,0.0,-1
2023-12-21,1093.6207275391,0.0,0.0,-1
2023-12-27,1104.5528564453,0.0,0.0,1
2024-01-04,1121.5751953125,0.0,0.0,1
2024-01-09,1114.736328125,0.0,0.0,-1
2024-01-11,1123.9212646484,0.0,0.0,1
2024-01-17,1080.5419921875,0.0,0.0,-1
2024-01-19,1114.736328125,0.0,0.0,1
2024-01-23,1087.4807128906,0.0,0.0,-1
2024-01-24,1057.4295654297,0.0,0.0,-1
2024-01-25,1040.5568847656,0.0,0.0,-1
2024-01-29,1059.5260009766,0.0,0.0,1
2024-02-01,1082.4887695312,0.0,0.0,1
2024-02-02,1065.3167724609,0.0,0.0,-1
2024-02-06,1048.3443603516,0.0,0.0,-1
2024-02-07,1067.3634033203,0.0,0.0,1
2024-02-08,1034.2172851562,0.0,0.0,-1
2024-02-13,1069.0106201172,0.0,0.0,1
2024-02-14,1095.0682373047,0.0,0.0,1
2024-02-15,1070.4582519531,0.0,0.0,-1
2024-02-20,1086.8316650391,0.0,0.0,1
2024-02-22,1099.1116943359,0.0,0.0,1
2024-02-27,1077.2972412109,0.0,0.0,-1
2024-03-01,1097.4644775391,0.0,0.0,1
2024-03-06,1123.1724853516,0.0,0.0,1
2024-03-11,1103.3049316406,0.0,0.0,-1
2024-03-13,1078.6450195312,0.0,0.0,-1
2024-03-14,1056.5308837891,0.0,0.0,-1
2024-03-20,1033.0692138672,0.0,0.0,-1
2024-03-27,1051.1396484375,0.0,0.0,1
2024-04-03,1061.5228271484,0.0,0.0,1
2024-04-08,1074.3021240234,0.0,0.0,1
2024-04-15,1056.2314453125,0.0,0.0,-1
2024-04-18,1022.3366088867,0.0,0.0,-1
2024-04-22,1052.2377929688,0.0,0.0,1
2024-04-25,1125.1693115234,0.0,0.0,1
2024-04-29,1157.3669433594,0.0,0.0,1
2024-05-02,1147.9821777344,0.0,0.0,-1
2024-05-07,1125.8681640625,0.0,0.0,-1
2024-05-13,1130.1612548828,0.0,0.0,1
2024-05-16,1137.4493408203,0.0,0.0,1
2024-05-23,1163.3571777344,0.0,0.0,1
2024-05-27,1185.0718994141,0.0,0.0,1
2024-05-29,1157.8660888672,0.0,0.0,-1
2024-06-03,1221.9119873047,0.0,0.0,1
2024-06-04,1129.4124755859,0.0,0.0,-1
2024-06-05,1182.5758056641,0.0,0.0,1
2024-06-10,1198.05078125,0.0,0.0,1
2024-06-13,1172.7419433594,0.0,0.0,-1
2024-06-18,1189.9639892578,0.0,0.0,1
2024-06-19,1224.6573486328,0.0,0.0,1
2024-06-25,1269.3846435547,0.0,0.0,1
2024-06-27,1286.8562011719,0.0,0.0,1
2024-06-28,1263.1947021484,0.0,0.0,-1
2024-07-03,1277.9207763672,0.0,0.0,1
2024-07-11,1294.6435546875,0.0,0.0,1
2024-07-12,1316.1751708984,0.0,0.0,1
2024-07-19,1291.2464599609,0.0,0.0,-1
2024-07-23,1262.1712646484,0.0,0.0,-1
2024-07-24,1238.1917724609,0.0,0.0,-1
2024-07-25,1174.8958740234,0.0,0.0,-1
2024-08-02,1159.8587646484,0.0,0.0,-1
2024-08-05,1132.5321044922,0.0,0.0,-1
2024-08-09,1141.7741699219,0.0,0.0,1
2024-08-12,1163.3059082031,0.0,0.0,1
2024-08-21,1173.3972167969,0.0,0.0,1
2024-09-02,1187.7849121094,0.0,0.0,1
2024-09-06,1157.7604980469,0.0,0.0,-1
2024-09-10,1186.1861572266,0.0,0.0,1
2024-09-12,1202.3223876953,0.0,0.0,1
2024-09-16,1229.9989013672,0.0,0.0,1
2024-09-25,1267.0170898438,0.0,0.0,1
2024-09-30,1231.1478271484,0.0,0.0,-1
2024-10-03,1174.6960449219,0.0,0.0,-1
2024-10-07,1144.7216796875,0.0,0.0,-1
2024-10-09,1169.1508789062,0.0,0.0,1
2024-10-14,1163.3557128906,0.0,0.0,-1
2024-10-17,1130.8835449219,0.0,0.0,-1
2024-10-18,1195.8280029297,0.0,0.0,1
2024-10-22,1174.7459716797,0.0,0.0,-1
2024-10-25,1188.3343505859,0.0,0.0,1
2024-10-28,1170.599609375,0.0,0.0,-1
2024-10-30,1169.4006347656,0.0,0.0,-1
2024-11-04,1138.2772216797,0.0,0.0,-1
2024-11-05,1170.6994628906,0.0,0.0,1
2024-11-13,1138.1773681641,0.0,0.0,-1
2024-11-22,1141.4245605469,0.0,0.0,1
2024-11-28,1131.5329589844,0.0,0.0,-1
2024-12-03,1159.5090332031,0.0,0.0,1
2024-12-06,1183.5385742188,0.0,0.0,1
2024-12-09,1162.2567138672,0.0,0.0,-1
2024-12-11,1146.2703857422,0.0,0.0,-1
2024-12-18,1121.2917480469,0.0,0.0,-1
2024-12-20,1070.9346923828,0.0,0.0,-1
2025-01-02,1085.6721191406,0.0,0.0,1
2025-01-06,1062.4919433594,0.0,0.0,-1
2025-01-10,1039.8112792969,0.0,0.0,-1
2025-01-15,1025.9232177734,0.0,0.0,-1
2025-01-17,990.2037353516,0.0,0.0,-1
2025-01-21,969.3715820312,0.0,0.0,-1
2025-01-23,950.2379150391,0.0,0.0,-1
2025-01-28,982.9598999023,0.0,0.0,1
2025-02-04,1014.4330444336,0.0,0.0,1
2025-02-11,1006.5397949219,0.0,0.0,-1
2025-02-19,1010.4863891602,0.0,0.0,1
2025-03-06,1033.2169189453,0.0,0.0,1
2025-03-12,1010.3365478516,0.0,0.0,-1
2025-03-17,1033.2669677734,0.0,0.0,1
2025-03-19,1051.1517333984,0.0,0.0,1
2025-03-21,1069.2362060547,0.0,0.0,1
2025-03-24,1096.9124755859,0.0,0.0,1
2025-03-25,1117.5949707031,0.0,0.0,1
2025-03-26,1095.3139648438,0.0,0.0,-1
2025-04-01,1084.6729736328,0.0,0.0,-1
2025-04-07,1047.0550537109,0.0,0.0,-1
2025-04-08,1076.9295654297,0.0,0.0,1
2025-04-09,1060.7435302734,0.0,0.0,-1
2025-04-15,1111.8498535156,0.0,0.0,1
2025-04-16,1160.3084716797,0.0,0.0,1
2025-04-17,1189.783203125,0.0,0.0,1
2025-04-21,1221.9556884766,0.0,0.0,1
