event_time,close,sPos,sNeg,trigger
2023-09-06,4427181459.565732,0.0,0.0,-1
2023-09-07,-4007511583.072269,0.0,0.0,-1
2023-09-08,4583862726.767265,0.0,0.0,1
2023-09-11,-2977959365.428518,0.0,0.0,-1
2023-09-12,7090360115.10443,0.0,0.0,1
2023-09-15,-5842526804.751174,0.0,0.0,-1
2023-09-18,5281996289.694913,0.0,0.0,1
2023-09-20,-6302285399.621265,0.0,0.0,-1
2023-09-25,18178340433.89729,0.0,0.0,1
2023-09-26,9717587536.645351,0.0,0.0,-1
2023-09-27,-5775127453.735538,0.0,0.0,-1
2023-09-29,4431954106.869686,0.0,0.0,1
2023-10-04,-9149279171.484522,0.0,0.0,-1
2023-10-06,17350950126.116528,0.0,0.0,1
2023-10-17,9942722904.413568,0.0,0.0,-1
2023-10-18,-12032511344.715672,0.0,0.0,-1
2023-10-26,-22497470975.74056,0.0,0.0,-1
2023-11-02,-14450657303.780231,0.0,0.0,1
2023-11-03,-8357579693.1058655,0.0,0.0,1
2023-11-08,-13625493445.656094,0.0,0.0,-1
2023-11-13,-7324206950.523258,0.0,0.0,1
2023-11-15,-13760002605.810907,0.0,0.0,-1
2023-11-16,33223822347.59383,0.0,0.0,1
2023-11-20,-28193404848.077835,0.0,0.0,-1
2023-11-22,19071131522.47134,0.0,0.0,1
2023-11-24,-9296801654.084278,0.0,0.0,-1
2023-11-28,5139371518.67694,0.0,0.0,1
2023-11-30,-8970250099.866547,0.0,0.0,-1
2023-12-01,6473132006.588801,0.0,0.0,1
2023-12-05,-11079070343.558826,0.0,0.0,-1
2023-12-11,-4261160837.292333,0.0,0.0,1
2023-12-12,4587219053.789142,0.0,0.0,1
2023-12-13,-4908548982.251318,0.0,0.0,-1
2023-12-14,12801067545.716908,0.0,0.0,1
2023-12-15,8736171597.583862,0.0,0.0,-1
2023-12-20,-6489893024.798858,0.0,0.0,-1
2023-12-27,11497439499.157406,0.0,0.0,1
2024-01-04,18171891846.680557,0.0,0.0,1
2024-01-09,-9540326525.585184,0.0,0.0,-1
2024-01-18,-12137427567.64139,0.0,0.0,-1
2024-01-29,21446204466.387894,0.0,0.0,1
2024-01-30,-28036735942.99614,0.0,0.0,-1
2024-02-06,-18713609938.48212,0.0,0.0,1
2024-02-07,10219698684.498997,0.0,0.0,1
2024-02-08,-14281138499.97905,0.0,0.0,-1
2024-02-14,14814810082.620474,0.0,0.0,1
2024-02-15,-5773898487.118251,0.0,0.0,-1
2024-02-19,8747106915.894213,0.0,0.0,1
2024-02-21,-5662783993.242294,0.0,0.0,-1
2024-02-23,8491707249.569622,0.0,0.0,1
2024-02-26,-5868360776.953125,0.0,0.0,-1
2024-02-29,-14373579536.81137,0.0,0.0,-1
2024-03-01,5980791371.264706,0.0,0.0,1
2024-03-05,-8159956982.931501,0.0,0.0,-1
2024-03-06,-13154328223.066933,0.0,0.0,-1
2024-03-07,9343216208.507631,0.0,0.0,1
2024-03-14,-7727922952.383347,0.0,0.0,-1
2024-03-15,12711348641.967031,0.0,0.0,1
2024-03-26,20194654859.00117,0.0,0.0,1
2024-03-27,10787980490.43206,0.0,0.0,-1
2024-03-28,25645726719.654213,0.0,0.0,1
2024-04-18,-24336196011.096184,0.0,0.0,-1
2024-04-19,8589632986.450805,0.0,0.0,1
2024-04-26,-40158333278.33624,0.0,0.0,-1
2024-04-30,23695586764.10088,0.0,0.0,1
2024-05-03,39035391295.42438,0.0,0.0,1
2024-06-03,29560264529.49961,0.0,0.0,-1
2024-06-04,-21268083409.448235,0.0,0.0,-1
2024-06-13,60733545950.23415,0.0,0.0,1
2024-06-24,-23525653138.922817,0.0,0.0,-1
2024-06-25,-10989093520.665796,0.0,0.0,1
2024-07-23,-29565478741.31974,0.0,0.0,-1
2024-07-24,-20388366486.52857,0.0,0.0,1
2024-08-30,64678966782.57108,0.0,0.0,1
2024-09-02,17003490534.980469,0.0,0.0,-1
2024-10-22,-52060448216.10774,0.0,0.0,-1
2024-10-23,18362456549.60682,0.0,0.0,1
2024-12-11,51021274659.36545,0.0,0.0,1
2024-12-12,6856261252.931948,0.0,0.0,-1
2024-12-20,-22469637247.990097,0.0,0.0,-1
2025-01-02,24629357076.95399,0.0,0.0,1
2025-01-03,11101458745.41532,0.0,0.0,-1
2025-01-29,34069927510.100777,0.0,0.0,1
2025-01-30,44422113938.99119,0.0,0.0,1
2025-09-04,100781364799.33871,0.0,0.0,1
