event_time,close,sPos,sNeg,trigger
2023-09-08,45156.3984375,0.0,0.0,1
2023-09-15,46231.5,0.0,0.0,1
2023-09-21,44623.8515625,0.0,0.0,-1
2023-10-20,43723.05078125,0.0,0.0,-1
2023-10-26,42280.1484375,0.0,0.0,-1
2023-11-03,43318.25,0.0,0.0,1
2023-11-29,44566.44921875,0.0,0.0,1
2023-12-04,46431.3984375,0.0,0.0,1
2023-12-14,47732.30078125,0.0,0.0,1
2023-12-28,48508.55078125,0.0,0.0,1
2024-01-08,47450.25,0.0,0.0,-1
2024-01-17,46064.44921875,0.0,0.0,-1
2024-01-23,45015.05078125,0.0,0.0,-1
2024-01-31,45996.80078125,0.0,0.0,1
2024-02-08,45012.0,0.0,0.0,-1
2024-02-14,45908.30078125,0.0,0.0,1
2024-02-20,47094.19921875,0.0,0.0,1
2024-02-28,45963.1484375,0.0,0.0,-1
2024-03-01,47286.8984375,0.0,0.0,1
2024-03-14,46789.94921875,0.0,0.0,-1
2024-04-01,47578.25,0.0,0.0,1
2024-04-08,48581.69921875,0.0,0.0,1
2024-04-15,47773.25,0.0,0.0,-1
2024-04-24,48189.0,0.0,0.0,1
2024-04-29,49424.05078125,0.0,0.0,1
2024-05-07,48285.3515625,0.0,0.0,-1
2024-05-23,48768.6015625,0.0,0.0,1
2024-06-03,50979.94921875,0.0,0.0,1
2024-06-04,46928.6015625,0.0,0.0,-1
2024-06-05,49054.6015625,0.0,0.0,1
2024-06-18,50440.8984375,0.0,0.0,1
2024-06-20,51783.25,0.0,0.0,1
2024-06-26,52870.5,0.0,0.0,1
2024-07-23,51778.30078125,0.0,0.0,-1
2024-08-05,50092.1015625,0.0,0.0,-1
2024-08-20,50803.1484375,0.0,0.0,1
2024-09-06,50576.8515625,0.0,0.0,-1
2024-09-12,51772.3984375,0.0,0.0,1
2024-09-19,53037.6015625,0.0,0.0,1
2024-09-23,54105.80078125,0.0,0.0,1
2024-09-30,52978.1015625,0.0,0.0,-1
2024-10-03,51845.19921875,0.0,0.0,-1
2024-10-07,50478.8984375,0.0,0.0,-1
2024-10-10,51530.8984375,0.0,0.0,1
2024-10-25,50787.44921875,0.0,0.0,-1
2024-10-29,52320.69921875,0.0,0.0,1
2024-11-04,51215.25,0.0,0.0,-1
2024-11-06,52317.3984375,0.0,0.0,1
2024-11-12,51157.80078125,0.0,0.0,-1
2024-11-13,50088.3515625,0.0,0.0,-1
2024-11-22,51135.3984375,0.0,0.0,1
2024-11-25,52207.5,0.0,0.0,1
2024-12-04,53266.8984375,0.0,0.0,1
2024-12-18,52139.55078125,0.0,0.0,-1
2024-12-20,50759.19921875,0.0,0.0,-1
2025-01-06,49922.0,0.0,0.0,-1
2025-01-10,48734.1484375,0.0,0.0,-1
2025-01-16,49278.69921875,0.0,0.0,1
2025-01-27,48064.6484375,0.0,0.0,-1
2025-01-29,49165.94921875,0.0,0.0,1
2025-02-05,50343.05078125,0.0,0.0,1
2025-02-13,49359.8515625,0.0,0.0,-1
2025-02-28,48344.69921875,0.0,0.0,-1
2025-03-18,49314.5,0.0,0.0,1
2025-03-21,50593.55078125,0.0,0.0,1
2025-03-24,51704.94921875,0.0,0.0,1
2025-04-07,49860.1015625,0.0,0.0,-1
2025-04-11,51002.3515625,0.0,0.0,1
2025-04-15,52379.5,0.0,0.0,1
2025-04-17,54290.19921875,0.0,0.0,1
2025-04-22,55647.19921875,0.0,0.0,1
2025-05-06,54271.3984375,0.0,0.0,-1
2025-05-12,55382.8515625,0.0,0.0,1
2025-06-02,55903.3984375,0.0,0.0,1
2025-06-09,56839.6015625,0.0,0.0,1
2025-06-13,55527.3515625,0.0,0.0,-1
2025-06-25,56621.1484375,0.0,0.0,1
2025-07-18,56283.0,0.0,0.0,-1
2025-07-28,56084.8984375,0.0,0.0,-1
2025-08-08,55004.8984375,0.0,0.0,-1
2025-08-26,54450.44921875,0.0,0.0,-1
