event_time,close,sPos,sNeg,trigger
2023-09-20,-2565787522.223807,0.0,0.0,-1
2023-12-04,14135806587.086742,0.0,0.0,1
2023-12-05,-4346079210.047244,0.0,0.0,-1
2023-12-07,12180773039.64811,0.0,0.0,1
2023-12-19,17614794419.36529,0.0,0.0,1
2023-12-26,12566605136.12847,0.0,0.0,-1
2024-01-04,9738768629.420595,0.0,0.0,-1
2024-01-05,-4022685583.6204886,0.0,0.0,-1
2024-01-29,10993684629.517292,0.0,0.0,1
2024-01-30,-3856350911.298148,0.0,0.0,-1
2024-02-12,-10793022648.516403,0.0,0.0,-1
2024-02-14,6629865004.54352,0.0,0.0,1
2024-02-23,18238790914.93805,0.0,0.0,1
2024-03-04,13156331108.68108,0.0,0.0,-1
2024-03-05,5187584011.580275,0.0,0.0,-1
2024-03-12,-8412492731.026264,0.0,0.0,-1
2024-03-21,10597341677.198124,0.0,0.0,1
2024-03-22,6121109766.203512,0.0,0.0,-1
2024-03-27,12539035358.519852,0.0,0.0,1
2024-04-02,20528393004.788918,0.0,0.0,1
2024-04-10,23445519704.37893,0.0,0.0,1
2024-04-12,13210251458.12436,0.0,0.0,-1
2024-04-24,22823480151.92815,0.0,0.0,1
2024-04-26,8649087859.375315,0.0,0.0,-1
2024-04-30,-7986979558.423755,0.0,0.0,-1
2024-05-14,5299871199.771429,0.0,0.0,1
2024-05-16,13078311749.776283,0.0,0.0,1
2024-05-17,20195696625.968857,0.0,0.0,1
2024-05-21,34461560142.70764,0.0,0.0,1
2024-05-22,24077969419.69725,0.0,0.0,-1
2024-05-23,20163290728.442383,0.0,0.0,-1
2024-05-27,-14536136503.840063,0.0,0.0,-1
2024-05-28,-9695910021.19206,0.0,0.0,1
2024-05-29,9148367476.5039,0.0,0.0,1
2024-05-30,-12300582616.307316,0.0,0.0,-1
2024-05-31,15051480655.628174,0.0,0.0,1
2024-06-03,21206356664.02261,0.0,0.0,1
2024-06-04,-67782281829.26803,0.0,0.0,-1
2024-06-05,49845922365.9731,0.0,0.0,1
2024-06-06,25860102315.390484,0.0,0.0,-1
2024-06-07,16844531620.439247,0.0,0.0,-1
2024-06-10,11879942051.502195,0.0,0.0,-1
2024-06-11,9138587751.357887,0.0,0.0,-1
2024-06-13,14741727928.15511,0.0,0.0,1
2024-06-14,20637987261.04563,0.0,0.0,1
2024-06-19,-17965051910.760014,0.0,0.0,-1
2024-06-20,12192510967.321815,0.0,0.0,1
2024-06-21,-11352167277.52776,0.0,0.0,-1
2024-06-24,11996317630.759855,0.0,0.0,1
2024-06-25,-8925119416.912285,0.0,0.0,-1
2024-06-27,-12051200979.523426,0.0,0.0,-1
2024-06-28,7342348375.028964,0.0,0.0,1
2024-07-01,12023247849.481327,0.0,0.0,1
2024-07-02,-7261510135.464048,0.0,0.0,-1
2024-07-03,13979097311.643175,0.0,0.0,1
2024-07-04,11176535120.272776,0.0,0.0,-1
2024-07-05,20241142829.722317,0.0,0.0,1
2024-07-08,23501843831.160484,0.0,0.0,1
