event_time,close,sPos,sNeg,trigger
2023-11-08,274.5151977539,0.0,0.0,1
2023-11-13,302.1483764648,0.0,0.0,1
2023-11-28,309.3125915527,0.0,0.0,1
2023-12-04,320.8456726074,0.0,0.0,1
2023-12-13,312.2524108887,0.0,0.0,-1
2023-12-19,331.9265136719,0.0,0.0,1
2023-12-20,318.5390319824,0.0,0.0,-1
2023-12-22,328.5795898438,0.0,0.0,1
2023-12-28,344.5902404785,0.0,0.0,1
2024-01-02,355.1735229492,0.0,0.0,1
2024-01-08,344.0927429199,0.0,0.0,-1
2024-01-23,339.4795227051,0.0,0.0,-1
2024-01-25,352.2337036133,0.0,0.0,1
2024-01-29,373.4002990723,0.0,0.0,1
2024-01-30,364.1286315918,0.0,0.0,-1
2024-02-02,379.7321777344,0.0,0.0,1
2024-02-05,398.2303466797,0.0,0.0,1
2024-02-07,409.4468383789,0.0,0.0,1
2024-02-12,391.491394043,0.0,0.0,-1
2024-02-13,409.1754760742,0.0,0.0,1
2024-02-14,421.839263916,0.0,0.0,1
2024-02-15,431.3370666504,0.0,0.0,1
2024-02-19,416.9998779297,0.0,0.0,-1
2024-02-21,396.138458252,0.0,0.0,-1
2024-02-22,407.3011169434,0.0,0.0,1
2024-02-28,397.2821960449,0.0,0.0,-1
2024-03-01,408.3991394043,0.0,0.0,1
2024-03-05,421.4832458496,0.0,0.0,1
2024-03-12,411.098236084,0.0,0.0,-1
2024-03-13,381.5903015137,0.0,0.0,-1
2024-03-14,391.3348388672,0.0,0.0,1
2024-03-15,379.943359375,0.0,0.0,-1
2024-03-21,395.3149719238,0.0,0.0,1
2024-04-01,404.4647216797,0.0,0.0,1
2024-04-10,417.5488586426,0.0,0.0,1
2024-04-18,401.3080444336,0.0,0.0,-1
2024-04-25,413.98046875,0.0,0.0,1
2024-05-03,434.2471313477,0.0,0.0,1
2024-05-06,421.4375305176,0.0,0.0,-1
2024-05-09,405.7914428711,0.0,0.0,-1
2024-05-15,428.0710449219,0.0,0.0,1
2024-05-21,448.9324951172,0.0,0.0,1
2024-05-22,459.04296875,0.0,0.0,1
2024-05-28,446.1875610352,0.0,0.0,-1
2024-06-03,468.7874450684,0.0,0.0,1
2024-06-04,404.3274841309,0.0,0.0,-1
2024-06-05,421.3916931152,0.0,0.0,1
2024-06-06,432.7374572754,0.0,0.0,1
2024-06-12,447.1483154297,0.0,0.0,1
2024-06-19,437.3123474121,0.0,0.0,-1
2024-06-25,429.3520507812,0.0,0.0,-1
2024-07-02,438.3645629883,0.0,0.0,1
2024-07-04,447.9260253906,0.0,0.0,1
2024-07-11,457.5332336426,0.0,0.0,1
2024-07-16,468.8789672852,0.0,0.0,1
2024-07-19,446.5078125,0.0,0.0,-1
2024-07-26,466.5,0.0,0.0,1
2024-07-31,477.799987793,0.0,0.0,1
2024-08-01,494.4525146484,0.0,0.0,1
2024-08-02,479.9043884277,0.0,0.0,-1
2024-08-05,463.7093200684,0.0,0.0,-1
2024-08-07,486.309173584,0.0,0.0,1
2024-08-14,461.7879333496,0.0,0.0,-1
2024-08-16,473.4319152832,0.0,0.0,1
2024-08-19,482.3960571289,0.0,0.0,1
2024-08-21,491.8221435547,0.0,0.0,1
2024-08-23,497.9676208496,0.0,0.0,1
2024-08-28,486.4159851074,0.0,0.0,-1
2024-09-04,465.4382324219,0.0,0.0,-1
2024-09-06,451.4838256836,0.0,0.0,-1
2024-09-12,458.0451660156,0.0,0.0,1
2024-09-19,441.688079834,0.0,0.0,-1
2024-09-20,453.7017822266,0.0,0.0,1
2024-09-24,466.0389099121,0.0,0.0,1
2024-09-27,476.9436035156,0.0,0.0,1
2024-10-03,464.2368774414,0.0,0.0,-1
2024-10-07,443.9984130859,0.0,0.0,-1
2024-10-08,454.5334777832,0.0,0.0,1
2024-10-14,460.4941101074,0.0,0.0,1
2024-10-21,448.572845459,0.0,0.0,-1
2024-10-22,432.81640625,0.0,0.0,-1
2024-10-25,426.1164855957,0.0,0.0,-1
2024-10-28,408.1421508789,0.0,0.0,-1
2024-10-31,417.7530822754,0.0,0.0,1
2024-11-04,409.6669311523,0.0,0.0,-1
2024-11-08,406.3133544922,0.0,0.0,-1
2024-11-12,396.731628418,0.0,0.0,-1
2024-11-25,399.9894104004,0.0,0.0,1
2024-12-02,404.0616760254,0.0,0.0,1
2024-12-12,391.9886779785,0.0,0.0,-1
2024-12-18,379.2449645996,0.0,0.0,-1
2024-12-20,366.0221557617,0.0,0.0,-1
2025-01-02,376.5141906738,0.0,0.0,1
2025-01-06,362.9081420898,0.0,0.0,-1
2025-01-10,353.0868530273,0.0,0.0,-1
2025-01-15,358.9317016602,0.0,0.0,1
2025-01-17,371.4358520508,0.0,0.0,1
2025-01-27,360.0335998535,0.0,0.0,-1
2025-01-30,368.9445800781,0.0,0.0,1
2025-01-31,384.9391784668,0.0,0.0,1
2025-02-01,374.6326293945,0.0,0.0,-1
2025-02-03,363.6455078125,0.0,0.0,-1
2025-02-10,360.2424316406,0.0,0.0,-1
2025-02-11,349.0607910156,0.0,0.0,-1
2025-02-20,357.7630004883,0.0,0.0,1
2025-03-03,350.3734130859,0.0,0.0,-1
2025-03-06,372.0074157715,0.0,0.0,1
2025-03-17,375.0701904297,0.0,0.0,1
2025-03-19,384.8905639648,0.0,0.0,1
2025-03-21,394.1761779785,0.0,0.0,1
2025-03-26,383.8696289062,0.0,0.0,-1
2025-04-04,374.3895568848,0.0,0.0,-1
2025-04-09,364.2289123535,0.0,0.0,-1
2025-04-11,381.2443847656,0.0,0.0,1
2025-04-29,378.3274536133,0.0,0.0,-1
2025-05-06,367.7778320312,0.0,0.0,-1
2025-05-12,384.5502624512,0.0,0.0,1
2025-05-15,393.4469299316,0.0,0.0,1
2025-05-22,387.8074951172,0.0,0.0,-1
2025-06-03,381.9736328125,0.0,0.0,-1
2025-06-11,390.9675598145,0.0,0.0,1
2025-06-12,381.8277893066,0.0,0.0,-1
2025-06-19,373.6117248535,0.0,0.0,-1
2025-06-26,383.2376403809,0.0,0.0,1
2025-07-07,373.6117248535,0.0,0.0,-1
2025-07-23,379.9317626953,0.0,0.0,1
2025-07-25,370.257232666,0.0,0.0,-1
2025-08-01,362.1870422363,0.0,0.0,-1
2025-08-06,371.8050842285,0.0,0.0,1
2025-08-13,380.9312438965,0.0,0.0,1
2025-08-26,372.450012207,0.0,0.0,-1
2025-09-03,389.799987793,0.0,0.0,1
2025-09-17,399.75,0.0,0.0,1
2025-09-26,389.1499938965,0.0,0.0,-1
2025-10-14,380.950012207,0.0,0.0,-1
2025-10-20,390.6000061035,0.0,0.0,1
2025-10-29,382.0,0.0,0.0,-1
