event_time,close,sPos,sNeg,trigger
2025-04-15,222.2299957275,0.0,0.0,1
2025-04-17,231.6000061035,0.0,0.0,1
2025-04-25,228.8099975586,0.0,0.0,-1
2025-05-05,239.8999938965,0.0,0.0,1
2025-05-08,229.8099975586,0.0,0.0,-1
2025-05-12,239.5,0.0,0.0,1
2025-05-15,242.5899963379,0.0,0.0,1
2025-05-20,228.2799987793,0.0,0.0,-1
2025-05-23,237.5500030518,0.0,0.0,1
2025-05-26,226.8000030518,0.0,0.0,-1
2025-05-30,238.3099975586,0.0,0.0,1
2025-06-05,256.5599975586,0.0,0.0,1
2025-06-12,251.5599975586,0.0,0.0,-1
2025-06-25,258.8599853516,0.0,0.0,1
2025-07-14,270.6000061035,0.0,0.0,1
2025-07-17,259.6499938965,0.0,0.0,-1
2025-07-21,271.700012207,0.0,0.0,1
2025-07-22,299.799987793,0.0,0.0,1
2025-07-24,313.1499938965,0.0,0.0,1
2025-07-30,303.450012207,0.0,0.0,-1
2025-08-06,298.8500061035,0.0,0.0,-1
2025-08-11,309.3999938965,0.0,0.0,1
2025-08-14,318.3999938965,0.0,0.0,1
2025-08-20,326.549987793,0.0,0.0,1
2025-08-26,317.8999938965,0.0,0.0,-1
2025-09-03,326.1000061035,0.0,0.0,1
2025-09-18,337.8500061035,0.0,0.0,1
2025-09-25,332.25,0.0,0.0,-1
2025-09-26,321.0,0.0,0.0,-1
2025-10-06,335.1000061035,0.0,0.0,1
2025-10-09,345.5,0.0,0.0,1
2025-10-15,354.3500061035,0.0,0.0,1
2025-10-17,342.6499938965,0.0,0.0,-1
2025-10-23,328.3500061035,0.0,0.0,-1
