event_time,close,sPos,sNeg,trigger
2023-10-04,1874.2945556641,0.0,0.0,-1
2023-10-11,1957.5865478516,0.0,0.0,1
2023-10-23,1881.1160888672,0.0,0.0,-1
2023-11-06,1896.8846435547,0.0,0.0,1
2023-11-21,1954.9666748047,0.0,0.0,1
2023-12-01,1993.1279296875,0.0,0.0,1
2023-12-07,2058.0808105469,0.0,0.0,1
2023-12-20,2040.0877685547,0.0,0.0,-1
2023-12-27,2100.6413574219,0.0,0.0,1
2024-01-03,2048.6394042969,0.0,0.0,-1
2024-01-16,2099.4653320312,0.0,0.0,1
2024-01-18,2038.373046875,0.0,0.0,-1
2024-01-30,2110.3337402344,0.0,0.0,1
2024-02-05,2074.2048339844,0.0,0.0,-1
2024-02-09,2152.3688964844,0.0,0.0,1
2024-02-13,2048.7951660156,0.0,0.0,-1
2024-02-19,2152.4682617188,0.0,0.0,1
2024-03-01,2238.1259765625,0.0,0.0,1
2024-03-12,2167.7534179688,0.0,0.0,-1
2024-03-22,2207.0092773438,0.0,0.0,1
2024-03-28,2270.28515625,0.0,0.0,1
2024-04-05,2220.9052734375,0.0,0.0,-1
2024-04-09,2284.1811523438,0.0,0.0,1
2024-04-15,2220.7563476562,0.0,0.0,-1
2024-04-23,2352.5187988281,0.0,0.0,1
2024-04-30,2393.7102050781,0.0,0.0,1
2024-05-03,2462.8918457031,0.0,0.0,1
2024-05-07,2402.9904785156,0.0,0.0,-1
2024-05-09,2336.1911621094,0.0,0.0,-1
2024-05-17,2405.6206054688,0.0,0.0,1
2024-05-27,2372.8662109375,0.0,0.0,-1
2024-05-30,2327.7543945312,0.0,0.0,-1
2024-06-04,2239.6149902344,0.0,0.0,-1
2024-06-06,2317.3820800781,0.0,0.0,1
2024-06-10,2428.5986328125,0.0,0.0,1
2024-06-24,2496.390625,0.0,0.0,1
2024-06-27,2617.9794921875,0.0,0.0,1
2024-07-01,2706.1186523438,0.0,0.0,1
2024-07-10,2781.3051757812,0.0,0.0,1
2024-07-19,2722.5952148438,0.0,0.0,-1
2024-07-22,2790.6354980469,0.0,0.0,1
2024-07-31,2756.0942382812,0.0,0.0,-1
2024-08-02,2686.6645507812,0.0,0.0,-1
2024-08-05,2592.8178710938,0.0,0.0,-1
2024-08-08,2535.4265136719,0.0,0.0,-1
2024-08-14,2503.2934570312,0.0,0.0,-1
2024-08-16,2590.9248046875,0.0,0.0,1
2024-08-21,2675.1186523438,0.0,0.0,1
2024-08-22,2745.1635742188,0.0,0.0,1
2024-08-29,2666.4997558594,0.0,0.0,-1
2024-09-04,2747.6545410156,0.0,0.0,1
2024-09-06,2683.0895996094,0.0,0.0,-1
2024-09-12,2747.1066894531,0.0,0.0,1
2024-09-18,2712.8312988281,0.0,0.0,-1
2024-09-20,2668.5424804688,0.0,0.0,-1
2024-09-24,2609.8061523438,0.0,0.0,-1
2024-09-26,2735.8974609375,0.0,0.0,1
2024-10-07,2710.6391601562,0.0,0.0,-1
2024-10-17,2696.0424804688,0.0,0.0,-1
2024-10-22,2645.7255859375,0.0,0.0,-1
2024-10-29,2676.2641601562,0.0,0.0,1
2024-11-04,2581.2102050781,0.0,0.0,-1
2024-11-05,2641.3413085938,0.0,0.0,1
2024-11-07,2553.4111328125,0.0,0.0,-1
2024-11-13,2493.8278808594,0.0,0.0,-1
2024-11-22,2589.2307128906,0.0,0.0,1
2024-11-28,2561.1330566406,0.0,0.0,-1
2024-12-02,2683.7868652344,0.0,0.0,1
2024-12-10,2645.6755371094,0.0,0.0,-1
2024-12-17,2590.2770996094,0.0,0.0,-1
2024-12-19,2529.8469238281,0.0,0.0,-1
2024-12-27,2471.3098144531,0.0,0.0,-1
2025-01-02,2534.7290039062,0.0,0.0,1
2025-01-06,2451.6315917969,0.0,0.0,-1
2025-01-10,2355.53125,0.0,0.0,-1
2025-01-13,2279.8562011719,0.0,0.0,-1
2025-01-16,2342.1794433594,0.0,0.0,1
2025-01-23,2452.2292480469,0.0,0.0,1
2025-01-28,2402.5600585938,0.0,0.0,-1
2025-01-30,2482.6684570312,0.0,0.0,1
2025-02-01,2431.9033203125,0.0,0.0,-1
2025-02-06,2489.9421386719,0.0,0.0,1
2025-02-14,2422.4875488281,0.0,0.0,-1
2025-02-24,2385.0236816406,0.0,0.0,-1
2025-02-28,2298.2890625,0.0,0.0,-1
2025-03-03,2368.8325195312,0.0,0.0,1
2025-03-19,2449.2897949219,0.0,0.0,1
2025-03-25,2560.13671875,0.0,0.0,1
2025-04-03,2642.2878417969,0.0,0.0,1
2025-04-07,2500.0056152344,0.0,0.0,-1
2025-04-08,2580.662109375,0.0,0.0,1
2025-04-11,2641.6401367188,0.0,0.0,1
2025-04-15,2708.74609375,0.0,0.0,1
2025-04-23,2675.8657226562,0.0,0.0,-1
2025-04-28,2743.419921875,0.0,0.0,1
2025-05-09,2625.25,0.0,0.0,-1
2025-05-12,2732.8583984375,0.0,0.0,1
2025-05-15,2814.5612792969,0.0,0.0,1
2025-05-19,2717.1157226562,0.0,0.0,-1
2025-05-23,2649.7604980469,0.0,0.0,-1
2025-05-28,2568.2573242188,0.0,0.0,-1
2025-06-09,2599.0451660156,0.0,0.0,1
2025-06-10,2698.1845703125,0.0,0.0,1
2025-06-13,2654.1447753906,0.0,0.0,-1
2025-06-23,2713.8276367188,0.0,0.0,1
2025-06-25,2821.5358886719,0.0,0.0,1
2025-07-03,2807.3874511719,0.0,0.0,-1
2025-07-11,2751.9887695312,0.0,0.0,-1
2025-07-22,2712.8312988281,0.0,0.0,-1
2025-08-04,2777.6953125,0.0,0.0,1
2025-08-08,2681.8439941406,0.0,0.0,-1
2025-08-11,2748.8999023438,0.0,0.0,1
2025-08-18,2845.8999023438,0.0,0.0,1
2025-08-22,2813.8000488281,0.0,0.0,-1
2025-09-16,2843.0,0.0,0.0,1
