event_time,close,sPos,sNeg,trigger
2023-10-27,1193.4071044922,0.0,0.0,1
2023-11-16,1233.244140625,0.0,0.0,1
2023-12-08,1283.1455078125,0.0,0.0,1
2023-12-14,1330.6486816406,0.0,0.0,1
2023-12-15,1402.796875,0.0,0.0,1
2023-12-20,1354.494140625,0.0,0.0,-1
2023-12-22,1375.8940429688,0.0,0.0,1
2024-01-03,1352.4246826172,0.0,0.0,-1
2024-01-09,1373.73046875,0.0,0.0,1
2024-01-12,1449.3591308594,0.0,0.0,1
2024-01-15,1493.9460449219,0.0,0.0,1
2024-01-23,1444.283203125,0.0,0.0,-1
2024-01-24,1494.2856445312,0.0,0.0,1
2024-02-06,1539.1691894531,0.0,0.0,1
2024-02-12,1580.1186523438,0.0,0.0,1
2024-02-21,1551.0653076172,0.0,0.0,-1
2024-02-22,1598.5555419922,0.0,0.0,1
2024-03-01,1558.458984375,0.0,0.0,-1
2024-03-14,1591.7779541016,0.0,0.0,1
2024-03-19,1515.8505859375,0.0,0.0,-1
2024-03-22,1476.7016601562,0.0,0.0,-1
2024-04-12,1442.2453613281,0.0,0.0,-1
2024-04-16,1400.34765625,0.0,0.0,-1
2024-04-23,1409.2105712891,0.0,0.0,1
2024-04-29,1315.1304931641,0.0,0.0,-1
2024-05-03,1277.8303222656,0.0,0.0,-1
2024-05-23,1300.2684326172,0.0,0.0,1
2024-06-03,1262.7073974609,0.0,0.0,-1
2024-06-05,1290.8061523438,0.0,0.0,1
2024-06-06,1342.48828125,0.0,0.0,1
2024-06-12,1382.1145019531,0.0,0.0,1
2024-07-02,1422.5091552734,0.0,0.0,1
2024-07-04,1462.4237060547,0.0,0.0,1
2024-07-12,1498.7835693359,0.0,0.0,1
2024-07-23,1547.2044677734,0.0,0.0,1
2024-07-26,1583.0205078125,0.0,0.0,1
2024-08-05,1512.4049072266,0.0,0.0,-1
2024-08-14,1574.1149902344,0.0,0.0,1
2024-08-16,1614.8677978516,0.0,0.0,1
2024-08-26,1664.4293212891,0.0,0.0,1
2024-08-29,1695.7926025391,0.0,0.0,1
2024-09-02,1748.8389892578,0.0,0.0,1
2024-09-06,1699.9067382812,0.0,0.0,-1
2024-09-12,1749.7586669922,0.0,0.0,1
2024-09-18,1700.2937011719,0.0,0.0,-1
2024-09-24,1718.7825927734,0.0,0.0,1
2024-10-01,1758.3737792969,0.0,0.0,1
2024-10-03,1721.6383056641,0.0,0.0,-1
2024-10-11,1780.783203125,0.0,0.0,1
2024-10-28,1823.7265625,0.0,0.0,1
2024-10-31,1720.7385253906,0.0,0.0,-1
2024-11-06,1791.2321777344,0.0,0.0,1
2024-11-12,1824.7983398438,0.0,0.0,1
2024-11-18,1787.9195556641,0.0,0.0,-1
2024-11-22,1849.6929931641,0.0,0.0,1
2024-11-28,1793.6680908203,0.0,0.0,-1
2024-12-03,1842.2391357422,0.0,0.0,1
2024-12-10,1886.6691894531,0.0,0.0,1
2024-12-13,1918.2866210938,0.0,0.0,1
2024-12-20,1862.310546875,0.0,0.0,-1
2025-01-02,1921.5993652344,0.0,0.0,1
2025-01-07,1866.7438964844,0.0,0.0,-1
2025-01-10,1943.9118652344,0.0,0.0,1
2025-01-14,1767.0197753906,0.0,0.0,-1
2025-01-22,1792.810546875,0.0,0.0,1
2025-01-27,1679.2700195312,0.0,0.0,-1
2025-02-04,1699.4769287109,0.0,0.0,1
2025-02-20,1655.3359375,0.0,0.0,-1
2025-02-24,1612.6662597656,0.0,0.0,-1
2025-02-28,1544.9835205078,0.0,0.0,-1
2025-03-04,1506.1884765625,0.0,0.0,-1
2025-03-05,1542.9235839844,0.0,0.0,1
2025-03-12,1511.1910400391,0.0,0.0,-1
2025-03-24,1573.5279541016,0.0,0.0,1
2025-03-28,1562.1003417969,0.0,0.0,-1
2025-04-01,1501.13671875,0.0,0.0,-1
2025-04-03,1442.0368652344,0.0,0.0,-1
2025-04-04,1394.9532470703,0.0,0.0,-1
2025-04-07,1347.8693847656,0.0,0.0,-1
2025-04-15,1399.2691650391,0.0,0.0,1
2025-04-21,1453.7097167969,0.0,0.0,1
2025-04-23,1563.5716552734,0.0,0.0,1
2025-05-12,1657.3176269531,0.0,0.0,1
2025-05-13,1607.0115966797,0.0,0.0,-1
2025-05-15,1682.8178710938,0.0,0.0,1
2025-05-19,1636.7784423828,0.0,0.0,-1
2025-05-26,1660.5919189453,0.0,0.0,1
2025-05-30,1623.8795166016,0.0,0.0,-1
2025-06-10,1655.1346435547,0.0,0.0,1
2025-06-11,1708.5166015625,0.0,0.0,1
2025-06-20,1726.3765869141,0.0,0.0,1
2025-06-23,1689.9617919922,0.0,0.0,-1
2025-06-30,1715.1644287109,0.0,0.0,1
2025-07-09,1660.9887695312,0.0,0.0,-1
2025-07-14,1607.2102050781,0.0,0.0,-1
2025-07-15,1554.2252197266,0.0,0.0,-1
2025-07-24,1507.1999511719,0.0,0.0,-1
2025-07-28,1466.0999755859,0.0,0.0,-1
2025-08-12,1499.0999755859,0.0,0.0,1
2025-08-25,1504.1999511719,0.0,0.0,1
2025-08-28,1449.8000488281,0.0,0.0,-1
2025-09-05,1419.0,0.0,0.0,-1
2025-09-10,1463.9000244141,0.0,0.0,1
2025-09-22,1439.9000244141,0.0,0.0,-1
2025-09-26,1395.3000488281,0.0,0.0,-1
2025-10-07,1433.4000244141,0.0,0.0,1
2025-10-09,1486.5,0.0,0.0,1
