event_time,close,sPos,sNeg,trigger
2023-09-05,-29016964293.86376,0.0,0.0,-1
2023-09-06,42767996645.0284,0.0,0.0,1
2023-09-07,26226452602.913025,0.0,0.0,-1
2023-09-13,36318997681.17352,0.0,0.0,1
2023-09-14,-18405550220.38101,0.0,0.0,-1
2023-09-15,137149833724.95695,0.0,0.0,1
2023-09-20,-114670314061.14957,0.0,0.0,-1
2023-09-21,-53851810558.08925,0.0,0.0,1
2023-09-25,29298693670.88178,0.0,0.0,1
2023-09-27,-28586898264.921497,0.0,0.0,-1
2023-09-28,-40142313866.51798,0.0,0.0,-1
2023-09-29,23284754280.00116,0.0,0.0,1
2023-10-03,-27971612251.636356,0.0,0.0,-1
2023-10-04,39783390785.744095,0.0,0.0,1
2023-10-09,-24841032178.80368,0.0,0.0,-1
2023-10-10,24142597214.679832,0.0,0.0,1
2023-10-13,-29050842620.77051,0.0,0.0,-1
2023-10-20,15288133517.881817,0.0,0.0,1
2023-10-23,-16038987300.31424,0.0,0.0,-1
2023-10-26,-38698293797.21396,0.0,0.0,-1
2023-10-27,22333703485.697357,0.0,0.0,1
2023-10-31,-22933331792.982952,0.0,0.0,-1
2023-11-02,31786263757.203278,0.0,0.0,1
2023-11-07,-29695994675.93397,0.0,0.0,-1
2023-11-08,22290183923.89554,0.0,0.0,1
2023-11-09,-15638319746.05796,0.0,0.0,-1
2023-11-10,9948888162.18534,0.0,0.0,1
2023-11-13,-14600936378.900845,0.0,0.0,-1
2023-11-15,29531935649.31063,0.0,0.0,1
2023-11-17,-16978546085.07604,0.0,0.0,-1
2023-11-20,13848767149.395515,0.0,0.0,1
2023-11-22,-20965632847.932,0.0,0.0,-1
2023-11-24,21455226346.587624,0.0,0.0,1
2023-11-28,-20727306227.654087,0.0,0.0,-1
2023-11-29,25261647518.133213,0.0,0.0,1
2023-11-30,-51555399891.686745,0.0,0.0,-1
2023-12-05,62769730210.8742,0.0,0.0,1
2023-12-06,29914912041.019543,0.0,0.0,-1
2023-12-08,42407476706.90643,0.0,0.0,1
2023-12-12,-46679667711.67584,0.0,0.0,-1
2023-12-13,-22779397419.86664,0.0,0.0,1
2023-12-14,27623421810.968994,0.0,0.0,1
2023-12-15,109461815130.86246,0.0,0.0,1
2023-12-29,77120311563.69812,0.0,0.0,-1
2024-01-08,-28732108702.21077,0.0,0.0,-1
2024-01-17,-98837979700.10484,0.0,0.0,-1
2024-01-18,-113928475105.5554,0.0,0.0,-1
2024-01-25,-163131915508.38214,0.0,0.0,-1
2024-02-01,85353813227.04184,0.0,0.0,1
2024-02-05,-57428857287.44727,0.0,0.0,-1
2024-02-08,-46146858582.40791,0.0,0.0,1
2024-02-13,53264489531.71693,0.0,0.0,1
2024-02-14,-60155315059.07719,0.0,0.0,-1
2024-02-20,65347982786.336334,0.0,0.0,1
2024-02-21,-31434478853.565254,0.0,0.0,-1
2024-02-26,36083517738.68313,0.0,0.0,1
2024-02-27,-21687916980.351578,0.0,0.0,-1
2024-02-29,-35598040479.00391,0.0,0.0,-1
2024-03-01,23655506024.509197,0.0,0.0,1
2024-03-11,-34338280943.9357,0.0,0.0,-1
2024-03-12,45443493656.63481,0.0,0.0,1
2024-03-14,-36320134110.827446,0.0,0.0,-1
2024-03-15,-99290941147.5596,0.0,0.0,-1
2024-03-26,-69731608869.73557,0.0,0.0,1
2024-03-27,42628255772.40614,0.0,0.0,1
2024-04-01,55945744863.12416,0.0,0.0,1
2024-04-23,-56031527161.03772,0.0,0.0,-1
2024-04-24,16146242885.030895,0.0,0.0,1
2024-04-26,-43346002189.15129,0.0,0.0,-1
2024-05-14,56775403194.81266,0.0,0.0,1
2024-05-23,39694801507.5867,0.0,0.0,-1
2024-05-24,23049489958.08657,0.0,0.0,-1
2024-05-28,42850071862.11075,0.0,0.0,1
2024-05-29,-25929784616.61797,0.0,0.0,-1
2024-05-30,25010732376.93524,0.0,0.0,1
2024-05-31,55493731952.77256,0.0,0.0,1
2024-06-04,-64949209626.43779,0.0,0.0,-1
2024-06-05,61959588231.72303,0.0,0.0,1
2024-06-06,35414999956.31296,0.0,0.0,-1
2024-06-10,-17147285886.570383,0.0,0.0,-1
2024-06-11,22613188968.32154,0.0,0.0,1
2024-06-13,18649111489.007965,0.0,0.0,-1
2024-06-19,73086057753.32948,0.0,0.0,1
2024-06-26,-39611625156.64086,0.0,0.0,-1
2024-07-02,34737114815.47904,0.0,0.0,1
2024-07-03,106593213136.22543,0.0,0.0,1
2024-07-05,-105029145028.65846,0.0,0.0,-1
2024-07-11,-63643499035.34914,0.0,0.0,1
2024-07-12,44486446835.051605,0.0,0.0,1
2024-07-16,-49416142644.37358,0.0,0.0,-1
2024-07-18,-26630706018.88896,0.0,0.0,1
2024-07-22,43178686436.31442,0.0,0.0,1
2024-07-23,-41164359506.54541,0.0,0.0,-1
2024-07-26,54865944987.17376,0.0,0.0,1
2024-07-29,-40038951785.77509,0.0,0.0,-1
2024-07-30,43141388770.15544,0.0,0.0,1
2024-07-31,29889278738.576164,0.0,0.0,-1
2024-08-02,35803693354.30805,0.0,0.0,1
2024-08-05,-32665697982.719864,0.0,0.0,-1
2024-08-07,33626492625.12832,0.0,0.0,1
2024-08-09,21506030059.55096,0.0,0.0,-1
2024-08-13,-42387526444.63997,0.0,0.0,-1
2024-08-14,25427952851.565174,0.0,0.0,1
2024-08-19,-15563145863.804688,0.0,0.0,-1
2024-08-20,24939649438.572952,0.0,0.0,1
2024-08-21,-37876525701.86488,0.0,0.0,-1
2024-08-29,39312979541.71875,0.0,0.0,1
2024-08-30,-356557917203.348,0.0,0.0,-1
2024-11-25,509153126640.4418,0.0,0.0,1
2024-11-26,-27017445527.998302,0.0,0.0,-1
2024-12-03,74091853959.56476,0.0,0.0,1
2024-12-04,40640357393.906494,0.0,0.0,-1
2024-12-31,-112082420050.86192,0.0,0.0,-1
2025-01-02,22659952138.42467,0.0,0.0,1
2025-01-06,-36640686828.99877,0.0,0.0,-1
2025-01-10,-52136262023.10304,0.0,0.0,-1
2025-01-27,-18178695015.025555,0.0,0.0,1
2025-01-30,56310402420.9258,0.0,0.0,1
2025-02-05,36094146636.617165,0.0,0.0,-1
2025-02-06,22825538338.767887,0.0,0.0,-1
2025-02-10,-34355794102.67752,0.0,0.0,-1
2025-02-17,10868557483.612349,0.0,0.0,1
2025-02-20,-11737473761.440722,0.0,0.0,-1
2025-02-21,12981203553.881445,0.0,0.0,1
2025-02-24,-16975013980.710938,0.0,0.0,-1
2025-02-25,19862986121.280502,0.0,0.0,1
2025-02-28,46194698228.27036,0.0,0.0,1
2025-03-11,-31891745385.04422,0.0,0.0,-1
2025-03-12,15721457490.70119,0.0,0.0,1
2025-03-20,31132004309.554825,0.0,0.0,1
2025-03-25,50149330772.73717,0.0,0.0,1
2025-04-01,-24653133122.88229,0.0,0.0,-1
2025-04-04,30108905589.302677,0.0,0.0,1
2025-04-07,-32665590942.46168,0.0,0.0,-1
2025-04-08,30774279754.125,0.0,0.0,1
2025-04-15,54547345323.11011,0.0,0.0,1
2025-04-21,32280833366.14398,0.0,0.0,-1
2025-04-22,44100481468.370544,0.0,0.0,1
2025-04-23,-28767442458.86112,0.0,0.0,-1
2025-04-28,13074202723.874355,0.0,0.0,1
