event_time,close,sPos,sNeg,trigger
2023-09-15,2967512719.6721134,0.0,0.0,1
2023-09-21,-3304588832.66356,0.0,0.0,-1
2023-10-10,1306949196.5500605,0.0,0.0,1
2023-10-11,3052622573.3678937,0.0,0.0,1
2023-10-19,4955029715.514636,0.0,0.0,1
2023-10-23,-2308098492.1733704,0.0,0.0,-1
2023-11-03,1193843191.6591797,0.0,0.0,1
2023-11-06,2528203016.791281,0.0,0.0,1
2023-11-20,5093893386.623298,0.0,0.0,1
2023-11-30,10428354321.459888,0.0,0.0,1
2023-12-15,11837363244.261711,0.0,0.0,1
2023-12-19,-4659663521.336885,0.0,0.0,-1
2023-12-26,5857983211.957769,0.0,0.0,1
2023-12-28,4111467186.5580025,0.0,0.0,-1
2024-01-02,-4956638946.118421,0.0,0.0,-1
2024-01-03,-3357802365.9668417,0.0,0.0,1
2024-01-09,5826196170.314965,0.0,0.0,1
2024-01-11,10684065327.658514,0.0,0.0,1
2024-01-19,7835626933.703542,0.0,0.0,-1
2024-01-23,5836149545.214286,0.0,0.0,-1
2024-02-08,9663238134.939508,0.0,0.0,1
2024-02-09,3308741527.40625,0.0,0.0,-1
2024-02-16,7981672404.232828,0.0,0.0,1
2024-02-20,-7438290932.1661,0.0,0.0,-1
2024-02-22,-10993839802.18947,0.0,0.0,-1
2024-03-07,8957444725.494144,0.0,0.0,1
2024-03-11,2870904018.4277344,0.0,0.0,-1
2024-03-15,-6836461537.911047,0.0,0.0,-1
2024-03-20,-4494597466.815409,0.0,0.0,1
2024-03-21,2732123051.738281,0.0,0.0,1
2024-03-22,4031085460.49556,0.0,0.0,1
2024-03-27,-5481208761.509766,0.0,0.0,-1
2024-03-28,4895187349.502496,0.0,0.0,1
2024-04-02,-8808108564.17132,0.0,0.0,-1
2024-04-08,5732925349.228552,0.0,0.0,1
2024-04-09,-4080377266.676711,0.0,0.0,-1
2024-04-15,-2696545642.300781,0.0,0.0,1
2024-04-18,-4474458305.409124,0.0,0.0,-1
2024-04-19,-2709677772.9902344,0.0,0.0,1
2024-04-22,2548870690.3930974,0.0,0.0,1
2024-04-25,4735316976.669001,0.0,0.0,1
2024-04-29,-4642416096.513672,0.0,0.0,-1
2024-04-30,3588931016.501912,0.0,0.0,1
2024-05-06,-2546748573.712873,0.0,0.0,-1
2024-05-08,5782982768.552734,0.0,0.0,1
2024-05-09,16318339869.304508,0.0,0.0,1
2024-05-13,9986454623.32718,0.0,0.0,-1
2024-05-14,6424490878.178778,0.0,0.0,-1
2024-05-15,4259409055.93022,0.0,0.0,-1
2024-05-16,6360198196.933594,0.0,0.0,1
2024-05-21,-5276663149.140618,0.0,0.0,-1
2024-05-27,-2932652785.63184,0.0,0.0,1
2024-05-28,3596435159.0625,0.0,0.0,1
2024-05-30,-4249745403.134743,0.0,0.0,-1
2024-05-31,-9304439087.426851,0.0,0.0,-1
2024-06-04,14593689763.658594,0.0,0.0,1
2024-06-05,11112265059.63564,0.0,0.0,-1
2024-06-06,-7909386462.158128,0.0,0.0,-1
2024-06-10,8950811906.378824,0.0,0.0,1
2024-06-11,5603857424.918508,0.0,0.0,-1
2024-06-12,3692810566.722656,0.0,0.0,-1
2024-06-14,-3174293497.4340534,0.0,0.0,-1
2024-06-20,-4412800070.389118,0.0,0.0,-1
2024-06-24,2450577515.6338124,0.0,0.0,1
2024-06-25,-5879832697.464844,0.0,0.0,-1
2024-06-28,5446957490.088816,0.0,0.0,1
2024-07-04,-5498343547.240791,0.0,0.0,-1
2024-07-05,-3252064419.1289062,0.0,0.0,1
2024-07-12,2662501945.247119,0.0,0.0,1
2024-07-15,1334092835.0859375,0.0,0.0,-1
2024-07-16,-1789686873.2851562,0.0,0.0,-1
2024-07-18,-4417820177.92387,0.0,0.0,-1
2024-07-23,5026364924.527298,0.0,0.0,1
2024-07-24,-3739994324.769079,0.0,0.0,-1
2024-07-31,4976788411.37647,0.0,0.0,1
2024-08-01,-4481605310.888628,0.0,0.0,-1
2024-08-06,-6978499030.616741,0.0,0.0,-1
2024-08-09,3058373540.837865,0.0,0.0,1
2024-08-13,-5257260721.785156,0.0,0.0,-1
2024-08-14,-10651765897.919325,0.0,0.0,-1
2024-08-19,6913505072.480017,0.0,0.0,1
2024-08-20,4853092883.5019045,0.0,0.0,-1
2024-08-22,7014321697.186005,0.0,0.0,1
2024-08-23,3920868592.452111,0.0,0.0,-1
2024-08-26,-2840182153.3544645,0.0,0.0,-1
2024-08-27,3460523120.061978,0.0,0.0,1
2024-08-28,-3514716739.698696,0.0,0.0,-1
2024-08-29,2668808932.861328,0.0,0.0,1
2024-08-30,8230595986.61418,0.0,0.0,1
2024-09-02,5655157232.995553,0.0,0.0,-1
2024-09-03,4373200071.474609,0.0,0.0,-1
2024-09-04,2908831530.99905,0.0,0.0,-1
2024-09-05,4504869042.555217,0.0,0.0,1
2024-09-09,2594484450.125953,0.0,0.0,-1
2024-09-10,-4227712157.4609375,0.0,0.0,-1
2024-09-12,4772962402.576172,0.0,0.0,1
2024-09-16,-3702950751.858904,0.0,0.0,-1
2024-09-17,7165051260.5625,0.0,0.0,1
2024-09-20,8815545419.02832,0.0,0.0,1
2024-09-23,5278254443.730514,0.0,0.0,-1
2024-09-24,-3715669091.362336,0.0,0.0,-1
2024-09-26,-9303527462.41219,0.0,0.0,-1
2024-09-27,-4111655030.661657,0.0,0.0,1
2024-09-30,-7392934545.438477,0.0,0.0,-1
2024-10-07,-3609838048.2553368,0.0,0.0,1
2024-10-09,4862773225.084008,0.0,0.0,1
2024-10-10,-3037610402.5220017,0.0,0.0,-1
2024-10-14,3768386857.2041016,0.0,0.0,1
2024-10-15,-1602541101.3701172,0.0,0.0,-1
2024-10-17,-9765075257.119532,0.0,0.0,-1
2024-10-25,-8201814175.943762,0.0,0.0,1
2024-10-29,-6377286709.009697,0.0,0.0,1
2024-10-30,4903398556.494193,0.0,0.0,1
2024-11-13,-9522511361.210545,0.0,0.0,-1
2024-11-14,3935436750.3759766,0.0,0.0,1
2024-11-18,8112117585.919344,0.0,0.0,1
2024-12-12,-10030692122.761154,0.0,0.0,-1
2024-12-13,2427982188.5712614,0.0,0.0,1
2024-12-17,-6951375888.464844,0.0,0.0,-1
2024-12-27,-3788268353.166992,0.0,0.0,1
2024-12-30,-7320810942.456253,0.0,0.0,-1
2025-01-13,-3115409599.142578,0.0,0.0,1
2025-01-30,6324069976.383022,0.0,0.0,1
2025-01-31,4403479042.397513,0.0,0.0,-1
2025-03-03,-10375648860.145927,0.0,0.0,-1
2025-03-04,-3278711876.6289062,0.0,0.0,1
2025-03-21,11011682373.730171,0.0,0.0,1
2025-03-24,-2369392897.356917,0.0,0.0,-1
2025-03-27,10325885795.292036,0.0,0.0,1
2025-04-24,7092677331.263025,0.0,0.0,-1
2025-04-25,-2504792270.846224,0.0,0.0,-1
2025-05-13,6498047615.312805,0.0,0.0,1
2025-05-14,4807190508.816621,0.0,0.0,-1
2025-05-15,11201115687.623892,0.0,0.0,1
2025-08-04,17391798268.25596,0.0,0.0,1
2025-08-05,3653376377.0654297,0.0,0.0,-1
2025-08-13,10530642073.154268,0.0,0.0,1
2025-08-18,16671105825.290058,0.0,0.0,1
2025-08-28,21482423735.293514,0.0,0.0,1
2025-09-03,8113337489.199219,0.0,0.0,-1
2025-09-04,6354066354.0,0.0,0.0,-1
