event_time,close,sPos,sNeg,trigger
2023-09-15,2384.6879882812,0.0,0.0,-1
2023-10-11,2468.4035644531,0.0,0.0,1
2023-10-20,2409.2619628906,0.0,0.0,-1
2023-11-08,2450.4704589844,0.0,0.0,1
2023-11-30,2475.9541015625,0.0,0.0,1
2023-12-07,2449.4006347656,0.0,0.0,-1
2023-12-22,2505.1828613281,0.0,0.0,1
2023-12-29,2591.1169433594,0.0,0.0,1
2024-01-04,2521.6691894531,0.0,0.0,-1
2024-01-11,2466.8598632812,0.0,0.0,-1
2024-01-23,2310.6020507812,0.0,0.0,-1
2024-01-24,2374.8947753906,0.0,0.0,1
2024-02-05,2353.3505859375,0.0,0.0,-1
2024-02-15,2286.5773925781,0.0,0.0,-1
2024-02-28,2355.3444824219,0.0,0.0,1
2024-03-13,2249.373046875,0.0,0.0,-1
2024-03-19,2204.9709472656,0.0,0.0,-1
2024-04-15,2134.0642089844,0.0,0.0,-1
2024-04-23,2200.8859863281,0.0,0.0,1
2024-05-07,2314.3466796875,0.0,0.0,1
2024-05-21,2247.5249023438,0.0,0.0,-1
2024-05-23,2317.3620605469,0.0,0.0,1
2024-05-31,2265.3732910156,0.0,0.0,-1
2024-06-04,2428.05078125,0.0,0.0,1
2024-06-05,2531.5903320312,0.0,0.0,1
2024-06-12,2459.5646972656,0.0,0.0,-1
2024-06-21,2397.6887207031,0.0,0.0,-1
2024-07-01,2460.3491210938,0.0,0.0,1
2024-07-05,2501.5004882812,0.0,0.0,1
2024-07-10,2563.8171386719,0.0,0.0,1
2024-07-16,2640.4235839844,0.0,0.0,1
2024-07-23,2716.9321289062,0.0,0.0,1
2024-07-30,2643.3208007812,0.0,0.0,-1
2024-08-21,2741.3381347656,0.0,0.0,1
2024-09-04,2790.494140625,0.0,0.0,1
2024-09-09,2869.6052246094,0.0,0.0,1
2024-09-16,2815.8823242188,0.0,0.0,-1
2024-09-20,2924.408203125,0.0,0.0,1
2024-09-24,2897.8415527344,0.0,0.0,-1
2024-10-01,2871.5202636719,0.0,0.0,-1
2024-10-04,2797.8601074219,0.0,0.0,-1
2024-10-09,2719.4855957031,0.0,0.0,-1
2024-10-18,2668.5620117188,0.0,0.0,-1
2024-10-24,2460.3491210938,0.0,0.0,-1
2024-10-28,2529.7858886719,0.0,0.0,1
2024-11-07,2449.7380371094,0.0,0.0,-1
2024-11-14,2364.3361816406,0.0,0.0,-1
2024-11-22,2419.8029785156,0.0,0.0,1
2024-12-09,2375.7661132812,0.0,0.0,-1
2024-12-20,2309.6115722656,0.0,0.0,-1
2025-01-03,2381.2087402344,0.0,0.0,1
2025-01-10,2416.6362304688,0.0,0.0,1
2025-01-14,2343.3073730469,0.0,0.0,-1
2025-01-27,2367.9482421875,0.0,0.0,1
2025-01-31,2443.1079101562,0.0,0.0,1
2025-02-03,2416.537109375,0.0,0.0,-1
2025-02-06,2348.0078125,0.0,0.0,-1
2025-02-18,2272.1062011719,0.0,0.0,-1
2025-02-28,2167.4565429688,0.0,0.0,-1
2025-03-06,2195.8579101562,0.0,0.0,1
2025-03-13,2152.1674804688,0.0,0.0,-1
2025-03-20,2219.0639648438,0.0,0.0,1
2025-04-09,2325.5441894531,0.0,0.0,1
2025-04-23,2398.576171875,0.0,0.0,1
2025-04-24,2301.1013183594,0.0,0.0,-1
2025-05-06,2357.0131835938,0.0,0.0,1
2025-05-26,2369.1853027344,0.0,0.0,1
2025-06-12,2308.4240722656,0.0,0.0,-1
2025-07-04,2339.3000488281,0.0,0.0,1
2025-07-07,2410.3999023438,0.0,0.0,1
2025-07-11,2519.6000976562,0.0,0.0,1
2025-07-21,2464.8999023438,0.0,0.0,-1
2025-07-25,2415.3999023438,0.0,0.0,-1
2025-07-31,2521.1999511719,0.0,0.0,1
2025-08-12,2483.8000488281,0.0,0.0,-1
2025-08-18,2568.1000976562,0.0,0.0,1
2025-08-20,2669.8000488281,0.0,0.0,1
2025-08-26,2692.6000976562,0.0,0.0,1
