event_time,close,sPos,sNeg,trigger
2023-10-25,901.3260498047,0.0,0.0,-1
2023-11-06,930.2027587891,0.0,0.0,1
2023-12-04,975.2149658203,0.0,0.0,1
2023-12-14,1016.9803466797,0.0,0.0,1
2023-12-22,978.2649536133,0.0,0.0,-1
2024-01-23,1012.4545898438,0.0,0.0,1
2024-02-08,973.3455810547,0.0,0.0,-1
2024-02-16,1006.7481079102,0.0,0.0,1
2024-02-22,1045.5618896484,0.0,0.0,1
2024-03-01,1069.3715820312,0.0,0.0,1
2024-04-16,1049.841796875,0.0,0.0,-1
2024-04-23,1072.6676025391,0.0,0.0,1
2024-04-29,1141.4403076172,0.0,0.0,1
2024-05-08,1104.8895263672,0.0,0.0,-1
2024-06-03,1141.2927246094,0.0,0.0,1
2024-06-04,1054.1706542969,0.0,0.0,-1
2024-06-05,1090.7708740234,0.0,0.0,1
2024-06-19,1125.9934082031,0.0,0.0,1
2024-06-25,1178.6306152344,0.0,0.0,1
2024-07-04,1213.1154785156,0.0,0.0,1
2024-07-25,1178.5815429688,0.0,0.0,-1
2024-08-05,1153.689453125,0.0,0.0,-1
2024-08-22,1181.9797363281,0.0,0.0,1
2024-08-27,1216.9598388672,0.0,0.0,1
2024-09-06,1198.8991699219,0.0,0.0,-1
2024-09-12,1242.5623779297,0.0,0.0,1
2024-09-18,1278.4851074219,0.0,0.0,1
2024-09-20,1328.2014160156,0.0,0.0,1
2024-09-30,1263.2526855469,0.0,0.0,-1
2024-10-04,1230.2572021484,0.0,0.0,-1
2024-10-18,1254.8177490234,0.0,0.0,1
2024-10-28,1282.9506835938,0.0,0.0,1
2024-10-29,1321.6519775391,0.0,0.0,1
2024-10-31,1282.3552246094,0.0,0.0,-1
2024-11-08,1249.2109375,0.0,0.0,-1
2024-11-25,1290.9886474609,0.0,0.0,1
2024-12-05,1326.2664794922,0.0,0.0,1
2024-12-19,1277.0462646484,0.0,0.0,-1
2025-01-03,1255.3635253906,0.0,0.0,-1
2025-01-13,1220.3338623047,0.0,0.0,-1
2025-01-21,1186.9910888672,0.0,0.0,-1
2025-01-28,1237.3525390625,0.0,0.0,1
2025-02-21,1223.5092773438,0.0,0.0,-1
2025-03-11,1235.8640136719,0.0,0.0,1
2025-03-19,1303.0455322266,0.0,0.0,1
2025-03-24,1347.7507324219,0.0,0.0,1
2025-04-01,1308.3546142578,0.0,0.0,-1
2025-04-07,1277.6912841797,0.0,0.0,-1
2025-04-15,1339.8614501953,0.0,0.0,1
2025-04-17,1395.9288330078,0.0,0.0,1
2025-05-09,1378.2652587891,0.0,0.0,-1
2025-05-12,1437.4088134766,0.0,0.0,1
2025-05-26,1449.4161376953,0.0,0.0,1
2025-06-10,1412.0048828125,0.0,0.0,-1
2025-06-27,1451.00390625,0.0,0.0,1
2025-07-02,1416.8674316406,0.0,0.0,-1
2025-07-21,1454.5764160156,0.0,0.0,1
2025-08-05,1433.3402099609,0.0,0.0,-1
2025-08-28,1399.0999755859,0.0,0.0,-1
2025-09-24,1382.6999511719,0.0,0.0,-1
2025-09-29,1348.0999755859,0.0,0.0,-1
