event_time,close,sPos,sNeg,trigger
2023-09-15,21446533916.73393,0.0,0.0,1
2023-09-20,-11548848957.410496,0.0,0.0,-1
2023-09-29,-8268080631.856369,0.0,0.0,1
2023-10-06,15798526881.755276,0.0,0.0,1
2023-10-11,-7163326810.699297,0.0,0.0,-1
2023-10-12,-15413190401.346125,0.0,0.0,-1
2023-10-13,-24412833804.10931,0.0,0.0,-1
2023-10-25,-21091522022.81595,0.0,0.0,1
2023-10-26,-8308972893.502851,0.0,0.0,1
2023-11-16,19785632164.782803,0.0,0.0,1
2023-11-17,-6773560591.753968,0.0,0.0,-1
2023-12-13,-27477561018.2421,0.0,0.0,-1
2023-12-14,18028327882.234287,0.0,0.0,1
2024-01-18,48919093756.14761,0.0,0.0,1
2024-01-19,7214180749.306471,0.0,0.0,-1
2024-01-29,-21346187911.987183,0.0,0.0,-1
2024-02-06,13383393206.152184,0.0,0.0,1
2024-02-07,-7512809937.431512,0.0,0.0,-1
2024-02-09,-17012041983.58268,0.0,0.0,-1
2024-02-15,11864551648.615717,0.0,0.0,1
2024-02-16,7984272721.849915,0.0,0.0,-1
2024-02-20,-12036214301.843904,0.0,0.0,-1
2024-02-21,-6844617032.654624,0.0,0.0,1
2024-02-22,9441761850.293407,0.0,0.0,1
2024-02-23,-8661716074.933727,0.0,0.0,-1
2024-02-28,8933814856.493584,0.0,0.0,1
2024-02-29,12575640095.987844,0.0,0.0,1
2024-03-01,-10160686858.165155,0.0,0.0,-1
2024-03-06,9984494373.00895,0.0,0.0,1
2024-03-07,-9865311913.637896,0.0,0.0,-1
2024-03-12,7154947139.573615,0.0,0.0,1
2024-03-13,-8813048034.711142,0.0,0.0,-1
2024-03-14,13992937817.512745,0.0,0.0,1
2024-03-15,-18551923796.923367,0.0,0.0,-1
2024-03-20,-7114175665.971987,0.0,0.0,1
2024-03-21,-16534338594.723633,0.0,0.0,-1
2024-03-22,-21285231559.7088,0.0,0.0,-1
2024-03-26,-11983612642.47264,0.0,0.0,1
2024-03-28,18001433411.180576,0.0,0.0,1
2024-04-01,-9459866945.162596,0.0,0.0,-1
2024-04-04,15988978833.571968,0.0,0.0,1
2024-04-08,-16597925032.325788,0.0,0.0,-1
2024-04-09,13542052284.549911,0.0,0.0,1
2024-04-10,9770090068.595837,0.0,0.0,-1
2024-04-12,-17522001792.76187,0.0,0.0,-1
2024-04-15,-12041174919.49002,0.0,0.0,1
2024-04-16,-21992762098.43164,0.0,0.0,-1
2024-04-18,30164380256.08265,0.0,0.0,1
2024-04-19,-27953396896.398087,0.0,0.0,-1
2024-04-23,14804164335.899023,0.0,0.0,1
2024-04-24,-5870795683.931915,0.0,0.0,-1
2024-04-25,12569469082.425684,0.0,0.0,1
2024-04-26,-11085767002.419333,0.0,0.0,-1
2024-04-29,6973755181.660704,0.0,0.0,1
2024-04-30,-9473043020.70841,0.0,0.0,-1
2024-05-02,-13701814360.972656,0.0,0.0,-1
2024-05-03,12039538128.763706,0.0,0.0,1
2024-05-07,8423387072.960753,0.0,0.0,-1
2024-05-08,-8555348058.903896,0.0,0.0,-1
2024-05-09,8425922096.884781,0.0,0.0,1
2024-05-10,-12023789274.761757,0.0,0.0,-1
2024-05-15,-6276518895.001965,0.0,0.0,1
2024-05-16,12922866554.816433,0.0,0.0,1
2024-05-17,-10473227041.906456,0.0,0.0,-1
2024-05-22,10032484422.96927,0.0,0.0,1
2024-05-24,-7433932506.27095,0.0,0.0,-1
2024-05-27,8235000470.022731,0.0,0.0,1
2024-05-28,-8725828004.224133,0.0,0.0,-1
2024-05-30,-13260708188.489012,0.0,0.0,-1
2024-05-31,-50911260818.32598,0.0,0.0,-1
2024-06-04,-33180807375.953545,0.0,0.0,1
2024-06-05,12874909692.09375,0.0,0.0,1
2024-06-06,18174489911.784985,0.0,0.0,1
2024-06-07,35999697395.3648,0.0,0.0,1
2024-06-12,-30886878376.511223,0.0,0.0,-1
2024-06-13,10644463043.468351,0.0,0.0,1
2024-06-21,25856337860.81173,0.0,0.0,1
2024-07-03,11535639149.922394,0.0,0.0,-1
2024-07-12,29622704035.534863,0.0,0.0,1
2024-07-15,-11554742694.78908,0.0,0.0,-1
2024-07-18,30871373680.04652,0.0,0.0,1
2024-07-19,52128827087.66906,0.0,0.0,1
2024-08-08,-44965522855.63667,0.0,0.0,-1
2024-08-12,14915082481.647057,0.0,0.0,1
2024-08-14,20565507818.09826,0.0,0.0,1
2024-08-23,-9106886153.58087,0.0,0.0,-1
2024-08-27,13917547385.464092,0.0,0.0,1
2024-08-29,-13625759166.52011,0.0,0.0,-1
2024-08-30,25521566457.13165,0.0,0.0,1
2024-09-09,-19133080540.01556,0.0,0.0,-1
2024-09-10,12883206454.394444,0.0,0.0,1
2024-09-20,38668014285.17734,0.0,0.0,1
2024-09-26,15447580591.11827,0.0,0.0,-1
2024-09-27,27717579084.94025,0.0,0.0,1
2024-10-15,48372912027.940834,0.0,0.0,1
2024-10-21,-17860492648.2376,0.0,0.0,-1
2024-10-25,-13365150190.43304,0.0,0.0,1
