event_time,close,sPos,sNeg,trigger
2023-08-31,233.1364593506,0.0,0.0,1
2023-09-04,253.0553894043,0.0,0.0,1
2023-09-13,239.8260192871,0.0,0.0,-1
2023-09-20,229.2924499512,0.0,0.0,-1
2023-10-18,215.6636962891,0.0,0.0,-1
2023-10-27,222.552947998,0.0,0.0,1
2023-11-30,229.0428314209,0.0,0.0,1
2023-12-05,242.1224365234,0.0,0.0,1
2023-12-20,231.7386474609,0.0,0.0,-1
2024-01-11,251.1583557129,0.0,0.0,1
2024-01-15,266.3346862793,0.0,0.0,1
2024-01-16,248.4625701904,0.0,0.0,-1
2024-02-02,253.4048461914,0.0,0.0,1
2024-02-05,288.6499023438,0.0,0.0,1
2024-02-06,270.5281677246,0.0,0.0,-1
2024-02-20,281.2614135742,0.0,0.0,1
2024-02-22,302.3784790039,0.0,0.0,1
2024-02-23,333.4300842285,0.0,0.0,1
2024-02-27,318.004119873,0.0,0.0,-1
2024-03-04,322.0977478027,0.0,0.0,1
2024-03-11,355.096282959,0.0,0.0,1
2024-03-13,327.6890258789,0.0,0.0,-1
2024-03-15,344.2132568359,0.0,0.0,1
2024-03-20,336.9745483398,0.0,0.0,-1
2024-03-27,350.1539916992,0.0,0.0,1
2024-04-05,372.6189575195,0.0,0.0,1
2024-04-15,353.7483520508,0.0,0.0,-1
2024-04-18,377.8108520508,0.0,0.0,1
2024-04-23,387.3460083008,0.0,0.0,1
2024-05-06,369.6735534668,0.0,0.0,-1
2024-05-07,355.6953430176,0.0,0.0,-1
2024-05-13,340.8185424805,0.0,0.0,-1
2024-05-16,354.4971923828,0.0,0.0,1
2024-05-29,348.6563415527,0.0,0.0,-1
2024-06-04,332.431640625,0.0,0.0,-1
2024-06-06,348.8559875488,0.0,0.0,1
2024-06-18,362.6345214844,0.0,0.0,1
2024-07-02,350.4535217285,0.0,0.0,-1
2024-07-18,336.4753112793,0.0,0.0,-1
2024-08-02,325.7420654297,0.0,0.0,-1
2024-08-06,310.8652648926,0.0,0.0,-1
2024-08-07,329.2366027832,0.0,0.0,1
2024-08-20,333.6297302246,0.0,0.0,1
2024-09-02,344.3630065918,0.0,0.0,1
2024-09-06,336.3255615234,0.0,0.0,-1
2024-09-10,350.9527282715,0.0,0.0,1
2024-09-27,358.5908203125,0.0,0.0,1
2024-10-03,345.061920166,0.0,0.0,-1
2024-10-17,328.6375427246,0.0,0.0,-1
2024-10-22,313.5610351562,0.0,0.0,-1
2024-10-29,325.6921386719,0.0,0.0,1
2024-11-11,311.514251709,0.0,0.0,-1
2024-11-14,317.8543701172,0.0,0.0,1
2024-11-27,328.3879089355,0.0,0.0,1
2024-12-03,339.820098877,0.0,0.0,1
2024-12-18,324.0946350098,0.0,0.0,-1
2024-12-20,303.8262023926,0.0,0.0,-1
2025-01-09,288.7996520996,0.0,0.0,-1
2025-01-13,265.7356262207,0.0,0.0,-1
2025-01-21,259.6950378418,0.0,0.0,-1
2025-01-24,244.0694122314,0.0,0.0,-1
2025-02-05,249.431060791,0.0,0.0,1
2025-02-11,235.5726623535,0.0,0.0,-1
2025-02-14,221.9439086914,0.0,0.0,-1
2025-02-20,234.9037017822,0.0,0.0,1
2025-02-27,221.3548278809,0.0,0.0,-1
2025-02-28,207.2867584229,0.0,0.0,-1
2025-03-05,216.7619934082,0.0,0.0,1
2025-03-20,231.3292694092,0.0,0.0,1
2025-04-07,213.1875610352,0.0,0.0,-1
2025-04-11,229.6618804932,0.0,0.0,1
2025-04-17,246.0862579346,0.0,0.0,1
2025-04-30,260.0145568848,0.0,0.0,1
2025-05-12,262.4906616211,0.0,0.0,1
2025-05-16,276.5687255859,0.0,0.0,1
2025-05-27,290.9462890625,0.0,0.0,1
2025-06-09,303.7763061523,0.0,0.0,1
2025-06-17,289.3487854004,0.0,0.0,-1
2025-06-24,300.3316650391,0.0,0.0,1
2025-06-27,322.9464111328,0.0,0.0,1
2025-07-17,317.6546630859,0.0,0.0,-1
2025-07-29,320.6000671387,0.0,0.0,1
2025-08-04,333.3801269531,0.0,0.0,1
2025-08-25,319.700012207,0.0,0.0,-1
