event_time,close,sPos,sNeg,trigger
2023-08-25,767.1406860352,0.0,0.0,-1
2023-09-01,800.1322021484,0.0,0.0,1
2023-09-20,780.6349487305,0.0,0.0,-1
2023-09-28,762.1298828125,0.0,0.0,-1
2023-10-04,750.7192382812,0.0,0.0,-1
2023-10-11,771.2088012695,0.0,0.0,1
2023-10-20,763.4197998047,0.0,0.0,-1
2023-10-23,743.1287231445,0.0,0.0,-1
2023-10-26,723.0361328125,0.0,0.0,-1
2023-11-03,740.2512817383,0.0,0.0,1
2023-11-15,766.842956543,0.0,0.0,1
2023-11-24,775.9714355469,0.0,0.0,1
2023-11-30,794.8733520508,0.0,0.0,1
2023-12-05,815.313293457,0.0,0.0,1
2023-12-08,832.8260498047,0.0,0.0,1
2023-12-15,860.4596557617,0.0,0.0,1
2023-12-20,835.7035522461,0.0,0.0,-1
2023-12-27,869.0920410156,0.0,0.0,1
2024-01-03,831.1393432617,0.0,0.0,-1
2024-01-17,806.3336791992,0.0,0.0,-1
2024-01-23,784.2565917969,0.0,0.0,-1
2024-01-24,805.8871459961,0.0,0.0,1
2024-02-02,817.1488647461,0.0,0.0,1
2024-02-07,830.0974731445,0.0,0.0,1
2024-02-09,805.440612793,0.0,0.0,-1
2024-02-26,802.4639282227,0.0,0.0,-1
2024-02-28,792.3928222656,0.0,0.0,-1
2024-03-01,829.7006225586,0.0,0.0,1
2024-03-06,806.5817260742,0.0,0.0,-1
2024-03-13,786.7867431641,0.0,0.0,-1
2024-03-18,798.1477661133,0.0,0.0,1
2024-03-22,818.3891601562,0.0,0.0,1
2024-04-01,865.1727294922,0.0,0.0,1
2024-04-05,850.4381103516,0.0,0.0,-1
2024-04-08,869.6377563477,0.0,0.0,1
2024-04-15,853.7620849609,0.0,0.0,-1
2024-04-19,858.0782470703,0.0,0.0,1
2024-04-24,875.8391723633,0.0,0.0,1
2024-04-25,898.7595825195,0.0,0.0,1
2024-04-26,880.3538208008,0.0,0.0,-1
2024-05-03,867.4052124023,0.0,0.0,-1
2024-05-07,850.6861572266,0.0,0.0,-1
2024-05-09,828.0634155273,0.0,0.0,-1
2024-05-10,846.9653320312,0.0,0.0,1
2024-05-14,874.6484985352,0.0,0.0,1
2024-05-17,900.3967895508,0.0,0.0,1
2024-05-27,894.9395751953,0.0,0.0,-1
2024-05-30,876.8314208984,0.0,0.0,-1
2024-06-03,908.1857299805,0.0,0.0,1
2024-06-04,835.306640625,0.0,0.0,-1
2024-06-05,871.5726318359,0.0,0.0,1
2024-06-07,905.0603027344,0.0,0.0,1
2024-06-20,922.4242553711,0.0,0.0,1
2024-06-27,935.8193359375,0.0,0.0,1
2024-07-03,943.0130004883,0.0,0.0,1
2024-07-10,925.4000244141,0.0,0.0,-1
2024-07-19,889.450012207,0.0,0.0,-1
2024-07-25,874.5,0.0,0.0,-1
