event_time,close,sPos,sNeg,trigger
2023-09-13,1820.5034179688,0.0,0.0,1
2023-09-21,1751.7581787109,0.0,0.0,-1
2023-10-03,1723.1726074219,0.0,0.0,-1
2023-10-26,1691.0446777344,0.0,0.0,-1
2023-11-07,1747.3181152344,0.0,0.0,1
2023-12-04,1814.4670410156,0.0,0.0,1
2023-12-26,1882.6136474609,0.0,0.0,1
2024-01-02,1860.8626708984,0.0,0.0,-1
2024-01-17,1775.6544189453,0.0,0.0,-1
2024-01-29,1818.8072509766,0.0,0.0,1
2024-02-08,1725.8165283203,0.0,0.0,-1
2024-02-20,1758.54296875,0.0,0.0,1
2024-02-26,1702.4691162109,0.0,0.0,-1
2024-03-06,1755.7990722656,0.0,0.0,1
2024-03-22,1772.4117431641,0.0,0.0,1
2024-04-03,1727.2633056641,0.0,0.0,-1
2024-04-05,1781.1419677734,0.0,0.0,1
2024-04-24,1838.6625976562,0.0,0.0,1
2024-04-25,1638.7623291016,0.0,0.0,-1
2024-05-02,1572.1123046875,0.0,0.0,-1
2024-05-06,1620.6531982422,0.0,0.0,1
2024-05-17,1692.7409667969,0.0,0.0,1
2024-06-04,1634.2724609375,0.0,0.0,-1
2024-06-05,1714.2425537109,0.0,0.0,1
2024-06-21,1771.6634521484,0.0,0.0,1
2024-06-27,1826.4400634766,0.0,0.0,1
2024-07-02,1765.626953125,0.0,0.0,-1
2024-07-04,1829.7326660156,0.0,0.0,1
2024-07-22,1755.5260009766,0.0,0.0,-1
2024-07-26,1811.7611083984,0.0,0.0,1
2024-08-13,1750.0323486328,0.0,0.0,-1
2024-08-20,1803.5705566406,0.0,0.0,1
2024-09-06,1762.1184082031,0.0,0.0,-1
2024-09-12,1825.3454589844,0.0,0.0,1
2024-09-20,1902.3067626953,0.0,0.0,1
2024-09-27,1870.2935791016,0.0,0.0,-1
2024-10-03,1820.7009277344,0.0,0.0,-1
2024-10-10,1873.939453125,0.0,0.0,1
2024-10-21,1787.1395263672,0.0,0.0,-1
2024-10-30,1732.6024169922,0.0,0.0,-1
2024-11-13,1685.90625,0.0,0.0,-1
2024-11-22,1759.4213867188,0.0,0.0,1
2024-12-13,1803.5705566406,0.0,0.0,1
2024-12-20,1741.5421142578,0.0,0.0,-1
2025-01-02,1835.0343017578,0.0,0.0,1
2025-01-06,1777.6005859375,0.0,0.0,-1
2025-01-16,1803.470703125,0.0,0.0,1
2025-01-20,1918.2883300781,0.0,0.0,1
2025-02-10,1957.8927001953,0.0,0.0,1
2025-02-13,1970.5280761719,0.0,0.0,1
2025-02-28,1900.7584228516,0.0,0.0,-1
2025-03-12,1980.2668457031,0.0,0.0,1
2025-03-20,2033.3057861328,0.0,0.0,1
2025-03-24,2173.6437988281,0.0,0.0,1
2025-04-07,2035.5031738281,0.0,0.0,-1
2025-04-11,2108.7685546875,0.0,0.0,1
2025-04-17,2185.5803222656,0.0,0.0,1
2025-04-21,2238.8186035156,0.0,0.0,1
2025-04-25,2201.861328125,0.0,0.0,-1
2025-05-05,2082.4987792969,0.0,0.0,-1
2025-05-12,2142.5297851562,0.0,0.0,1
2025-05-14,2089.990234375,0.0,0.0,-1
2025-06-03,2042.1455078125,0.0,0.0,-1
2025-06-09,2135.7375488281,0.0,0.0,1
2025-06-20,2167.3012695312,0.0,0.0,1
2025-06-24,2221.0393066406,0.0,0.0,1
2025-06-30,2161.0085449219,0.0,0.0,-1
2025-07-03,2124.1511230469,0.0,0.0,-1
2025-07-08,2221.9382324219,0.0,0.0,1
2025-07-17,2168.3000488281,0.0,0.0,-1
2025-07-28,1966.5999755859,0.0,0.0,-1
2025-08-19,2029.9000244141,0.0,0.0,1
2025-08-26,1965.6999511719,0.0,0.0,-1
