event_time,close,sPos,sNeg,trigger
2023-09-18,1616.53125,0.0,0.0,1
2023-10-03,1514.0607910156,0.0,0.0,-1
2023-10-31,1436.45703125,0.0,0.0,-1
2023-11-09,1528.4885253906,0.0,0.0,1
2023-11-30,1622.7355957031,0.0,0.0,1
2023-12-15,1698.7635498047,0.0,0.0,1
2023-12-28,1708.1193847656,0.0,0.0,1
2024-01-08,1591.6153564453,0.0,0.0,-1
2024-02-05,1677.6884765625,0.0,0.0,1
2024-02-15,1738.2548828125,0.0,0.0,1
2024-02-22,1881.3489990234,0.0,0.0,1
2024-03-13,1825.5590820312,0.0,0.0,-1
2024-03-28,1892.1820068359,0.0,0.0,1
2024-04-05,1982.736328125,0.0,0.0,1
2024-04-30,2123.6145019531,0.0,0.0,1
2024-05-14,2235.4406738281,0.0,0.0,1
2024-05-16,2335.7446289062,0.0,0.0,1
2024-05-17,2476.4260253906,0.0,0.0,1
2024-05-30,2455.6462402344,0.0,0.0,-1
2024-06-03,2594.0131835938,0.0,0.0,1
2024-06-05,2699.33984375,0.0,0.0,1
2024-06-07,2814.0712890625,0.0,0.0,1
2024-06-14,2884.1411132812,0.0,0.0,1
2024-06-21,2796.8369140625,0.0,0.0,-1
2024-07-09,2902.18359375,0.0,0.0,1
2024-07-10,2710.2258300781,0.0,0.0,-1
2024-07-18,2796.9787597656,0.0,0.0,1
2024-07-26,2864.7841796875,0.0,0.0,1
2024-08-01,2805.857421875,0.0,0.0,-1
2024-08-05,2657.5986328125,0.0,0.0,-1
2024-08-09,2727.2390136719,0.0,0.0,1
2024-08-16,2817.8115234375,0.0,0.0,1
2024-08-22,2711.1682128906,0.0,0.0,-1
2024-09-06,2676.5961914062,0.0,0.0,-1
2024-09-16,2735.4233398438,0.0,0.0,1
2024-09-20,2927.3317871094,0.0,0.0,1
2024-09-23,3025.4929199219,0.0,0.0,1
2024-09-26,3155.7465820312,0.0,0.0,1
2024-10-04,2993.4008789062,0.0,0.0,-1
2024-10-08,3140.6181640625,0.0,0.0,1
2024-10-16,3043.5478515625,0.0,0.0,-1
2024-10-17,2940.9721679688,0.0,0.0,-1
2024-10-22,2864.1889648438,0.0,0.0,-1
2024-10-25,2699.1647949219,0.0,0.0,-1
2024-11-01,2795.1931152344,0.0,0.0,1
2024-11-06,2911.1616210938,0.0,0.0,1
2024-11-13,2776.6423339844,0.0,0.0,-1
2024-11-19,2925.4467773438,0.0,0.0,1
2024-11-25,3021.3266601562,0.0,0.0,1
2024-11-28,2875.5971679688,0.0,0.0,-1
2024-12-02,2992.3591308594,0.0,0.0,1
2024-12-20,2883.1862792969,0.0,0.0,-1
2024-12-27,3025.1457519531,0.0,0.0,1
2025-01-02,3185.5075683594,0.0,0.0,1
2025-01-06,3080.9475097656,0.0,0.0,-1
2025-01-13,2975.7426757812,0.0,0.0,-1
2025-01-17,2894.0986328125,0.0,0.0,-1
2025-01-21,2798.8142089844,0.0,0.0,-1
2025-01-29,2901.04296875,0.0,0.0,1
2025-02-01,3052.2282714844,0.0,0.0,1
2025-02-03,3148.0087890625,0.0,0.0,1
2025-02-11,3061.3547363281,0.0,0.0,-1
2025-02-12,2963.3918457031,0.0,0.0,-1
2025-02-17,2809.3791503906,0.0,0.0,-1
2025-02-21,2648.0751953125,0.0,0.0,-1
2025-02-25,2755.7104492188,0.0,0.0,1
2025-02-28,2564.4968261719,0.0,0.0,-1
2025-03-05,2704.8688964844,0.0,0.0,1
2025-03-11,2624.5146484375,0.0,0.0,-1
2025-03-19,2766.8708496094,0.0,0.0,1
2025-03-28,2644.5534667969,0.0,0.0,-1
2025-04-07,2471.39453125,0.0,0.0,-1
2025-04-15,2624.9113769531,0.0,0.0,1
2025-04-21,2741.970703125,0.0,0.0,1
2025-04-23,2894.5451660156,0.0,0.0,1
2025-05-05,2997.4184570312,0.0,0.0,1
2025-05-07,3095.0341796875,0.0,0.0,1
2025-05-09,2958.3327636719,0.0,0.0,-1
2025-05-12,3079.9553222656,0.0,0.0,1
2025-05-22,2982.33984375,0.0,0.0,-1
2025-05-30,2953.0749511719,0.0,0.0,-1
2025-06-06,3081.7409667969,0.0,0.0,1
2025-06-13,2982.0419921875,0.0,0.0,-1
2025-06-20,3159.0200195312,0.0,0.0,1
2025-07-11,3073.1999511719,0.0,0.0,-1
2025-07-16,3196.5,0.0,0.0,1
2025-08-01,3159.3000488281,0.0,0.0,-1
2025-08-13,3282.1999511719,0.0,0.0,1
2025-08-18,3383.1000976562,0.0,0.0,1
2025-08-28,3295.3000488281,0.0,0.0,-1
2025-08-29,3199.5,0.0,0.0,-1
2025-09-01,3315.3999023438,0.0,0.0,1
