event_time,close,sPos,sNeg,trigger
2023-09-05,-5100088504.764648,0.0,0.0,-1
2023-09-07,4491709583.569336,0.0,0.0,1
2023-09-12,-5854893717.761719,0.0,0.0,-1
2023-09-13,-3096813163.623047,0.0,0.0,1
2023-09-14,5151674258.390625,0.0,0.0,1
2023-09-18,-4436370740.416016,0.0,0.0,-1
2023-09-22,10182402630.384766,0.0,0.0,1
2023-09-25,7853183554.939453,0.0,0.0,-1
2023-09-26,-4681548313.074219,0.0,0.0,-1
2023-09-27,4797880441.975586,0.0,0.0,1
2023-09-28,-6193434149.75,0.0,0.0,-1
2023-09-29,5009345841.137695,0.0,0.0,1
2023-10-03,-6317487697.4609375,0.0,0.0,-1
2023-10-04,-4048411601.036133,0.0,0.0,1
2023-10-05,3774341049.75,0.0,0.0,1
2023-10-09,-2310095334.5585938,0.0,0.0,-1
2023-10-10,3541896212.361328,0.0,0.0,1
2023-10-12,5902794238.363281,0.0,0.0,1
2023-10-18,4638059639.289063,0.0,0.0,-1
2023-10-19,-3022200100.4296875,0.0,0.0,-1
2023-10-25,4162447160.59082,0.0,0.0,1
2023-10-26,-5170634128.930664,0.0,0.0,-1
2023-10-27,11557826874.394531,0.0,0.0,1
2023-10-30,-10100118072.5,0.0,0.0,-1
2023-11-02,5747662091.527344,0.0,0.0,1
2023-11-03,-5212641106.96875,0.0,0.0,-1
2023-11-06,4943591069.777344,0.0,0.0,1
2023-11-07,-2662225996.235352,0.0,0.0,-1
2023-11-08,2903416319.4003906,0.0,0.0,1
2023-11-10,-2101388924.277344,0.0,0.0,-1
2023-11-13,2668879774.661133,0.0,0.0,1
2023-11-15,4473337041.058594,0.0,0.0,1
2023-11-20,2425688244.3164062,0.0,0.0,-1
2023-11-21,-3223843458.7871094,0.0,0.0,-1
2023-11-24,3919324446.5820312,0.0,0.0,1
2023-11-30,6920803964.316406,0.0,0.0,1
2023-12-01,-6136633571.416992,0.0,0.0,-1
2023-12-04,6494841044.707031,0.0,0.0,1
2023-12-06,-4833614434.749023,0.0,0.0,-1
2023-12-07,7384431645.138672,0.0,0.0,1
2023-12-08,-5706675755.730469,0.0,0.0,-1
2023-12-12,-11030578810.341797,0.0,0.0,-1
2023-12-13,6138981111.838867,0.0,0.0,1
2023-12-14,-6447850810.986328,0.0,0.0,-1
2023-12-15,-12547677781.351562,0.0,0.0,-1
2023-12-18,6599088224.996094,0.0,0.0,1
2023-12-19,-5874497887.7578125,0.0,0.0,-1
2023-12-20,-9524809758.15918,0.0,0.0,-1
2023-12-21,-7259679432.193359,0.0,0.0,1
2023-12-22,6534045878.422852,0.0,0.0,1
2023-12-26,3978661298.4316406,0.0,0.0,-1
