event_time,close,sPos,sNeg,trigger
2023-09-26,1097.2922363281,0.0,0.0,1
2023-09-28,1075.0130615234,0.0,0.0,-1
2023-10-04,1096.3693847656,0.0,0.0,1
2023-10-11,1106.6647949219,0.0,0.0,1
2023-10-13,1123.4682617188,0.0,0.0,1
2023-10-16,1102.205078125,0.0,0.0,-1
2023-10-19,1151.0372314453,0.0,0.0,1
2023-10-26,1123.0510253906,0.0,0.0,-1
2023-10-27,1147.4407958984,0.0,0.0,1
2023-11-02,1163.4995117188,0.0,0.0,1
2023-11-06,1172.0769042969,0.0,0.0,1
2023-11-13,1162.2475585938,0.0,0.0,-1
2023-11-17,1176.1060791016,0.0,0.0,1
2023-11-29,1161.3619384766,0.0,0.0,-1
2023-12-01,1174.4437255859,0.0,0.0,1
2023-12-05,1187.4868164062,0.0,0.0,1
2023-12-06,1204.8391113281,0.0,0.0,1
2023-12-15,1175.7850341797,0.0,0.0,-1
2023-12-19,1229.9893798828,0.0,0.0,1
2023-12-20,1211.0759277344,0.0,0.0,-1
2023-12-22,1224.1384277344,0.0,0.0,1
2023-12-27,1241.1239013672,0.0,0.0,1
2023-12-28,1266.6722412109,0.0,0.0,1
2023-12-29,1282.6156005859,0.0,0.0,1
2024-01-01,1320.8377685547,0.0,0.0,1
2024-01-03,1285.2647705078,0.0,0.0,-1
2024-01-04,1308.4846191406,0.0,0.0,1
2024-01-05,1286.6544189453,0.0,0.0,-1
2024-01-08,1263.9266357422,0.0,0.0,-1
2024-01-09,1251.0427246094,0.0,0.0,-1
2024-01-11,1233.9605712891,0.0,0.0,-1
2024-01-18,1207.32421875,0.0,0.0,-1
2024-01-23,1188.4567871094,0.0,0.0,-1
2024-01-24,1213.0905761719,0.0,0.0,1
2024-01-25,1197.7457275391,0.0,0.0,-1
2024-02-01,1190.8212890625,0.0,0.0,-1
2024-02-07,1206.1661376953,0.0,0.0,1
2024-02-08,1169.2274169922,0.0,0.0,-1
2024-02-09,1182.2803955078,0.0,0.0,1
2024-02-14,1200.0860595703,0.0,0.0,1
2024-02-16,1207.1954345703,0.0,0.0,1
2024-02-20,1232.3083496094,0.0,0.0,1
2024-02-23,1251.525390625,0.0,0.0,1
2024-02-28,1247.5944824219,0.0,0.0,-1
2024-03-01,1262.4196777344,0.0,0.0,1
2024-03-05,1231.9443359375,0.0,0.0,-1
