event_time,close,sPos,sNeg,trigger
2023-11-06,174.739944458,0.0,0.0,1
2023-11-15,180.3446350098,0.0,0.0,1
2023-11-24,175.8271789551,0.0,0.0,-1
2023-12-04,188.1169433594,0.0,0.0,1
2023-12-12,181.925491333,0.0,0.0,-1
2023-12-15,187.1858825684,0.0,0.0,1
2023-12-26,193.0514526367,0.0,0.0,1
2024-01-04,199.8480377197,0.0,0.0,1
2024-01-12,207.9946594238,0.0,0.0,1
2024-01-15,217.3981781006,0.0,0.0,1
2024-01-19,225.3585968018,0.0,0.0,1
2024-01-23,214.0464172363,0.0,0.0,-1
2024-01-29,235.0879669189,0.0,0.0,1
2024-02-02,239.5104217529,0.0,0.0,1
2024-02-06,253.522567749,0.0,0.0,1
2024-02-12,240.1156005859,0.0,0.0,-1
2024-02-14,250.3105010986,0.0,0.0,1
2024-02-15,258.1777648926,0.0,0.0,1
2024-02-26,254.9187011719,0.0,0.0,-1
2024-03-04,263.7513427734,0.0,0.0,1
2024-03-11,258.8390808105,0.0,0.0,-1
2024-03-13,241.2210083008,0.0,0.0,-1
2024-03-14,248.6838684082,0.0,0.0,1
2024-03-26,250.8093719482,0.0,0.0,1
2024-03-28,253.2182769775,0.0,0.0,1
2024-04-03,260.1143798828,0.0,0.0,1
2024-04-04,254.115737915,0.0,0.0,-1
2024-04-12,250.998336792,0.0,0.0,-1
2024-04-15,264.3653869629,0.0,0.0,1
2024-04-18,258.9807739258,0.0,0.0,-1
2024-04-25,266.3491821289,0.0,0.0,1
2024-05-07,258.4612121582,0.0,0.0,-1
2024-05-09,250.5732421875,0.0,0.0,-1
2024-05-14,257.7999267578,0.0,0.0,1
2024-05-21,264.6015319824,0.0,0.0,1
2024-05-28,259.1224365234,0.0,0.0,-1
2024-05-30,251.9429931641,0.0,0.0,-1
2024-06-03,268.3802185059,0.0,0.0,1
2024-06-04,223.2250823975,0.0,0.0,-1
2024-06-05,233.8053588867,0.0,0.0,1
2024-06-07,245.9915771484,0.0,0.0,1
2024-06-11,258.4139404297,0.0,0.0,1
2024-06-21,254.7297668457,0.0,0.0,-1
2024-06-28,259.0279846191,0.0,0.0,1
2024-07-05,272.2533874512,0.0,0.0,1
2024-07-08,282.5974731445,0.0,0.0,1
2024-07-11,287.8875732422,0.0,0.0,1
