event_time,close,sPos,sNeg,trigger
2023-10-09,1140.6822509766,0.0,0.0,-1
2023-10-11,1163.9104003906,0.0,0.0,1
2023-10-19,1144.6032714844,0.0,0.0,-1
2023-10-25,1120.6804199219,0.0,0.0,-1
2023-10-30,1147.7550048828,0.0,0.0,1
2023-11-06,1160.9075927734,0.0,0.0,1
2023-11-16,1171.6778564453,0.0,0.0,1
2023-11-29,1191.5308837891,0.0,0.0,1
2023-12-05,1209.919921875,0.0,0.0,1
2023-12-15,1238.6323242188,0.0,0.0,1
2023-12-19,1269.6527099609,0.0,0.0,1
2023-12-26,1279.5544433594,0.0,0.0,1
2024-01-10,1315.3148193359,0.0,0.0,1
2024-01-11,1349.9088134766,0.0,0.0,1
2024-01-15,1383.8823242188,0.0,0.0,1
2024-01-17,1351.5712890625,0.0,0.0,-1
2024-01-23,1318.8138427734,0.0,0.0,-1
2024-01-25,1343.1337890625,0.0,0.0,1
2024-01-29,1437.4111328125,0.0,0.0,1
2024-01-30,1397.2830810547,0.0,0.0,-1
2024-02-02,1446.9901123047,0.0,0.0,1
2024-02-06,1417.3098144531,0.0,0.0,-1
2024-02-09,1450.0177001953,0.0,0.0,1
2024-02-14,1470.4912109375,0.0,0.0,1
2024-02-23,1482.6512451172,0.0,0.0,1
2024-02-28,1444.9304199219,0.0,0.0,-1
2024-03-01,1481.1622314453,0.0,0.0,1
2024-03-07,1468.0593261719,0.0,0.0,-1
2024-03-13,1421.6527099609,0.0,0.0,-1
2024-03-20,1433.142578125,0.0,0.0,1
2024-03-27,1481.8819580078,0.0,0.0,1
2024-04-04,1452.1768798828,0.0,0.0,-1
2024-04-08,1475.0573730469,0.0,0.0,1
2024-04-23,1448.6032714844,0.0,0.0,-1
2024-05-03,1423.4643554688,0.0,0.0,-1
2024-05-07,1391.1782226562,0.0,0.0,-1
2024-05-09,1383.8823242188,0.0,0.0,-1
2024-05-14,1409.6414794922,0.0,0.0,1
2024-05-22,1449.9185791016,0.0,0.0,1
2024-05-23,1475.1319580078,0.0,0.0,1
2024-05-28,1445.5010986328,0.0,0.0,-1
