event_time,close,sPos,sNeg,trigger
2023-08-30,-8359808495.285549,0.0,0.0,-1
2023-08-31,-15099324747.378347,0.0,0.0,-1
2023-09-01,9950878178.351152,0.0,0.0,1
2023-09-04,6719274023.265156,0.0,0.0,-1
2023-09-05,-7980082402.551846,0.0,0.0,-1
2023-09-06,-11336413279.720446,0.0,0.0,-1
2023-09-07,6917540076.779557,0.0,0.0,1
2023-09-12,-9128885527.001236,0.0,0.0,-1
2023-09-13,11143145290.375362,0.0,0.0,1
2023-09-14,7589538898.688593,0.0,0.0,-1
2023-09-18,11241270841.62927,0.0,0.0,1
2023-09-20,-12352854053.83274,0.0,0.0,-1
2023-09-22,10832901470.54941,0.0,0.0,1
2023-09-25,-5563013042.174623,0.0,0.0,-1
2023-09-26,4772357739.079626,0.0,0.0,1
2023-09-27,-5609493868.11401,0.0,0.0,-1
2023-09-28,12491283724.705353,0.0,0.0,1
2023-09-29,7034578218.52234,0.0,0.0,-1
2023-10-04,-14082519108.825994,0.0,0.0,-1
2023-10-05,7563561493.56706,0.0,0.0,1
2023-10-09,-5184058972.085909,0.0,0.0,-1
2023-10-10,5917440502.344467,0.0,0.0,1
2023-10-11,-8066448427.541765,0.0,0.0,-1
2023-10-13,-10590248017.2907,0.0,0.0,-1
2023-10-16,-6266240788.492733,0.0,0.0,1
2023-10-17,5983124763.564033,0.0,0.0,1
2023-10-18,-6502555624.713865,0.0,0.0,-1
2023-10-25,6507298031.329547,0.0,0.0,1
2023-10-26,-10244430286.96008,0.0,0.0,-1
2023-10-27,5635000614.0,0.0,0.0,1
2023-11-06,-9136529588.098536,0.0,0.0,-1
2023-11-07,10018475212.05119,0.0,0.0,1
2023-11-09,-6933581890.282887,0.0,0.0,-1
2023-11-10,3784254329.56982,0.0,0.0,1
2023-11-16,-4860496184.457792,0.0,0.0,-1
2023-11-17,-20179969920.070187,0.0,0.0,-1
2023-12-04,18243625399.749924,0.0,0.0,1
2023-12-05,21364191815.66276,0.0,0.0,1
2023-12-11,36329198179.02478,0.0,0.0,1
2023-12-15,27937607875.52729,0.0,0.0,-1
2023-12-19,22757968600.020844,0.0,0.0,-1
2024-01-05,-16873022612.877771,0.0,0.0,-1
2024-01-08,-8910346066.148891,0.0,0.0,1
2024-01-11,-25007313999.030235,0.0,0.0,-1
2024-01-15,20548669820.39615,0.0,0.0,1
2024-01-17,-27343193882.629436,0.0,0.0,-1
2024-01-25,-18166225621.49832,0.0,0.0,1
2024-01-29,11755331426.263794,0.0,0.0,1
2024-01-31,24623081355.902763,0.0,0.0,1
2024-02-01,16602161687.276316,0.0,0.0,-1
2024-02-05,-17567628996.700764,0.0,0.0,-1
2024-02-07,35972820721.32602,0.0,0.0,1
2024-02-08,50060748523.35664,0.0,0.0,1
2024-02-14,57046972028.22718,0.0,0.0,1
2024-02-15,24926171730.94868,0.0,0.0,-1
2024-02-27,-27171213471.10709,0.0,0.0,-1
2024-03-01,18662928356.47312,0.0,0.0,1
2024-03-06,-20187682416.177032,0.0,0.0,-1
2024-03-13,-36647478838.7641,0.0,0.0,-1
2024-03-14,-14097346680.095703,0.0,0.0,1
2024-03-15,-21023175618.6079,0.0,0.0,-1
2024-03-20,18034149997.17571,0.0,0.0,1
2024-03-22,22064629228.49711,0.0,0.0,1
2024-03-26,-10473248763.466097,0.0,0.0,-1
2024-03-27,-21273049294.08957,0.0,0.0,-1
2024-03-28,15744373689.228462,0.0,0.0,1
2024-04-02,18885287259.512302,0.0,0.0,1
2024-04-03,14226540769.27374,0.0,0.0,-1
2024-04-04,-11632359872.772415,0.0,0.0,-1
2024-04-05,7328795957.789245,0.0,0.0,1
2024-04-09,-5500879615.147253,0.0,0.0,-1
2024-04-10,10914260064.46008,0.0,0.0,1
2024-04-12,-10645538278.554848,0.0,0.0,-1
2024-04-19,7876904218.792316,0.0,0.0,1
2024-04-22,12890763620.633867,0.0,0.0,1
2024-04-23,9161373120.930372,0.0,0.0,-1
2024-04-24,5845745639.3020735,0.0,0.0,-1
2024-04-25,28782580939.875,0.0,0.0,1
2024-05-03,22461029003.18248,0.0,0.0,-1
2024-05-06,-27480179721.77573,0.0,0.0,-1
2024-05-09,47845255994.178406,0.0,0.0,1
2024-05-13,-28196724757.892757,0.0,0.0,-1
2024-05-15,16323643687.358631,0.0,0.0,1
2024-05-16,-16077165268.34643,0.0,0.0,-1
2024-05-21,21093130091.136448,0.0,0.0,1
2024-05-22,15442087925.971258,0.0,0.0,-1
2024-05-24,-9952232497.887571,0.0,0.0,-1
2024-05-27,10048728261.10446,0.0,0.0,1
2024-05-28,-11259487932.887054,0.0,0.0,-1
2024-05-30,14425911113.525526,0.0,0.0,1
2024-05-31,18125725667.587334,0.0,0.0,1
2024-06-03,57059510095.26369,0.0,0.0,1
2024-06-04,-93002453741.86734,0.0,0.0,-1
2024-06-05,57489376847.05835,0.0,0.0,1
2024-06-06,32479757860.83866,0.0,0.0,-1
2024-06-07,20390187389.10121,0.0,0.0,-1
2024-06-10,13638423698.674526,0.0,0.0,-1
2024-06-13,10360937410.629902,0.0,0.0,-1
2024-06-14,-10615459808.275068,0.0,0.0,-1
2024-06-18,12365292732.816936,0.0,0.0,1
2024-06-19,27519396305.17172,0.0,0.0,1
2024-06-21,-27136660683.80797,0.0,0.0,-1
2024-06-24,-10379574992.301874,0.0,0.0,1
