event_time,close,sPos,sNeg,trigger
2023-08-31,377.4322509766,0.0,0.0,1
2023-10-05,359.6596984863,0.0,0.0,-1
2023-10-27,378.7828063965,0.0,0.0,1
2023-11-03,394.1184997559,0.0,0.0,1
2023-12-04,414.0661315918,0.0,0.0,1
2023-12-14,418.7811584473,0.0,0.0,1
2023-12-20,395.1465148926,0.0,0.0,-1
2024-01-04,424.6824035645,0.0,0.0,1
2024-01-11,450.6993408203,0.0,0.0,1
2024-01-29,476.2516174316,0.0,0.0,1
2024-02-05,465.9911804199,0.0,0.0,-1
2024-02-12,447.239654541,0.0,0.0,-1
2024-02-14,473.1477966309,0.0,0.0,1
2024-02-26,491.3062438965,0.0,0.0,1
2024-02-27,469.0159301758,0.0,0.0,-1
2024-03-11,490.4759216309,0.0,0.0,1
2024-03-13,458.933380127,0.0,0.0,-1
2024-03-27,471.7737731934,0.0,0.0,1
2024-04-03,505.4020385742,0.0,0.0,1
2024-04-15,477.3686218262,0.0,0.0,-1
2024-04-25,492.6307983398,0.0,0.0,1
2024-05-08,483.9618225098,0.0,0.0,-1
2024-05-13,455.0585327148,0.0,0.0,-1
2024-06-03,496.0509643555,0.0,0.0,1
2024-06-04,446.9332275391,0.0,0.0,-1
2024-06-05,471.9912719727,0.0,0.0,1
2024-06-07,493.8367614746,0.0,0.0,1
2024-06-13,530.6775512695,0.0,0.0,1
2024-06-18,559.4325561523,0.0,0.0,1
2024-06-25,591.0838012695,0.0,0.0,1
2024-07-02,558.4737548828,0.0,0.0,-1
2024-07-11,541.4915771484,0.0,0.0,-1
2024-07-15,569.8215332031,0.0,0.0,1
2024-07-23,541.5311279297,0.0,0.0,-1
2024-07-26,578.2631835938,0.0,0.0,1
2024-08-06,560.8263549805,0.0,0.0,-1
2024-08-09,584.8069458008,0.0,0.0,1
2024-08-19,608.036315918,0.0,0.0,1
2024-08-27,638.451965332,0.0,0.0,1
2024-09-09,655.5032958984,0.0,0.0,1
2024-09-12,672.3174438477,0.0,0.0,1
2024-09-18,706.7067871094,0.0,0.0,1
2024-09-26,717.3330078125,0.0,0.0,1
2024-10-03,674.0473022461,0.0,0.0,-1
2024-10-07,652.2709960938,0.0,0.0,-1
2024-10-17,644.2147827148,0.0,0.0,-1
2024-10-23,632.1849365234,0.0,0.0,-1
2024-10-25,611.4071044922,0.0,0.0,-1
2024-10-28,644.3532104492,0.0,0.0,1
2024-10-31,620.5505371094,0.0,0.0,-1
2024-11-08,598.796081543,0.0,0.0,-1
2024-11-13,568.1192016602,0.0,0.0,-1
2024-11-25,586.8218994141,0.0,0.0,1
2024-12-02,615.9659423828,0.0,0.0,1
2024-12-11,646.6328735352,0.0,0.0,1
2024-12-16,624.5757446289,0.0,0.0,-1
2024-12-17,592.6148681641,0.0,0.0,-1
2025-01-02,609.1676635742,0.0,0.0,1
2025-01-08,577.0574951172,0.0,0.0,-1
2025-01-10,529.5292358398,0.0,0.0,-1
2025-01-14,541.5729980469,0.0,0.0,1
2025-01-20,514.3002929688,0.0,0.0,-1
2025-01-29,550.9293823242,0.0,0.0,1
2025-02-04,576.75,0.0,0.0,1
2025-02-11,538.549987793,0.0,0.0,-1
2025-02-20,580.8499755859,0.0,0.0,1
2025-02-27,606.799987793,0.0,0.0,1
2025-03-04,632.9000244141,0.0,0.0,1
2025-03-13,619.549987793,0.0,0.0,-1
2025-03-19,667.950012207,0.0,0.0,1
2025-03-28,656.0,0.0,0.0,-1
2025-04-07,614.0,0.0,0.0,-1
2025-04-08,641.450012207,0.0,0.0,1
2025-04-15,672.0,0.0,0.0,1
2025-04-21,703.0,0.0,0.0,1
2025-04-25,655.200012207,0.0,0.0,-1
2025-04-28,622.0,0.0,0.0,-1
2025-05-05,628.8499755859,0.0,0.0,1
2025-05-09,601.450012207,0.0,0.0,-1
2025-05-12,645.950012207,0.0,0.0,1
2025-05-15,674.799987793,0.0,0.0,1
2025-05-22,649.75,0.0,0.0,-1
2025-05-30,639.3499755859,0.0,0.0,-1
2025-06-06,688.25,0.0,0.0,1
2025-06-12,665.0665283203,0.0,0.0,-1
2025-06-19,649.2873535156,0.0,0.0,-1
2025-06-24,673.0307617188,0.0,0.0,1
2025-06-26,700.0595703125,0.0,0.0,1
2025-07-02,673.8770141602,0.0,0.0,-1
2025-07-18,645.5,0.0,0.0,-1
2025-07-24,633.549987793,0.0,0.0,-1
2025-07-29,638.3499755859,0.0,0.0,1
2025-08-01,614.200012207,0.0,0.0,-1
