event_time,close,sPos,sNeg,trigger
2023-08-25,1089.9831542969,0.0,0.0,-1
2023-09-29,1141.5609130859,0.0,0.0,1
2023-10-26,1087.4212646484,0.0,0.0,-1
2023-11-03,1124.2698974609,0.0,0.0,1
2023-11-17,1176.9807128906,0.0,0.0,1
2023-12-05,1221.2678222656,0.0,0.0,1
2024-01-02,1277.08203125,0.0,0.0,1
2024-01-23,1357.9713134766,0.0,0.0,1
2024-02-05,1442.2103271484,0.0,0.0,1
2024-02-09,1520.783203125,0.0,0.0,1
2024-02-23,1546.9915771484,0.0,0.0,1
2024-03-06,1589.3511962891,0.0,0.0,1
2024-03-15,1534.0607910156,0.0,0.0,-1
2024-03-22,1594.2064208984,0.0,0.0,1
2024-04-12,1525.9356689453,0.0,0.0,-1
2024-04-23,1471.0911865234,0.0,0.0,-1
2024-05-14,1531.1376953125,0.0,0.0,1
2024-05-24,1473.1223144531,0.0,0.0,-1
2024-06-04,1416.7915039062,0.0,0.0,-1
2024-06-05,1473.7170410156,0.0,0.0,1
2024-06-21,1453.8500976562,0.0,0.0,-1
2024-06-26,1507.2578125,0.0,0.0,1
2024-07-05,1554.0762939453,0.0,0.0,1
2024-07-23,1592.0054931641,0.0,0.0,1
2024-07-25,1655.8209228516,0.0,0.0,1
2024-07-29,1712.9267578125,0.0,0.0,1
2024-08-20,1755.7685546875,0.0,0.0,1
2024-08-28,1800.9959716797,0.0,0.0,1
2024-09-12,1854.2252197266,0.0,0.0,1
2024-09-26,1887.0275878906,0.0,0.0,1
2024-09-27,1937.0261230469,0.0,0.0,1
2024-10-10,1876.4412841797,0.0,0.0,-1
2024-10-23,1828.3311767578,0.0,0.0,-1
2024-10-28,1891.5006103516,0.0,0.0,1
2024-10-30,1841.0048828125,0.0,0.0,-1
2024-11-05,1792.7954101562,0.0,0.0,-1
2024-11-14,1757.607421875,0.0,0.0,-1
2024-11-25,1788.1236572266,0.0,0.0,1
2024-11-28,1723.8608398438,0.0,0.0,-1
2024-12-02,1797.7158203125,0.0,0.0,1
2024-12-26,1830.3192138672,0.0,0.0,1
2025-01-08,1826.7408447266,0.0,0.0,-1
2025-01-10,1774.1080322266,0.0,0.0,-1
2025-01-22,1788.1732177734,0.0,0.0,1
2025-01-28,1695.2830810547,0.0,0.0,-1
2025-02-04,1754.6751708984,0.0,0.0,1
2025-02-11,1699.75,0.0,0.0,-1
2025-02-13,1746.3499755859,0.0,0.0,1
2025-02-19,1676.5999755859,0.0,0.0,-1
2025-02-25,1613.5999755859,0.0,0.0,-1
2025-02-28,1593.25,0.0,0.0,-1
2025-03-11,1655.3000488281,0.0,0.0,1
2025-03-19,1732.3499755859,0.0,0.0,1
2025-03-21,1784.5,0.0,0.0,1
2025-03-27,1731.4499511719,0.0,0.0,-1
2025-04-03,1770.0,0.0,0.0,1
2025-04-04,1709.3499755859,0.0,0.0,-1
2025-04-09,1652.1999511719,0.0,0.0,-1
2025-04-15,1705.0,0.0,0.0,1
2025-04-17,1751.5,0.0,0.0,1
2025-04-24,1803.9000244141,0.0,0.0,1
2025-04-28,1841.5999755859,0.0,0.0,1
2025-05-07,1781.3000488281,0.0,0.0,-1
2025-05-12,1686.1999511719,0.0,0.0,-1
2025-05-15,1740.0999755859,0.0,0.0,1
2025-05-23,1683.5999755859,0.0,0.0,-1
2025-06-18,1642.5927734375,0.0,0.0,-1
2025-07-15,1727.5,0.0,0.0,1
2025-07-30,1733.8000488281,0.0,0.0,1
2025-08-01,1629.6999511719,0.0,0.0,-1
